report_t_s,t,pitch,GNSS_velD,roll,GNSS_alt
0.05000000000001137,181.15,2,-0.66,1,942.13
0.27000000000001023,181.37,4,-0.52,0,942.05
0.46000000000000796,181.56,4,-0.4,-1,942.0
0.710000000000008,181.81,5,-0.31,-1,941.95
0.8600000000000136,181.96,5,-0.2,-2,941.94
1.0600000000000023,182.16,5,-0.12,-3,941.93
1.2600000000000193,182.36,5,-0.1,-3,941.91
1.460000000000008,182.56,5,-0.13,-4,941.87
1.6899999999999977,182.79,4,-0.18,-4,941.82
1.8499999999999943,182.95,4,-0.26,-4,941.75
2.0500000000000114,183.15,3,-0.34,-5,941.65
2.2600000000000193,183.36,1,-0.45,-5,941.54
2.460000000000008,183.56,2,-0.62,-5,941.37
2.6899999999999977,183.79,1,-0.86,-5,941.14
2.8700000000000045,183.97,0,-1.03,-5,940.89
3.069999999999993,184.17,-1,-1.24,-5,940.6
3.2600000000000193,184.36,-2,-1.47,-5,940.26
3.460000000000008,184.56,-3,-1.69,-4,939.87
3.680000000000007,184.78,-3,-1.86,-4,939.46
3.8499999999999943,184.95,-4,-2.1,-3,939.0
4.050000000000011,185.15,-5,-2.32,-3,938.48
4.25,185.35,-4,-2.62,-2,937.9
4.450000000000017,185.55,-5,-2.91,-2,937.25
4.689999999999998,185.79,-2,-3.19,-4,936.55
4.849999999999994,185.95,-1,-3.56,-5,935.76
5.050000000000011,186.15,2,-3.97,-5,934.89
5.260000000000019,186.36,5,-4.39,-6,933.92
5.450000000000017,186.55,10,-4.79,-7,932.86
5.680000000000007,186.78,20,-5.16,-15,931.74
5.860000000000014,186.96,20,-5.76,-23,930.43
6.050000000000011,187.15,19,-6.65,-27,928.86
6.240000000000009,187.34,20,-7.71,-24,927.02
6.450000000000017,187.55,18,-8.85,-17,924.92
6.680000000000007,187.78,7,-9.65,-6,922.75
6.849999999999994,187.95,1,-10.35,-2,920.48
7.060000000000002,188.16,-5,-10.63,-2,918.26
7.25,188.35,-5,-10.48,0,916.19
7.460000000000008,188.56,-10,-9.92,1,914.34
7.689999999999998,188.79,-14,-9.22,2,912.65
7.8700000000000045,188.97,-19,-8.68,4,911.04
8.060000000000002,189.16,-22,-8.36,6,909.43
8.25,189.35,-25,-8.13,6,907.85
8.469999999999999,189.57,-29,-7.9,6,906.31
8.680000000000007,189.78,-32,-7.63,5,904.84
8.860000000000014,189.96,-32,-7.25,6,903.47
9.039999999999992,190.14,-31,-6.89,9,902.18
9.240000000000009,190.34,-24,-6.62,13,900.91
9.450000000000017,190.55,-18,-6.42,19,899.67
9.680000000000007,190.78,-14,-6.47,19,898.36
9.849999999999994,190.95,-16,-6.57,18,897.02
10.060000000000002,191.16,-15,-6.72,12,895.65
10.27000000000001,191.37,-14,-6.79,4,894.27
10.460000000000008,191.56,-13,-6.83,2,892.9
10.670000000000016,191.77,-13,-7.0,7,891.46
10.849999999999994,191.95,-11,-7.54,17,889.8
11.050000000000011,192.15,-11,-8.14,20,887.99
11.25,192.35,-12,-8.78,26,886.03
11.450000000000017,192.55,-13,-9.67,26,883.79
11.689999999999998,192.79,-16,-10.34,14,881.48
11.849999999999994,192.95,-16,-10.65,7,879.24
12.050000000000011,193.15,-15,-10.69,1,877.08
12.25,193.35,-9,-10.42,0,875.09
12.450000000000017,193.55,-6,-9.99,-2,873.24
12.689999999999998,193.79,-1,-9.24,-3,871.67
12.900000000000006,194.0,4,-8.02,-4,870.54
13.060000000000002,194.16,8,-6.35,-6,869.92
13.26000000000002,194.36,12,-4.76,-9,869.54
13.480000000000018,194.58,16,-2.99,-12,869.53
13.740000000000009,194.84,19,-1.4,-15,869.73
13.860000000000014,194.96,19,0.13,-16,870.18
14.050000000000011,195.15,20,1.37,-18,870.77
14.26000000000002,195.36,21,2.25,-19,871.44
14.469999999999999,195.57,22,2.83,-21,872.15
