report_t_s,t,pitch,roll,GNSS_alt,GNSS_velD,IAS_kmh
0.05000000000001137,179.15,-5,-1,944.62,-1.77,30.641264943649745
0.27000000000001023,179.37,-5,-1,944.24,-1.81,30.28089163084838
0.4399999999999977,179.54,-5,-1,943.86,-1.82,30.344797910088005
0.710000000000008,179.81,-5,-2,943.51,-1.77,30.662331474116108
0.8600000000000136,179.96,-4,-1,943.17,-1.72,30.76744776280175
1.0800000000000125,180.18,-2,-1,942.87,-1.6,30.38732743048238
1.2600000000000193,180.36,-1,0,942.64,-1.39,30.620183919521224
1.450000000000017,180.55,-1,0,942.48,-1.1,30.259559545332962
1.6899999999999977,180.79,0,1,942.35,-0.88,29.195199843082953
1.8499999999999943,180.95,1,1,942.24,-0.74,28.97317989212134
2.0500000000000114,181.15,2,1,942.13,-0.66,29.239401533561118
2.2700000000000102,181.37,4,0,942.05,-0.52,28.90624138168652
2.460000000000008,181.56,4,-1,942.0,-0.4,28.38780278462522
2.710000000000008,181.81,5,-1,941.95,-0.31,27.906035390655006
2.8600000000000136,181.96,5,-2,941.94,-0.2,27.533317016268985
3.0600000000000023,182.16,5,-3,941.93,-0.12,26.748187998899844
3.2600000000000193,182.36,5,-3,941.91,-0.1,26.013879733240678
3.460000000000008,182.56,5,-4,941.87,-0.13,24.923671745256677
3.6899999999999977,182.79,4,-4,941.82,-0.18,24.240701457318785
3.8499999999999943,182.95,4,-4,941.75,-0.26,23.59272576841585
4.050000000000011,183.15,3,-5,941.65,-0.34,23.345098467322423
4.260000000000019,183.36,1,-5,941.54,-0.45,22.95459137745916
4.460000000000008,183.56,2,-5,941.37,-0.62,23.06683943744034
4.689999999999998,183.79,1,-5,941.14,-0.86,23.178543913697073
4.8700000000000045,183.97,0,-5,940.89,-1.03,23.289712627804455
5.069999999999993,184.17,-1,-5,940.6,-1.24,23.810677055403836
5.260000000000019,184.36,-2,-5,940.26,-1.47,23.620079662552076
5.460000000000008,184.56,-3,-4,939.87,-1.69,23.701951934602434
5.680000000000007,184.78,-3,-4,939.46,-1.86,23.289712627804455
5.849999999999994,184.95,-4,-3,939.0,-2.1,23.42793172036058
6.050000000000011,185.15,-5,-3,938.48,-2.32,24.026651337416872
6.25,185.35,-4,-2,937.9,-2.62,24.845825625654065
6.450000000000017,185.55,-5,-2,937.25,-2.91,24.845825625654065
6.689999999999998,185.79,-2,-4,936.55,-3.19,24.053511772118192
6.849999999999994,185.95,-1,-5,935.76,-3.56,23.289712627804455
7.050000000000011,186.15,2,-5,934.89,-3.97,16.03119965083393
7.260000000000019,186.36,5,-6,933.92,-4.39,10.72098005153009
7.450000000000017,186.55,10,-7,932.86,-4.79,9.091372900969896
7.680000000000007,186.78,20,-15,931.74,-5.16,7.873359887517356
7.860000000000014,186.96,20,-23,930.43,-5.76,7.00537330211894
8.050000000000011,187.15,19,-27,928.86,-6.65,5.207738061220602
8.240000000000009,187.34,20,-24,927.02,-7.71,9.642857142857142
8.450000000000017,187.55,18,-17,924.92,-8.85,7.187361356249323
8.680000000000007,187.78,7,-6,922.75,-9.65,4.821428571428571
8.849999999999994,187.95,1,-2,920.48,-10.35,6.119817674354926
9.060000000000002,188.16,-5,-2,918.26,-10.63,7.538168185430511
9.25,188.35,-5,0,916.19,-10.48,8.94819272597682
9.460000000000008,188.56,-10,1,914.34,-9.92,7.95495128834866
9.689999999999998,188.79,-14,2,912.65,-9.22,7.538168185430511
9.870000000000005,188.97,-19,4,911.04,-8.68,8.875736531668334
10.060000000000002,189.16,-22,6,909.43,-8.36,13.105853381491142
10.25,189.35,-25,6,907.85,-8.13,13.204025939856683
10.469999999999999,189.57,-29,6,906.31,-7.9,13.637059351454843
10.680000000000007,189.78,-32,5,904.84,-7.63,12.907268360525096
10.860000000000014,189.96,-32,6,903.47,-7.25,9.162123951689502
11.039999999999992,190.14,-31,9,902.18,-6.89,8.350959250778514
11.240000000000009,190.34,-24,13,900.91,-6.62,9.091372900969896
