report_t_s,t,pitch,roll,GNSS_alt,GNSS_velD,vario
0.14999999999997726,1017.35,-1,-7,802.17,-0.99,-1.96
0.35999999999989996,1017.56,-2,-7,801.87,-1.16,-2.14
0.6099999999999,1017.81,-3,-6,801.48,-1.5,-2.29
0.75,1017.95,-4,-5,801.11,-1.61,-2.37
0.9599999999999227,1018.16,-4,-4,800.65,-1.88,-2.53
1.1499999999999773,1018.35,-4,-3,800.22,-1.97,-2.68
1.3399999999999181,1018.54,-4,-1,799.75,-2.14,-2.66
1.599999999999909,1018.8,-4,0,799.26,-2.26,-2.56
1.75,1018.95,-4,2,798.77,-2.35,-2.54
1.9599999999999227,1019.16,-4,3,798.3,-2.36,-2.51
2.1499999999999773,1019.35,-4,4,797.82,-2.37,-2.47
2.349999999999909,1019.55,-3,4,797.36,-2.36,-2.41
2.5799999999999272,1019.78,0,4,796.87,-2.38,-2.47
2.740000000000009,1019.94,4,5,796.39,-2.38,-2.44
2.949999999999932,1020.15,9,9,796.01,-2.2,-2.22
3.1399999999999864,1020.34,10,14,795.63,-2.06,-1.99
3.349999999999909,1020.55,9,16,795.32,-1.85,-1.77
3.6299999999999955,1020.83,9,19,795.03,-1.69,-1.63
3.7799999999999727,1020.98,9,21,794.75,-1.55,-1.61
3.949999999999932,1021.15,9,19,794.49,-1.43,-1.58
4.139999999999986,1021.34,9,17,794.26,-1.27,-1.53
4.329999999999927,1021.53,8,17,794.09,-1.1,-1.46
4.589999999999918,1021.79,8,16,793.95,-0.94,-1.39
4.740000000000009,1021.94,8,15,793.81,-0.82,-1.37
4.949999999999932,1022.15,8,15,793.72,-0.68,-1.39
5.139999999999986,1022.34,9,15,793.59,-0.64,-1.45
5.3599999999999,1022.56,9,14,793.47,-0.6,-1.51
5.589999999999918,1022.79,8,12,793.33,-0.6,-1.59
5.740000000000009,1022.94,7,11,793.21,-0.59,-1.65
5.949999999999932,1023.15,6,10,793.06,-0.63,-1.69
6.139999999999986,1023.34,5,8,792.93,-0.64,-1.74
6.349999999999909,1023.55,4,7,792.76,-0.68,-1.79
6.569999999999936,1023.77,3,7,792.6,-0.73,-1.86
6.75,1023.95,2,5,792.38,-0.85,-1.99
6.940000000000055,1024.14,2,1,792.14,-0.98,-2.06
7.139999999999873,1024.34,-5,4,791.79,-1.22,-2.66
7.349999999999909,1024.55,-2,-2,791.43,-1.49,-3.32
7.599999999999909,1024.8,1,-5,790.65,-2.39,-4.88
7.75,1024.95,0,-10,789.57,-3.44,-5.54
7.960000000000036,1025.16,-1,-14,788.3,-4.49,-6.24
8.139999999999873,1025.34,-2,-16,786.88,-5.46,-6.29
8.329999999999927,1025.53,0,-21,785.42,-6.19,-6.36
8.559999999999945,1025.76,4,-25,783.8,-6.93,-6.54
8.730000000000018,1025.93,4,-25,782.19,-7.37,-7.04
8.960000000000036,1026.16,3,-23,780.32,-8.12,-7.38
9.180000000000064,1026.38,-1,-23,778.3,-8.84,-8.22
9.329999999999927,1026.53,0,-20,776.1,-9.63,-8.37
9.559999999999945,1026.76,0,-16,773.76,-10.38,-8.77
9.730000000000018,1026.93,5,-14,771.39,-10.93,-9.19
9.940000000000055,1027.14,-1,-8,768.99,-11.34,-9.61
10.139999999999873,1027.34,1,-6,766.4,-11.94,-10.13
10.329999999999927,1027.53,3,-2,763.64,-12.62,-10.23
10.579999999999927,1027.78,2,-3,760.89,-13.04,-10.28
10.75,1027.95,3,-1,758.2,-13.24,-10.4
10.940000000000055,1028.14,-1,0,755.48,-13.37,-10.53
11.159999999999854,1028.36,-4,-1,752.74,-13.49,-10.55
11.349999999999909,1028.55,-1,-1,750.02,-13.52,-10.51
11.579999999999927,1028.78,-4,-1,747.37,-13.41,-10.16
11.75,1028.95,-6,-2,744.81,-13.2,-10.0
11.950000000000045,1029.15,-12,2,742.32,-12.94,-9.52
