report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,roll,GNSS_alt,GNSS_velD
0.07999999999992724,847.78,37.39845946570745,4.889673665879352,-2,-7,1267.12,-1.86
0.2299999999999045,847.93,37.67370483127835,4.468059708845724,-2,-9,1266.65,-2.02
0.4599999999999227,848.16,33.73086192077467,4.107398995248126,-6,-7,1266.12,-2.22
0.6299999999999955,848.33,34.953047953282834,3.785823139964823,-7,-5,1265.64,-2.29
0.849999999999909,848.55,35.82883415829849,3.501256785466204,-5,-6,1265.0,-2.6
1.0899999999999181,848.79,35.06371751132908,3.2505730771945776,-3,-6,1264.11,-3.3
1.240000000000009,848.94,33.519621880629984,3.052683695197711,-3,-7,1262.89,-4.28
1.4399999999999409,849.14,34.897581563477885,2.9002996184355947,0,-9,1261.77,-4.76
1.6499999999999773,849.35,32.52231376850582,2.781967340546021,1,-11,1260.61,-5.14
1.8599999999999,849.56,29.239401533561118,2.683508750602631,0,-10,1259.69,-4.9
2.089999999999918,849.79,30.002391486312543,2.597763610435782,-8,-4,1258.84,-4.6
2.240000000000009,849.94,30.002391486312543,2.5257075004349754,-7,-3,1258.05,-4.36
2.42999999999995,850.13,29.50322102788792,2.463539156810157,-8,-1,1257.24,-4.27
2.6399999999999864,850.34,29.06219140718324,2.41900201197924,-9,0,1256.47,-4.11
2.839999999999918,850.54,28.86152945796638,2.387331823575827,-11,2,1255.68,-4.01
3.099999999999909,850.8,29.371607489727428,2.370093512968034,-13,5,1254.87,-4.03
3.269999999999982,850.97,30.38732743048238,2.3560731840354108,-16,8,1254.02,-4.16
3.4599999999999227,851.16,31.575347203481513,2.349417911001266,-17,10,1253.15,-4.29
3.6399999999999864,851.34,32.28317586417964,2.357706392473031,-16,11,1252.22,-4.46
3.849999999999909,851.55,33.403837003114056,2.3856130846005406,-14,10,1251.27,-4.56
4.089999999999918,851.79,34.860554941313346,2.436170887160836,-11,8,1250.29,-4.67
4.240000000000009,851.94,35.66626235545524,2.514162301288031,-10,6,1249.29,-4.74
4.42999999999995,852.13,36.77162524922427,2.6250005536182988,-9,3,1248.33,-4.73
4.6299999999999955,852.33,38.57142857142857,2.775305834056417,-8,1,1247.39,-4.65
4.839999999999918,852.54,39.514149170820794,2.9707945039471313,-7,-3,1246.49,-4.5
5.079999999999927,852.78,39.80721238875268,3.2157838792477755,-6,-6,1245.67,-4.25
5.2299999999999045,852.93,40.09813376745422,3.5306195806047023,-6,-7,1244.9,-4.03
5.439999999999941,853.14,40.3229548616605,3.9438630979893206,-6,-10,1244.24,-3.73
5.6299999999999955,853.33,40.673734504854956,4.46392266378904,-6,-12,1243.67,-3.37
5.819999999999936,853.52,40.72133397638549,5.116752725926267,-6,-13,1243.22,-2.94
6.059999999999945,853.76,40.530600684380865,5.937265290463811,-5,-15,1242.82,-2.59
6.2299999999999045,853.93,40.082026864306904,6.966047632760605,-5,-16,1242.51,-2.21
6.449999999999932,854.15,39.119983214908125,8.25104398641112,-4,-17,1242.25,-1.88
6.649999999999977,854.35,38.62161913081473,9.792750124568142,-3,-17,1242.05,-1.6
6.839999999999918,854.54,37.79349433812272,11.661475616509698,-2,-17,1241.9,-1.33
7.069999999999936,854.77,36.6661110424816,13.825996363640181,-1,-17,1241.86,-1.0
7.240000000000009,854.94,35.702453397090636,15.990941352714321,-1,-16,1241.82,-0.76
7.42999999999995,855.13,34.65620140636257,17.665717194791373,-1,-15,1241.73,-0.62
7.639999999999986,855.34,33.57736459678315,18.6606722889061,0,-14,1241.63,-0.52
7.849999999999909,855.55,32.75970607067064,18.769178888051954,1,-12,1241.52,-0.48
8.069999999999936,855.77,32.14285714285714,18.144886385261128,1,-10,1241.4,-0.49
8.25,855.95,31.63663877951174,16.979625644299475,1,-9,1241.27,-0.53
8.449999999999932,856.15,31.24642836732361,15.474932196997932,1,-6,1241.12,-0.57
8.649999999999977,856.35,30.830345507010335,13.902346904999185,1,-4,1240.96,-0.65
8.839999999999918,856.54,31.0390841504378,12.422865400728206,0,-2,1240.77,-0.74
9.079999999999927,856.78,30.955757599700718,11.137029791366778,0,0,1240.57,-0.84
9.25,856.95,30.914010099114662,10.098806893712945,-1,2,1240.33,-0.98
9.459999999999923,857.16,30.830345507010335,9.280627053958122,-2,3,1240.06,-1.08
9.649999999999977,857.35,30.851282925727176,8.636206290005116,-3,4,1239.77,-1.23
9.849999999999909,857.55,30.809393859665597,8.166030782733165,-4,5,1239.44,-1.41
10.099999999999909,857.8,30.683383540773406,7.849761155177279,-6,6,1239.07,-1.59
10.25,857.95,31.059880859069498,7.713105097071881,-7,6,1238.67,-1.75
10.449999999999932,858.15,32.203068604575876,7.751304806048831,-8,6,1238.24,-1.91
10.659999999999968,858.36,33.57736459678315,7.97353035293252,-8,5,1237.81,-2.03
10.849999999999909,858.55,34.18721901350782,8.371535288699125,-8,2,1237.42,-1.98
11.1099999999999,858.81,34.74923835606373,8.959806210151084,-7,-1,1237.06,-1.91
11.259999999999991,858.96,34.337990280891695,9.728480867275323,-5,-3,1236.77,-1.72
11.449999999999932,859.15,33.307042140100776,10.70806288198891,-2,-4,1236.52,-1.59
11.659999999999968,859.36,31.900874852055868,11.819023150214905,1,-5,1236.31,-1.38
11.849999999999909,859.55,30.53571428571428,12.992102794744858,3,-8,1236.19,-1.01
12.1099999999999,859.81,28.90624138168652,13.989802729362058,3,-9,1236.21,-0.52
12.259999999999991,859.96,28.067543351635145,14.323948295799417,2,-7,1236.24,-0.23
12.43999999999994,860.14,27.439346376906226,13.775584650739658,1,-6,1236.27,-0.09
12.649999999999977,860.35,27.012433361740086,12.485740929812527,-1,-4,1236.23,-0.15
12.849999999999909,860.55,26.84457817793046,10.851948530488697,-2,-3,1236.14,-0.28
13.099999999999909,860.8,26.554357995843702,9.29185242822027,-4,-1,1235.96,-0.55
13.259999999999991,860.96,26.310062481018587,7.9673111574343665,-5,0,1235.72,-0.85
13.42999999999995,861.13,26.112980586329872,6.914237560360967,-6,1,1235.33,-1.33
13.659999999999968,861.36,27.202999628267285,6.145094473923509,-8,2,1234.89,-1.72
13.849999999999909,861.55,28.20524267376039,5.580089030210965,-10,3,1234.44,-2.01
14.1099999999999,861.81,29.851353676617922,5.177955577402947,-10,4,1233.94,-2.35
14.259999999999991,861.96,31.30836386589346,4.909724401024373,-11,5,1233.37,-2.65
14.42999999999995,862.13,32.62143717351071,4.76554874188407,-12,6,1232.75,-2.89
14.639999999999986,862.34,34.63756402861977,4.73040661462265,-14,6,1232.1,-3.09
14.829999999999927,862.53,36.080267658177284,4.7939795774826575,-15,7,1231.42,-3.26
15.089999999999918,862.79,36.89434376758606,4.943562662189549,-14,7,1230.73,-3.37
15.240000000000009,862.94,36.964285714285715,5.188728993058949,-13,8,1230.08,-3.34
15.42999999999995,863.13,37.15594721259715,5.542246359550928,-12,9,1229.46,-3.27
15.649999999999977,863.35,37.89586967963013,6.000368350502385,-9,10,1228.94,-3.02
15.839999999999918,863.54,38.167528136907585,6.5647733429439,-6,10,1228.49,-2.73
16.079999999999927,863.78,38.77180097726191,7.2811807665983865,-3,12,1228.11,-2.41
16.25,863.95,38.487632190518724,8.191747676709587,-1,14,1227.81,-2.09
16.43999999999994,864.14,37.69084092715256,9.293720575527018,1,16,1227.58,-1.76
16.629999999999995,864.33,37.519127774770986,10.591900526155731,3,18,1227.41,-1.45
16.829999999999927,864.53,37.24274001296722,12.085547484500303,5,19,1227.27,-1.2
17.09999999999991,864.8,36.78918152869156,13.709889501272352,7,21,1227.18,-0.95
17.25,864.95,36.75406058366551,15.309735892817654,8,22,1227.08,-0.79
17.42999999999995,865.13,36.0623662590807,16.674919118051523,9,23,1227.0,-0.68
17.649999999999977,865.35,36.09816017981176,17.64489607168202,10,24,1226.9,-0.63
17.819999999999936,865.52,35.918833883507695,18.309377416302322,10,24,1226.84,-0.56
18.079999999999927,865.78,36.13391864343822,18.48000302615458,10,23,1226.73,-0.61
18.25,865.95,36.151784611720686,18.284807141537613,10,22,1226.62,-0.62
18.43999999999994,866.14,36.026536775560544,18.01426555607276,9,20,1226.52,-0.63
18.659999999999968,866.36,35.882861081409814,17.758060435454563,9,18,1226.38,-0.69
18.84999999999991,866.55,35.63003455295683,17.679210075955332,8,16,1226.25,-0.67
19.09999999999991,866.8,34.54422631104323,17.825294937580225,6,12,1226.1,-0.66
19.25,866.95,34.60025915616051,18.489324615378084,5,10,1225.99,-0.61
19.449999999999932,867.15,34.01680257083045,19.49300712124919,4,6,1225.89,-0.51
