report_t_s,t,pitch,roll,G_force,GNSS_alt,GNSS_velD
0.10841406833172426,826.84,-1,6,1.07,758.93,-2.01
0.25830499054231637,826.99,-1,6,1.09,758.59,-1.9
0.4681522816372135,827.2,0,5,1.11,758.27,-1.77
0.6580141164372666,827.39,0,5,1.15,758.02,-1.59
0.8678614075321638,827.6,1,3,1.17,757.82,-1.35
1.087701426774426,827.82,3,2,1.14,757.67,-1.1
1.2575778052797486,827.99,4,3,1.13,757.58,-0.85
1.477417824522011,828.21,6,4,1.13,757.53,-0.63
1.6872651156167946,828.42,9,8,1.13,757.53,-0.41
1.8871196785643265,828.62,10,12,1.1,757.53,-0.26
2.1169524259539543,828.85,10,19,1.03,757.53,-0.16
2.2668433481645462,829.0,9,24,0.95,757.5,-0.18
2.466697911112078,829.2,7,30,0.86,757.37,-0.39
2.676545202206862,829.41,4,37,0.79,757.11,-0.77
2.8763997651543938,829.61,1,42,0.78,756.69,-1.34
3.1062325125440213,829.84,-3,45,0.8,756.1,-2.01
3.266116162901979,830.0,-5,47,0.84,755.35,-2.73
3.455977997702145,830.19,-7,48,0.94,754.4,-3.51
3.665825288796929,830.4,-9,47,1.08,753.33,-4.24
3.8556871235970953,830.59,-10,47,1.2,752.1,-4.97
4.1354835117235496,830.87,-12,46,1.36,750.81,-5.52
4.285374433934141,831.02,-12,46,1.4,749.43,-6.01
4.485228996881673,831.22,-13,47,1.47,747.99,-6.44
4.695076287976457,831.43,-13,48,1.55,746.51,-6.75
4.8849381227766235,831.62,-13,50,1.64,745.01,-7.02
5.144749054608347,831.88,-12,55,1.71,743.49,-7.21
5.274654520524209,832.01,-12,57,1.76,741.96,-7.37
5.464516355324375,832.2,-13,62,1.83,740.38,-7.55
5.684356374566524,832.42,-15,67,1.89,738.76,-7.75
5.874218209366691,832.61,-18,72,1.9,737.04,-8.06
6.134029141198414,832.87,-22,79,2.0,735.18,-8.51
6.263934607114275,833.0,-26,83,2.04,733.12,-9.13
6.4637891700618075,833.2,-31,88,2.2,730.92,-9.77
6.663643733009226,833.4,-40,92,2.47,728.59,-10.39
6.873491024104123,833.61,-43,96,2.71,726.11,-11.02
7.113316499641115,833.85,-42,107,3.26,723.41,-11.74
7.263207421851708,834.0,-43,117,3.59,720.69,-12.22
7.46306198479924,834.2,17,112,3.94,717.63,-12.94
7.652923819599293,834.39,74,129,4.33,714.22,-13.85
7.86277111069419,834.6,92,145,4.47,711.02,-14.3
8.102596586231183,834.84,100,163,4.48,708.23,-14.2
8.252487508441774,834.99,107,175,4.33,705.87,-13.73
8.462334799536672,835.2,120,-153,4.16,703.03,-13.82
8.652196634336725,835.39,116,-122,4.29,700.02,-14.09
8.852051197284258,835.59,113,55,4.38,697.18,-14.16
9.121854857263346,835.86,102,91,4.26,694.02,-14.42
9.261753051326572,836.0,99,108,4.08,691.3,-14.29
9.461607614274104,836.2,99,142,3.75,688.6,-14.15
9.651469449074158,836.39,109,172,3.51,685.88,-14.03
9.85132401202169,836.59,122,-157,3.37,682.92,-14.12
10.101142215706048,836.84,116,32,3.46,680.53,-13.86
10.25103313791664,836.99,112,49,3.42,678.04,-13.7
10.460880429011537,837.2,100,69,3.14,675.11,-13.87
10.65074226381159,837.39,91,94,2.85,673.46,-13.18
10.840604098611756,837.58,88,120,2.61,671.21,-12.95
11.12040048673821,837.86,93,156,2.27,669.1,-12.67
11.250305952654072,837.99,98,170,2.26,666.75,-12.6
11.450160515601604,838.19,104,-142,2.23,663.73,-13.0
11.660007806696388,838.4,110,-107,2.38,660.38,-13.57
11.849869641496554,838.59,112,-58,2.53,657.05,-14.06
12.089695117033546,838.83,110,-2,2.69,653.07,-14.92
12.25957149553887,839.0,107,33,2.74,649.2,-15.63
12.449433330339037,839.19,104,69,2.78,645.68,-15.96
12.649287893286454,839.39,99,100,2.89,642.08,-16.34
12.839149728086621,839.58,92,128,2.88,638.55,-16.59
13.088967931770979,839.83,82,161,3.04,635.03,-16.78
13.238858853981572,839.98,77,176,3.19,631.57,-16.9
13.458698873223835,840.2,70,-148,3.4,626.94,-17.76
13.648560708023886,840.39,67,-118,3.49,622.43,-18.37
13.838422542824054,840.58,67,-89,3.63,617.75,-19.04
14.078248018361046,840.82,55,-57,3.8,613.91,-19.11
14.24812439686637,840.99,35,-38,3.91,609.34,-19.63
14.46796441610863,841.21,37,-17,3.99,605.85,-19.38
14.657826250908684,841.4,62,3,4.03,601.88,-19.42
14.847688085708851,841.59,76,29,4.12,597.55,-19.7
15.087513561245844,841.83,101,89,4.17,594.09,-19.4
15.237404483456435,841.98,94,127,4.2,590.04,-19.48
15.457244502698698,842.2,74,150,4.24,586.31,-19.35
15.647106337498752,842.39,56,157,4.24,582.86,-19.05
15.836968172298919,842.58,39,160,4.22,579.36,-18.79
16.07679364783591,842.82,18,158,4.21,575.77,-18.62
16.246670026341235,842.99,5,153,4.19,573.38,-17.76
16.436531861141287,843.18,-7,143,4.17,571.13,-16.84
16.65637188038355,843.4,-18,124,3.99,568.05,-16.56
16.846233715183715,843.59,-20,99,3.91,565.23,-16.14
17.096051918868074,843.84,-18,62,3.69,564.18,-14.85
17.275921025520763,844.02,-13,45,3.54,563.44,-13.58
17.465782860320928,844.21,-5,29,3.33,562.15,-12.73
17.685622879563077,844.43,4,13,3.09,561.39,-11.7
17.915455626952706,844.66,14,-2,2.77,559.05,-11.7
18.145288374342332,844.89,23,-15,2.42,558.78,-10.6
18.28518656840556,845.03,28,-22,2.21,558.42,-9.7
18.535004772089916,845.28,37,-35,1.87,556.49,-9.7
18.744852063184815,845.49,43,-44,1.58,554.55,-9.7
18.934713897984867,845.68,48,-51,1.28,554.26,-8.93
19.104590276490303,845.85,52,-56,1.08,591.04,7.98
19.254481198700894,846.0,61,-59,0.93,593.71,8.09
19.474321217943157,846.22,66,-64,0.73,594.58,7.63
19.644197596448482,846.39,62,-68,0.62,596.01,7.07
19.864037615690744,846.61,53,-71,0.55,597.36,6.4
20.09387036308037,846.84,45,-73,0.54,598.21,5.72
20.263746741585692,847.01,40,-75,0.56,598.72,4.96
20.463601304533224,847.21,32,-75,0.61,598.57,3.82
20.643470411185913,847.39,25,-74,0.7,598.57,2.67
20.853317702280812,847.6,14,-72,0.78,598.2,1.43
21.113128634112535,847.86,15,-68,1.16,597.75,0.13
21.25302682817576,848.0,13,-70,0.98,597.53,-0.33
21.46287411927066,848.21,15,-68,0.79,597.24,-0.63
21.65273595407071,848.4,11,-65,0.69,596.89,-0.96
21.88256870146034,848.63,6,-62,0.65,596.39,-1.32
22.092415992555235,848.84,0,-56,0.64,595.72,-1.74
22.262292371060557,849.01,-6,-52,0.7,594.99,-2.21
22.452154205860726,849.2,-12,-50,0.8,594.31,-2.63
22.642016040660778,849.39,-17,-48,0.92,593.34,-3.17
22.86185605990304,849.61,-21,-44,1.06,592.25,-3.85
23.091688807292666,849.84,-26,-40,1.24,590.9,-4.73
23.26156518579799,850.01,-25,-38,1.35,589.55,-5.26
23.451427020598157,850.2,-21,-38,1.42,588.41,-5.38
23.651281583545575,850.4,-16,-41,1.46,587.4,-5.33
23.84114341834574,850.59,-14,-43,1.46,586.52,-5.03
24.080968893882734,850.83,-13,-47,1.45,585.74,-4.62
24.260838000535422,851.01,-14,-49,1.45,585.24,-3.93
24.47068529163032,851.22,-15,-52,1.42,584.93,-3.14
24.660547126430373,851.41,-16,-53,1.35,584.71,-2.37
24.860401689377905,851.61,-16,-54,1.28,584.52,-1.72
25.09023443676753,851.84,-15,-55,1.2,584.33,-1.26
25.27010354342022,852.02,-14,-54,1.15,584.15,-0.96
25.459965378220385,852.21,-13,-53,1.12,584.06,-0.77
