report_t_s,t,IAS_kmh,pitch,roll,GNSS_alt,GNSS_vz_ms
0.04622609108703021,551.39,32.75970607067064,-4,-1,743.97,-1.3406904761904863
0.2562225517662371,551.6,32.83845547773624,-3,-1,743.68,-1.399495798319338
0.4562191809844265,551.8,31.921110106137654,-2,-1,743.41,-1.452857142857137
0.6962151360463447,552.04,31.0390841504378,-1,-1,743.17,-1.4837414965986357
0.8662122708819364,552.21,30.809393859665597,-1,0,742.95,-1.4952488363766503
1.056209068639222,552.4,30.59908837177463,0,0,742.74,-1.4942258503401393
1.2562056978575251,552.6,31.34958621931793,1,1,742.54,-1.4782857142857242
1.4462024956148107,552.79,31.677433946400573,0,2,742.35,-1.4732591218305677
1.6761986192158251,553.02,31.493439550069425,1,4,742.2,-1.468872180451139
1.8561955855123207,553.2,31.799505435122217,2,4,742.05,-1.4726459004654575
2.0461923832696063,553.39,31.94133254092252,2,4,741.91,-1.4764069264069317
2.2561888439488134,553.6,31.799505435122217,2,3,741.79,-1.4808403361344713
2.4661853046279063,553.81,31.431868739369914,2,3,741.65,-1.5075789473684154
2.696181428228921,554.04,31.142928817086585,1,3,741.52,-1.5334693877551087
2.846178900142705,554.19,30.893115192976744,0,3,741.4,-1.5470676691729588
3.0461755293608945,554.39,30.556853585086408,-1,3,741.28,-1.5670329670329661
3.256171990040101,554.6,30.366070115932256,-1,3,741.15,-1.585904761904739
3.4561686192582908,554.8,29.98086124207119,-2,3,741.02,-1.6278911564625755
3.7061644057811125,555.05,29.98086124207119,-2,2,740.87,-1.695728607232354
3.856161877694897,555.2,30.704421173372356,-2,1,740.69,-1.75251879699249
4.046158675452182,555.39,30.914010099114662,-2,-1,740.5,-1.8245714285714354
4.256155136131389,555.6,30.641264943649745,-3,-3,740.3,-1.9108123249300044
4.466151596810483,555.81,30.002391486312543,-2,-3,740.05,-2.0449248120300547
4.716147383333304,556.06,29.937754302102572,-1,-2,739.78,-2.18775510204078
4.8661448552470885,556.21,30.38732743048238,-1,-3,739.45,-2.288496240601554
5.086141147387085,556.43,30.830345507010335,-2,-1,738.98,-2.4310224558050453
5.276137945144485,556.62,31.677433946400573,-1,-3,738.39,-2.563809523809482
5.466134742901771,556.81,32.66100230287753,2,-5,737.75,-2.747293233082652
5.7061306979636885,557.05,34.168325826647084,1,-6,737.04,-2.9397959183673135
5.8761278327992805,557.22,32.85811333970497,1,-4,736.33,-3.067518796992512
6.066124630556566,557.41,29.195199843082953,1,-1,735.61,-3.1804968944099494
6.2761210912357726,557.62,24.026651337416872,1,3,734.92,-3.2983571428571525
6.466117888993058,557.81,22.47128269410465,-2,7,734.28,-3.412646616541305
6.7261135069768985,558.07,26.91664428928536,-6,13,733.65,-3.515510204081628
6.876110978890568,558.22,29.525099578190094,-9,16,733.01,-3.5560751879699444
7.086107439569662,558.43,33.3651527550429,-11,21,732.34,-3.5847912087912
7.276104237327061,558.62,35.26570969954022,-11,26,731.61,-3.590285714285723
7.466101035084346,558.81,35.95477069478104,-10,30,730.82,-3.5637142857142896
7.716096821607168,559.06,36.64849580675801,-10,36,729.97,-3.5109523809524035
7.866094293520953,559.21,37.17332198427979,-9,38,729.02,-3.467683494450398
8.066090922739143,559.41,36.8768375536621,-9,40,728.03,-3.4034857142856936
8.27608738341835,559.62,36.91184167882238,-8,40,726.96,-3.3169523809523622
8.466084181175635,559.81,37.980971672452945,-8,39,725.8,-3.2123376623376965
8.726079799159475,560.07,39.432356184809876,-9,36,724.59,-3.06172932330823
8.876077271073145,560.22,40.753036070697746,-9,33,723.33,-2.966808270676649
9.06607406883043,560.41,43.27364577161655,-9,29,722.08,-2.860595238095243
9.266070698048733,560.61,45.428445080686835,-9,26,720.88,-2.750685197155771
9.45606749580602,560.8,46.56556026787634,-8,22,719.77,-2.6317937701396494
9.706063282328842,561.05,46.74548433937174,-6,18,718.77,-2.5042857142857264
9.86606058570353,561.21,46.25947917200653,-4,16,717.85,-2.4335338345864392
10.056057383460814,561.4,45.35731861608241,-1,14,717.07,-2.3640247252747355
10.256054012679117,561.6,44.130632842754935,2,11,716.47,-2.2988571428571567
10.446050810436404,561.79,43.28856514657167,4,7,716.01,-2.216258503401361
10.706046428420128,562.05,41.59986141067966,6,1,715.71,-2.124436090225572
10.856043900333914,562.2,41.00577049984202,6,-2,715.59,-2.0639097744360697
11.056040529552103,562.4,39.72602280313374,7,-7,715.67,-1.9852653061224308
11.26603699023131,562.61,38.15060615507963,9,-11,715.79,-1.894149659863891
11.456033787988595,562.8,36.999207106782876,10,-13,715.99,-1.7866578947368745
11.706029574511417,563.05,37.05152748235233,12,-17,716.28,-1.6635839598997595
11.8560270464252,563.2,36.70131615000826,11,-18,716.6,-1.5796813462226444
12.076023338565198,563.42,35.28401528587524,10,-20,716.9,-1.466451465201479
