report_t_s,t,IAS_kmh,pitch,roll,vario
0.15031410711858104,281.6,34.98997669887414,0,0,-0.66
0.34031090487592347,281.79,34.916080150286405,1,0,-0.55
0.5803068599377849,282.03,34.65620140636257,2,1,-0.42
0.7503039947733198,282.2,34.5629140193677,3,1,-0.34
0.9403007925306622,282.39,34.28152876237748,3,1,-0.26
1.160297084670773,282.61,33.9788161797846,3,1,-0.19
1.3502938824281154,282.8,33.76912723304576,3,1,-0.12
1.5902898374900336,283.04,33.345793802003186,4,1,-0.06
1.7602869723255117,283.21,33.073578686662515,4,1,-0.06
1.9502837700828541,283.4,32.60163660284056,5,2,-0.14
2.1602802307620608,283.61,31.94133254092252,4,3,-0.28
2.3502770285194035,283.8,31.328981822600237,4,3,-0.39
2.610272646503129,284.06,30.934890891835966,3,3,-0.58
2.7602701184167997,284.21,30.851282925727176,2,3,-0.7
2.950266916174142,284.4,30.934890891835966,1,3,-0.87
3.1502635453924452,284.6,30.934890891835966,0,3,-1.08
3.3502601746106913,284.8,30.851282925727176,-1,3,-1.28
3.5902561296726097,285.04,31.059880859069498,-3,3,-1.48
3.7602532645080875,285.21,31.22575590170161,-3,3,-1.6
3.9402502308045264,285.39,31.37017708276575,-4,2,-1.72
4.1502466914837335,285.6,31.921110106137654,-5,2,-1.82
4.3502433207019795,285.8,32.203068604575876,-5,1,-1.89
4.580239444302937,286.03,32.73998912270898,-6,1,-1.93
4.760236410599376,286.21,33.20996515677614,-5,1,-1.91
4.950233208356718,286.4,33.403837003114056,-5,0,-1.84
5.1602296690359255,286.61,33.63500818359056,-5,0,-1.7
5.350226466793267,286.8,33.82644403904333,-4,-1,-1.51
5.580222590394225,287.03,33.9217568344373,-2,-1,-1.26
5.7602195566906635,287.21,34.22497409846816,-1,-2,-1.04
5.950216354448006,287.4,33.883663889423595,0,-2,-0.81
6.140213152205349,287.59,33.596590114875326,2,-3,-0.56
6.340209781423652,287.79,33.42316233710157,3,-4,-0.31
6.590205567946474,288.04,32.402965425518495,5,-5,-0.04
6.750202871321048,288.2,31.840091929541167,6,-5,0.08
6.960199332000255,288.41,31.26708716519526,6,-6,0.22
7.150196129757598,288.6,30.323510781610512,7,-6,0.26
7.34019292751494,288.79,29.28353650439239,8,-6,0.26
7.610188376959569,289.06,27.859718287542403,8,-6,0.2
7.76018584887324,289.21,27.415803389837112,8,-5,0.13
7.960182478091543,289.41,26.578664049441258,8,-5,0.01
8.160179107309789,289.61,25.15576474687263,7,-5,-0.12
8.350175905067132,289.8,24.267324970513126,7,-4,-0.28
8.600171691589953,290.05,23.15066832464132,5,-3,-0.52
8.750169163503625,290.2,22.442528641771514,4,-2,-0.67
8.940165961260966,290.39,21.9773480322493,3,-1,-0.84
9.150162421940173,290.6,21.351423625049605,2,0,-1.03
9.340159219697515,290.79,21.502105971845868,0,0,-1.21
9.600154837681242,291.05,21.290852088468917,-1,1,-1.45
9.740152478134009,291.19,21.04682280060342,-2,2,-1.57
9.960148770274118,291.41,21.411823812547865,-4,2,-1.73
10.150145568031462,291.6,21.9773480322493,-5,3,-1.86
10.350142197249708,291.8,22.240209379979003,-6,3,-1.99
10.590138152311626,292.04,23.010783851694136,-6,3,-2.17
10.760135287147104,292.21,23.42793172036058,-6,3,-2.27
10.950132084904446,292.4,23.999760840645123,-6,4,-2.34
11.14012888266179,292.59,24.74164979733319,-6,4,-2.36
11.340125511880093,292.79,25.15576474687263,-6,4,-2.33
11.590121298402915,293.04,25.46193136782031,-5,4,-2.27
11.750118601777489,293.2,25.76445997802367,-5,4,-2.24
11.960115062456696,293.41,26.334594013136687,-4,4,-2.18
12.150111860214038,293.6,26.48130597849227,-4,4,-2.13
12.360108320893188,293.81,26.456910481855164,-3,4,-2.06
12.600104275955106,294.05,26.530029673745105,-2,3,-2.0
12.740101916407873,294.19,26.748187998899844,-1,3,-1.97
12.950098377087022,294.4,27.084052842352577,0,3,-1.92
13.160094837766229,294.61,26.84457817793046,0,2,-1.87
13.360091466984477,294.81,26.79642642942814,1,2,-1.84
13.600087422046395,295.05,26.651449208213034,2,2,-1.84
13.74008506249916,295.19,26.578664049441258,2,2,-1.86
13.960081354639271,295.41,26.48130597849227,3,1,-1.97
14.150078152396613,295.6,26.505679021827813,3,2,-2.09
14.360074613075763,295.81,26.334594013136687,3,2,-2.21
14.600070568137681,296.05,26.408051879713366,1,2,-2.28
14.750068040051353,296.2,26.456910481855164,-1,3,-2.27
14.96006450073056,296.41,26.60294789557529,-4,5,-2.34
15.150061298487902,296.6,26.724036131221965,-6,7,-2.59
15.360057759167052,296.81,27.836530835928386,-8,7,-2.95
15.610053545689874,297.06,29.67779782385259,-11,8,-3.49
15.75005118614264,297.2,30.76744776280175,-12,8,-3.73
15.960047646821847,297.41,32.9170164882815,-12,8,-3.91
16.160044276040093,297.61,34.76781587054561,-11,7,-3.86
16.350041073797435,297.8,36.11604383717823,-9,6,-3.62
16.590037028859353,298.04,37.05152748235233,-7,4,-3.12
16.760034163694833,298.21,37.67370483127835,-5,2,-2.69
16.950030961452175,298.4,37.91290536027466,-3,1,-2.27
17.140027759209516,298.59,37.622249713027365,-2,0,-1.92
17.36002405134963,298.81,37.346625124142946,0,0,-1.58
17.59002017495064,299.04,36.82426897732371,2,-1,-1.27
17.76001730978612,299.21,36.57795003238192,4,-2,-1.05
17.950014107543463,299.4,36.13391864343822,5,-3,-0.79
18.150010736761764,299.6,34.74923835606373,6,-3,-0.62
18.360007197440915,299.81,33.57736459678315,7,-4,-0.44
18.59000332104193,300.04,31.554890222258344,9,-5,-0.3
18.750000624416504,300.2,29.54696192815216,10,-5,-0.23
18.95999708509571,300.41,27.69699847437978,11,-5,-0.18
19.149993882853053,300.6,28.136477250018636,11,-4,-0.2
19.339990680610395,300.79,30.066889715147745,11,-4,-0.26
19.579986635672256,301.03,31.163656226247827,11,-4,-0.34
19.749983770507793,301.2,31.184369858462553,9,-3,-0.4
19.959980231187,301.41,30.830345507010335,7,-3,-0.55
20.159976860405244,301.61,29.8297144177563,6,-2,-0.7
20.34997365816259,301.8,29.217309047192956,4,-2,-0.88
20.589969613224508,302.04,28.928571428571427,2,-1,-1.08
20.74996691659908,302.2,28.883894071518366,1,0,-1.23
20.949963545817326,302.4,29.06219140718324,-1,1,-1.39
21.16995983795744,302.62,29.415544099912164,-4,1,-1.56
21.35995663571478,302.81,29.371607489727428,-5,2,-1.72
21.579952927854833,303.03,31.08066365220061,-6,2,-1.87
21.74995006269037,303.2,32.001923172439085,-6,3,-1.94
21.939946860447712,303.39,33.05404896621932,-8,3,-1.98
22.14994332112692,303.6,33.61580463752983,-8,3,-2.03
22.35993978180607,303.81,34.337990280891695,-8,3,-2.03
22.56993624248522,304.02,35.118921509055255,-7,3,-2.04
22.749933208781655,304.2,35.68436246438761,-6,3,-1.97
22.959929669460863,304.41,36.560292319534256,-5,3,-1.85
23.15992629867911,304.61,36.77162524922427,-5,2,-1.67
23.349923096436452,304.8,37.15594721259715,-4,2,-1.5
