report_t_s,t,IAS_kmh,pitch,roll,GNSS_alt,GNSS_vz_ms
0.21976422660250353,580.04,29.50322102788792,5,2,693.86,-1.4709047619047462
0.3797615299771915,580.2,28.995458388217575,5,2,693.86,-1.5013270676691783
0.5697583277344771,580.39,28.771897162448816,4,1,693.86,-1.527176301958905
0.7897546198745877,580.61,28.659462589489834,2,-1,693.83,-1.553781512605058
0.9797514176318733,580.8,28.816748159530352,3,-2,693.79,-1.5897326649958197
1.2297472041546953,581.05,28.659462589489834,1,-4,693.72,-1.6310204081632622
1.3797446760684795,581.2,28.681984763959413,1,-4,693.6,-1.6589285714285649
1.5697414738257651,581.39,29.173073883221804,0,-4,693.48,-1.6891340659340617
1.779737934504972,581.6,28.771897162448816,-3,-4,693.28,-1.724952380952394
1.9697347322622576,581.79,28.816748159530352,-4,-4,693.07,-1.7698823144818496
2.2297303502459833,582.05,28.90624138168652,-4,-4,692.83,-1.8503601440576014
2.3797278221597677,582.2,29.415544099912164,-5,-4,692.54,-1.9106766917293498
2.5897242828388607,582.41,30.302208699050578,-7,-3,692.2,-1.9873809523809314
2.789720912057164,582.61,30.893115192976744,-6,-3,691.81,-2.0705042016806567
2.9797177098144494,582.8,32.32315504465516,-6,-2,691.39,-2.1606337271750493
3.219713664876368,583.04,34.525528487583486,-6,-3,690.84,-2.2668270676691527
3.3897107997119593,583.21,36.560292319534256,-7,-2,690.18,-2.344090909090937
3.579707597469245,583.4,37.48469075257693,-6,-2,689.42,-2.4280124223602604
3.779704226687548,583.6,38.26890289218425,-4,-4,688.63,-2.519821428571439
3.969701024444834,583.79,39.185952879331964,-3,-3,687.84,-2.608571428571411
4.22969664242856,584.05,38.78845195547304,-1,0,687.03,-2.7111688311688176
4.399693777264151,584.22,38.13367666405073,-1,4,686.28,-2.7777443609022776
4.579690743560533,584.4,37.519127774770986,-2,8,685.55,-2.835642857142862
4.78968720423974,584.61,38.09979511434546,-4,13,684.86,-2.9057142857143066
4.969684170536122,584.79,37.58790716847803,-3,17,684.19,-2.962219835302546
5.229679788519848,585.05,37.312028891498244,-2,22,683.51,-3.0190476190476017
5.379677260433632,585.2,38.403652967191675,-1,24,682.84,-3.04586466165415
5.609673384034532,585.43,38.77180097726191,1,25,682.14,-3.0768131868131996
5.779670518870124,585.6,38.42046349676331,1,25,681.42,-3.0995238095238
5.96966731662741,585.79,38.6550432990183,3,24,680.69,-3.125918367346945
6.209663271689328,586.03,38.871599857868006,4,20,679.94,-3.1483007518796904
6.37966040652492,586.2,39.25181167013511,4,17,679.22,-3.1622932330826967
6.589656867204013,586.41,39.855846753119714,4,12,678.5,-3.1721868530020663
6.789653496422316,586.61,39.66095146902771,3,9,677.82,-3.171493930905691
6.989650125640505,586.81,37.99796919922571,3,5,677.15,-3.1458503401360565
7.21964624924152,587.04,40.76887787346157,3,2,676.45,-3.1146090225564
7.379643552616208,587.2,41.42876385423291,4,0,675.84,-3.0926423200858966
7.589640013295301,587.41,41.50662290403736,5,-2,675.28,-3.0714505494505113
7.7796368110527006,587.6,41.27260512341654,5,-5,674.71,-3.0591467356172677
7.9696336088099855,587.79,41.14725143943891,5,-6,674.16,-3.060944444444447
8.209629563871903,588.03,41.08443117159926,4,-8,673.62,-3.0588292158968704
8.359627035785575,588.18,40.6578556307363,3,-9,673.08,-3.059104308390033
8.569623496464782,588.39,40.450863049242486,3,-10,672.56,-3.0603159340659465
8.77961995714399,588.6,39.98524919343662,2,-10,672.08,-3.0766666666666618
8.969616754901274,588.79,39.66095146902771,1,-10,671.64,-3.0886617730095947
9.229612372885,589.05,37.38118933804181,0,-10,671.2,-3.0991242812914703
9.379609844798784,589.2,37.38118933804181,-1,-9,670.71,-3.1008270676691803
9.589606305477878,589.41,37.63940923488333,1,-8,670.25,-3.1096583850931796
9.779603103235276,589.6,39.05390211500207,1,-6,669.74,-3.1214863445378245
9.979599732453465,589.8,40.06591348602185,2,-4,669.21,-3.1299999999999955
10.20959585605448,590.03,39.235357336286896,3,-3,668.63,-3.1382556390977436
10.389592822350975,590.21,38.78845195547304,3,-3,668.04,-3.1439795918367315
10.599589283030069,590.42,37.82765023694942,3,-3,667.45,-3.143602484472061
10.789586080787469,590.61,37.329331015725856,3,-3,666.84,-3.142715336134464
10.999582541466674,590.82,37.016655448760424,3,-3,666.2,-3.156142857142868
11.249578327989497,591.07,36.59559922522189,1,-2,665.55,-3.1727067669173072
11.37957613698136,591.2,36.61323991037523,0,-1,664.88,-3.171893369788092
11.579572766199549,591.4,36.64849580675801,-1,1,664.19,-3.175388198757738
11.76956956395695,591.59,36.59559922522189,-2,3,663.49,-3.1765378151260557
11.979566024636043,591.8,36.73648751998648,-3,5,662.78,-3.179455782312922
12.21956197969796,592.04,36.946812640412084,-3,7,662.05,-3.1999279711884907
12.369559451611744,592.19,37.38118933804181,-4,8,661.3,-3.2167255639097903
12.589555743751742,592.41,38.47085101152586,-5,10,660.52,-3.2442032967033065
12.77955254150914,592.6,39.46509372152788,-6,12,659.73,-3.274397759103652
12.97954917072733,592.8,40.753036070697746,-6,14,658.93,-3.3191586108127273
13.209545294328345,593.03,42.139641221122154,-7,15,658.13,-3.388413533834572
13.369542597703033,593.19,41.816609457614,-6,15,657.36,-3.4357244897959487
13.579539058382126,593.4,39.25181167013511,-5,15,656.61,-3.498944099378897
13.769535856139525,593.59,40.70547367043766,-4,14,655.9,-3.564603174603186
13.979532316818618,593.8,40.13032817951927,-3,11,655.16,-3.670343716433909
14.219528271880536,594.04,39.415977219955884,-1,7,654.46,-3.7924812030075015
14.389525406716128,594.21,39.448728349179355,0,3,653.79,-3.87156462585038
14.589522035934317,594.41,39.07043286796034,-1,1,653.13,-3.95478571428576
14.779518833691716,594.6,38.437266674254495,0,-2,652.49,-4.037465659340731
14.999515125831827,594.82,37.15594721259715,1,-5,651.89,-4.132812030075213
15.229511249432727,595.05,36.68371781950712,4,-8,651.3,-4.204559125085439
15.39950838426832,595.22,36.8768375536621,5,-12,650.74,-4.256308628714659
15.609504844947413,595.43,36.41872240807927,5,-17,650.18,-4.300874542124526
15.779501979783005,595.6,36.16964175512218,4,-22,649.62,-4.312285714285671
15.979498609001194,595.8,35.738607789541746,2,-28,649.03,-4.337999999999998
16.219494564063112,596.04,34.84202687466235,0,-33,648.37,-4.3344962406015055
16.389491698898706,596.21,34.87907316569578,-1,-35,647.65,-4.323157894736839
16.57948849665599,596.4,35.137303568156966,-3,-37,646.82,-4.306381987577652
16.77948512587429,596.6,36.13391864343822,-5,-38,645.88,-4.275908613445397
16.989481586553385,596.81,36.008608664584415,-6,-38,644.88,-4.259301825993573
17.2194777101544,597.04,37.17332198427979,-6,-38,643.82,-4.242834586466188
17.399474676450897,597.22,38.53793188376292,-8,-37,642.6,-4.232978875760831
17.58947147420818,597.41,39.432356184809876,-8,-37,641.4,-4.225416666666677
17.77946827196558,597.6,40.06591348602185,-8,-36,640.11,-4.217478991596652
17.989464732644674,597.81,41.25695674176461,-7,-35,638.82,-4.212330827067668
18.22946068770659,598.05,42.414567494132086,-7,-33,637.53,-4.20406015037593
18.38945799108128,598.21,42.49062021343592,-5,-32,636.26,-4.201972789115676
18.579454788838564,598.4,41.021514701036416,-4,-30,635.01,-4.198718944099402
18.799451080978677,598.62,41.692891407019864,-2,-28,633.83,-4.196582633053221
18.989447878735962,598.81,42.246769590305085,0,-26,632.74,-4.201804511278185
19.249443496719802,599.07,41.8474818202228,1,-25,631.74,-4.188811524609832
19.39944096863347,599.22,41.288247574280774,3,-25,630.86,-4.187473684210512
19.59943759785166,599.42,40.46682314575983,4,-26,630.07,-4.17928571428573
19.799434227069966,599.62,40.49872446970978,5,-26,629.35,-4.167215686274517
19.98943102482725,599.81,40.30693779852145,5,-27,628.67,-4.15135338345866
20.22942697988917,600.05,40.76887787346157,7,-28,628.05,-4.108673469387749
20.39942411472476,600.22,40.86379971993574,7,-29,627.41,-4.077389903329747
20.589420912482044,600.41,40.80054302609819,8,-29,626.79,-4.036304347826087
20.78941754170035,600.61,40.64197055272004,8,-28,626.17,-3.982726423902883
20.979414339457634,600.8,40.13032817951927,7,-27,625.55,-3.9163909774436143
21.21941029451955,601.04,39.03736436193574,10,-25,624.92,-3.824113856068753
21.389407429355145,601.21,37.086366726046045,9,-23,624.3,-3.763401360544208
21.57940422711243,601.4,38.3531771692984,9,-20,623.68,-3.7033653846153487
21.77940085633073,601.6,38.487632190518724,9,-17,623.08,-3.6341607142856316
21.989397317009825,601.81,38.78845195547304,8,-15,622.5,-3.568668098818502
22.229393272071743,602.05,38.218249126909654,6,-13,621.95,-3.5178468899521738
22.379390743985528,602.2,38.03194146278325,4,-11,621.4,-3.494360902255624
22.569387541742813,602.39,37.622249713027365,3,-9,620.86,-3.4693772893772996
22.77938400242202,602.6,37.24274001296722,1,-7,620.32,-3.4658095238095745
22.969380800179305,602.79,37.39845946570745,0,-4,619.74,-3.4580510204081554
23.22937641816303,603.05,37.41572162193047,-1,-1,619.15,-3.4709624060150355
23.379373890076817,603.2,36.91184167882238,-2,1,618.53,-3.476240601503751
23.569370687834102,603.39,35.68436246438761,-2,2,617.88,-3.480876190476173
23.77936714851331,603.6,35.918833883507695,-3,4,617.19,-3.493109243697469
23.969363946270594,603.79,35.357142857142854,-3,6,616.52,-3.4979806659505845
24.209359901332512,604.03,35.39364998391199,-4,7,615.81,-3.4979849624059915
24.379357036168106,604.2,36.31218276759108,-5,8,615.08,-3.497330827067653
24.56935383392539,604.39,36.436448728139894,-5,9,614.32,-3.4991071428571394
24.779350294604598,604.6,37.24274001296722,-5,9,613.52,-3.514929971988782
24.98934675528369,604.81,37.24274001296722,-5,9,612.7,-3.5519548872180167
25.24934237326753,605.07,36.929331299173036,-4,7,611.87,-3.651954887218072
25.3993398451812,605.22,36.77162524922427,-4,6,610.99,-3.744683136412488
25.609336305860293,605.43,36.91184167882238,-4,4,610.13,-3.8608128078817248
