report_t_s,t,IAS_kmh,pitch,roll,GNSS_alt
0.014530648521501563,368.61,33.481071411428026,11,5,1052.07
0.204527446278844,368.8,32.79910440850482,10,4,1052.07
0.46452306426256984,369.06,32.16294015459027,8,4,1052.06
0.5945208732544327,369.19,31.98173904985564,7,3,1052.02
0.8045173339335827,369.4,31.472929330017006,6,3,1051.96
1.0045139631518858,369.6,31.328981822600237,5,1,1051.88
1.1945107609092283,369.79,30.809393859665597,4,0,1051.77
1.4245068845101858,370.02,30.830345507010335,2,0,1051.62
1.5945040193457207,370.19,31.142928817086585,2,-1,1051.46
1.8045004800248707,370.4,30.914010099114662,1,-1,1051.27
1.9944972777822132,370.59,30.976610251172758,0,-1,1051.03
2.1944939070005165,370.79,31.0390841504378,0,-1,1050.77
2.424490030601474,371.02,30.872206144765517,-1,-1,1050.48
2.6044869968979127,371.2,30.76744776280175,0,-1,1050.17
2.794483794655255,371.39,31.163656226247827,-1,-1,1049.81
2.9844805924125977,371.58,31.26708716519526,0,-1,1049.45
3.204476884552708,371.8,30.976610251172758,0,-1,1049.07
3.434473008153666,372.03,30.746453254889452,0,0,1048.66
3.6044701429892005,372.2,30.809393859665597,0,0,1048.24
3.7944669407465432,372.39,30.976610251172758,0,0,1047.8
3.9844637385038855,372.58,32.122761575314314,0,1,1047.37
4.1944601991830925,372.79,33.61580463752983,-1,1,1046.93
4.434456154244954,373.03,35.539303479904255,-3,1,1046.51
4.604453289080489,373.2,36.73648751998648,-3,0,1046.05
4.804449918298735,373.4,37.84471662637484,-1,-1,1045.49
4.9944467160560775,373.59,39.136486056061884,0,-1,1044.77
5.204443176735285,373.8,39.920600405488564,0,-9,1043.95
5.424439468875338,374.02,34.092648378637115,2,-13,1043.17
5.594436603710873,374.19,34.01680257083045,3,-11,1042.57
5.804433064390023,374.4,32.26316769624332,-5,-7,1042.22
5.994429862147365,374.59,30.514560341862087,-7,-4,1041.96
6.22442598574838,374.82,29.32760505679498,-5,-4,1041.67
6.43442244642753,375.03,28.90624138168652,-7,-5,1041.31
6.604419581263064,375.2,29.08440172101513,-8,-5,1040.86
6.804416210481311,375.4,30.49339172305223,-10,-3,1040.35
6.994413008238653,375.59,31.513936421455032,-13,-1,1039.78
7.194409637456957,375.79,32.223114089619784,-15,1,1039.12
7.424405761057915,376.02,32.223114089619784,-16,2,1038.44
7.614402558815256,376.21,32.9170164882815,-15,2,1037.76
7.804399356572599,376.4,33.67338242103797,-12,1,1037.07
8.004395985790902,376.6,34.63756402861977,-9,-1,1036.4
8.214392446470052,376.81,35.702453397090636,-6,-4,1035.77
8.444388570071066,377.04,36.436448728139894,-4,-8,1035.18
8.614385704906544,377.21,37.034095570080794,-3,-10,1034.61
