report_t_s,t,IAS_kmh,pitch,roll,G_force,GNSS_alt,GNSS_vz_ms
0.04364971624736954,381.6,27.06020074363297,-4,2,0.89,1033.16,-0.8692436974789806
0.233646514004712,381.79,27.76685230152481,-7,3,0.91,1032.86,-0.8765563909774495
0.47364246906657337,382.03,28.45596087261285,-8,3,0.92,1032.51,-0.8904081632652898
0.6436396039021083,382.2,29.217309047192956,-9,3,0.93,1032.14,-0.903609022556371
0.8336364016594507,382.39,30.08835840029312,-9,2,0.96,1031.75,-0.9198666666666863
1.0436328623386575,382.6,31.163656226247827,-10,1,0.97,1031.33,-0.9484737484737512
1.2536293230178077,382.81,32.06239930166786,-10,1,0.99,1030.9,-0.9875295381310545
1.493625278079726,383.05,32.936627462013,-10,0,1.02,1030.47,-1.0200834879406426
1.6436227499933964,383.2,33.073578686662515,-9,0,1.06,1030.04,-1.041393188854467
1.8336195477507389,383.39,32.52231376850582,-8,0,1.04,1029.64,-1.0694188110026712
2.0436160084299457,383.6,30.851282925727176,-5,-1,1.09,1029.23,-1.1028365384615881
2.2436126376481917,383.8,31.328981822600237,-3,-2,1.07,1028.85,-1.1504403866810142
2.5036082556319177,384.06,30.683383540773406,1,1,1.08,1028.49,-1.211511278195498
2.653605727545588,384.21,30.914010099114662,1,2,1.08,1028.14,-1.273222341568206
2.8436025253029307,384.4,31.98173904985564,2,3,1.09,1027.84,-1.3592857142857286
3.0535989859821373,384.61,32.936627462013,5,3,1.06,1027.59,-1.4698261278195528
3.2635954466612875,384.82,33.82644403904333,5,2,1.09,1027.37,-1.615714285714294
3.503591401723206,385.06,34.130508077563874,6,1,1.06,1027.2,-1.7810748299319812
3.6535888736368762,385.21,33.82644403904333,7,1,1.05,1027.05,-1.8559398496240485
3.853585502855179,385.41,33.38450048224444,7,1,1.05,1026.93,-1.9075714285714216
4.063581963534329,385.62,32.9953904480054,7,2,1.03,1026.81,-1.9374789915966306
4.253578761291672,385.81,32.363084837575066,8,2,1.02,1026.75,-1.970827067669185
4.503574547814494,386.06,31.73852837913991,8,3,1.0,1026.68,-2.030451127819544
4.633572356806357,386.19,31.59579093964955,8,3,1.0,1026.61,-2.0746938775510313
4.843568817485506,386.4,31.81980515339464,8,3,0.97,1026.55,-2.1598214285714414
5.063565109625618,386.62,31.24642836732361,6,3,0.95,1026.48,-2.283938375350171
5.233562244461152,386.79,30.872206144765517,6,2,0.97,1026.4,-2.3982894736842417
5.513557525366686,387.07,31.677433946400573,3,0,0.92,1026.23,-2.587142857142843
5.643555334358549,387.2,32.16294015459027,2,1,0.84,1026.06,-2.6894736842104976
5.833552132115891,387.39,31.534419970203082,1,0,1.61,1025.78,-2.831126373626359
6.033548761334138,387.59,28.97317989212134,4,1,0.58,1025.44,-2.977619047619003
6.223545559091479,387.78,31.799505435122217,3,-4,0.6,1024.78,-3.1204962406014993
6.463541514153398,388.02,21.290852088468917,6,-9,0.57,1023.91,-3.247687074829904
6.65353831191074,388.21,14.05675903221635,9,-13,0.91,1022.89,-3.3351768707482603
6.843535109668083,388.4,9.642857142857142,13,-16,1.17,1021.67,-3.3981159420289777
7.043531738886386,388.6,7.873359887517356,11,-15,2.08,1020.51,-3.442761904761921
7.233528536643728,388.79,7.538168185430511,0,-9,1.89,1019.62,-3.4502857142857204
7.4835243231665505,389.04,9.232332824793259,-11,0,1.08,1019.02,-3.4341020408163394
7.653521458002029,389.21,8.57979502395373,-17,5,0.75,1018.45,-3.410511278195486
7.843518255759371,389.4,7.790914056561957,-21,9,0.63,1017.82,-3.375447619047626
8.033515053516714,389.59,10.227794513591133,-27,12,0.59,1017.08,-3.3243589743589967
8.24351151419592,389.8,18.534475598578062,-35,13,0.61,1016.12,-3.2404081632652963
8.473507637796878,390.03,26.334594013136687,-40,11,0.79,1014.97,-3.1548427887901687
8.643504772632413,390.2,29.612452134677596,-40,8,0.9,1013.67,-3.0889075630252103
8.84350140185066,390.4,32.75970607067064,-38,5,0.99,1012.32,-3.0135647737355873
9.053497862529866,390.61,36.68371781950712,-32,1,1.11,1010.91,-2.9299560439560373
9.243494660287208,390.8,38.98770901299065,-25,-1,1.24,1009.44,-2.843947368421027
9.483490615349126,391.04,41.568805145499304,-15,-2,1.4,1008.02,-2.747330827067653
9.633488087262798,391.19,42.70284725009921,-11,-2,1.49,1006.69,-2.670580021482254
9.833484716481044,391.39,44.34957233532845,-7,-2,1.57,1005.57,-2.5606547619047433
10.04348117716025,391.6,45.28608044016012,-3,-1,1.57,1004.59,-2.433408521303217
10.243477806378497,391.8,45.08601473283923,-1,-1,1.57,1003.77,-2.2814285714285427
10.473473929979454,392.03,45.54201637062242,4,-1,1.54,1003.21,-2.102761904761922
10.62347140189318,392.18,45.513650116627375,6,-1,1.52,1002.89,-2.0104661654135367
10.843467694033235,392.4,44.971291863106785,9,-2,1.47,1002.81,-1.9334285714285866
11.043464323251538,392.6,43.68946248986203,12,-2,1.4,1002.82,-1.8945938375350124
11.243460952469784,392.8,42.01687434343298,14,-1,1.32,1002.98,-1.8551127819548745
11.483456907531702,393.04,40.09813376745422,15,-1,1.22,1003.26,-1.7923093447905265
11.633454379445373,393.19,38.235141171547454,16,-1,1.15,1003.66,-1.7390547798066467
11.843450840124524,393.4,35.918833883507695,16,-2,1.06,1004.11,-1.647738095238115
12.033447637881865,393.59,33.9598070503641,16,-2,1.0,1004.57,-1.5373949579831918
12.253443930021977,393.81,32.243147112437484,16,-2,0.92,1005.07,-1.3767857142857045
12.48344005362299,394.04,30.109811777992274,14,-3,0.86,1005.5,-1.220300751879693
12.63343752553666,394.19,29.03996410648819,13,-3,0.84,1005.86,-1.103721804511289
12.853433817676772,394.41,27.13169413307271,11,-3,0.8,1006.15,-0.9443530020703942
13.043430615434113,394.6,25.563172050943177,9,-3,0.78,1006.36,-0.8124033613445525
13.253427076113264,394.81,24.845825625654065,6,-4,0.78,1006.45,-0.6715939849624257
13.493423031175183,395.05,24.793792425870286,2,-3,0.83,1006.47,-0.5776190476190582
13.643420503088853,395.2,24.76773483335749,0,-3,0.94,1006.4,-0.5314965986394782
13.833417300846195,395.39,24.845825625654065,-2,-5,0.9,1006.29,-0.49778136645962995
14.043413761525402,395.6,25.001275477667217,-5,-5,0.86,1006.15,-0.49914285714286116
14.243410390743648,395.8,25.052877752335547,-7,-5,0.85,1005.93,-0.5533902939165988
14.49340617726647,396.05,25.027089914567306,-10,-4,0.87,1005.66,-0.6439285714285786
14.643403649180142,396.2,24.923671745256677,-10,-4,0.9,1005.35,-0.7103401360544207
14.833400446937484,396.39,25.664013357864608,-11,-3,0.95,1005.0,-0.799610389610377
15.04339690761669,396.6,25.86451650979995,-11,-2,1.0,1004.62,-0.9187394957983283
15.233393705374032,396.79,25.989045474851082,-11,-1,1.01,1004.26,-1.0470748299319763
15.473389660435894,397.03,26.820513109733522,-10,1,1.01,1003.88,-1.1984210526315857
15.643386795271429,397.2,27.22672662765656,-10,2,1.0,1003.51,-1.299428571428572
15.833383593028772,397.39,27.439346376906226,-9,3,0.99,1003.13,-1.3926086956521593
16.023380390786112,397.58,28.067543351635145,-7,4,0.98,1002.76,-1.4791764705882184
