report_t_s,t,IAS_kmh,pitch,roll,GNSS_alt,GNSS_vz_ms
0.12335226729137179,401.8,35.320597996879144,10,3,994.73,-1.2873286156567636
0.3333487279705218,402.01,35.86486114996296,11,3,994.69,-1.2895918367346926
0.5233455257278643,402.2,35.648153056315984,11,4,994.66,-1.2918367346938697
0.7133423234852068,402.39,35.247394606277105,11,5,994.67,-1.2966285714285763
0.9233387841644136,402.6,34.61891661729324,10,5,994.69,-1.2966666666666729
1.1233354133826599,402.8,34.130508077563874,9,5,994.7,-1.2903759398496308
1.3733311999054818,403.05,33.46177952194877,8,5,994.7,-1.2724489795918348
1.5433283347410167,403.22,33.24882996253478,7,6,994.64,-1.2655173648406617
1.7333251324983592,403.41,32.28317586417964,6,6,994.59,-1.2558571428571343
1.9233219302557016,403.6,31.452405735183625,6,6,994.51,-1.245070028011209
2.123318559473948,403.8,30.955757599700718,5,6,994.4,-1.2621768707482974
2.3533146830749057,404.03,30.641264943649745,4,5,994.24,-1.3015753669888812
2.5233118179104403,404.2,30.662331474116108,3,4,994.07,-1.36079699248119
2.723308447128687,404.4,30.577978270350716,2,2,993.85,-1.452699474438597
2.9333049078078934,404.61,30.59908837177463,1,1,993.59,-1.5639495798319558
3.123301705565236,404.8,30.830345507010335,0,2,993.29,-1.688774436090252
3.373297492088058,405.05,30.725444401561866,-1,1,992.94,-1.7868313641245908
3.543294626923593,405.22,30.955757599700718,-2,0,992.53,-1.8369446343130644
3.713291761759071,405.39,30.830345507010335,-2,0,992.1,-1.8792653061224363
3.923288222438278,405.6,30.955757599700718,-2,-1,991.65,-1.9408270676691797
4.133284683117428,405.81,31.63663877951174,-1,-2,991.16,-2.051203007518796
4.373280638179346,406.05,31.860365788284124,-1,-2,990.65,-2.1871428571428657
4.523278110093017,406.2,32.383031270801595,-1,-3,990.17,-2.282142857142844
4.723274739311263,406.4,32.001923172439085,1,-3,989.71,-2.4100621118012344
4.93327119999047,406.61,30.809393859665597,1,-2,989.28,-2.5582352941176913
5.123267997747812,406.8,32.442796989942345,1,-2,988.83,-2.707706766917324
5.373263784270634,407.05,35.7205351675064,-3,-2,988.43,-2.8970676691729653
5.523261256184305,407.2,36.436448728139894,0,-2,987.96,-3.0017857142857047
5.723257885402551,407.4,39.28469966222244,2,-2,987.42,-3.1163121118012214
5.933254346081758,407.61,40.3229548616605,1,-5,986.62,-3.2263865546218704
6.1232511438391,407.8,34.78638346378933,1,-13,985.73,-3.3139849624060225
6.383246761822826,408.06,19.41918102899128,8,-21,984.59,-3.3767006802721165
6.533244233736497,408.21,14.239321992859297,7,-21,983.57,-3.3932330827067614
6.7232410314938384,408.4,16.62441498126739,3,-13,982.75,-3.397391304347837
6.9332374921730455,408.61,21.68154251233721,-6,-1,982.14,-3.377581699346414
7.123234289930388,408.8,21.88902611551538,-6,3,981.72,-3.317708978328174
7.37323007645321,409.05,22.123767693111756,-9,0,981.27,-3.216122448979604
7.52322754836688,409.2,23.010783851694136,-10,1,980.73,-3.142309523809542
7.713224346124223,409.39,24.949566476132176,-15,3,980.0,-3.0448571428571376
7.92322080680343,409.6,27.906035390655006,-19,3,979.18,-2.9275238095237746
8.123217436021676,409.8,30.323510781610512,-22,4,978.26,-2.7737593984962166
8.353213559622633,410.03,32.56199934003451,-24,6,977.27,-2.6360544217687254
8.523210694458168,410.2,34.24383603106475,-23,7,976.21,-2.5379699248120295
8.723207323676414,410.4,36.560292319534256,-20,7,975.12,-2.4386813186813305
8.913204121433758,410.59,38.97114317029974,-16,6,974.02,-2.3526666666666967
9.11320075065206,410.79,40.990020251325575,-13,4,972.97,-2.2322030075187707
9.353196705713922,411.03,42.21618922466903,-9,2,971.98,-2.096122448979616
9.523193840549457,411.2,42.82364762509573,-8,0,971.12,-1.984887218045125
9.713190638306799,411.39,43.377973637997144,-7,-3,970.44,-1.8603692307692492
9.93318693044691,411.61,44.49493349970148,-4,-4,969.89,-1.7145714285714218
10.123183728204252,411.8,46.99347273390036,-2,-5,969.49,-1.5895112781954757
10.35317985180521,412.03,49.48329959466638,1,-6,969.21,-1.5165089672232657
10.533176818101648,412.21,49.561534109279805,2,-6,969.08,-1.4969172932330983
10.723173615858991,412.4,48.601126687620344,7,-8,969.13,-1.4980571428571434
10.933170076538199,412.61,47.1854515368317,7,-9,969.29,-1.5040408163265349
11.133166705756445,412.81,46.13367887488068,9,-8,969.58,-1.505610454708192
11.383162492279267,413.06,41.708376232588854,9,-7,969.88,-1.499812925170074
11.533159964192937,413.21,38.90480926149708,10,-7,970.32,-1.4958345864661655
11.723156761950278,413.4,35.375401129910045,10,-7,970.75,-1.4791686574295357
11.933153222629485,413.61,31.840091929541167,11,-7,971.14,-1.4533548804136802
12.123150020386829,413.8,29.63425004129856,11,-7,971.48,-1.435680272108844
12.383145638370554,414.06,27.297783886279866,11,-6,971.79,-1.3688120300751538
12.533143110284225,414.21,26.505679021827813,11,-6,972.02,-1.3344360902255599
12.723139908041567,414.4,25.814536721050192,10,-5,972.19,-1.293315217391312
