report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,roll,GNSS_vz_ms
0.08288481484726046,572.39,45.697716026077266,10.448046116662887,6,2,-1.152750000000026
0.29267572002259035,572.6,45.52783545283488,10.036597052833823,4,2,-1.2170643939393813
0.5324367545086491,572.84,45.697716026077266,9.555909313389316,2,2,-1.2952941176470745
0.6822874010624076,572.99,45.513650116627375,9.067561894932842,2,2,-1.3497058823529642
0.8920783062377374,573.2,45.171865679641705,8.573671269992664,1,1,-1.4538095238095252
1.0918791683093774,573.4,45.01434720266009,8.11270674172148,1,1,-1.514523809523837
1.2816899872775547,573.59,45.20044642636682,7.646332454096378,0,1,-1.6204761904762108
1.5214510217636135,573.83,45.229009112583064,7.195933600192134,-1,1,-1.695416666666631
1.6912817545245247,574.0,45.14326683810473,6.739534628124881,-1,1,-1.8035714285714448
1.8810925734927018,574.19,45.28608044016012,6.273253662567901,-2,1,-1.8714285714285666
2.090883478667918,574.4,45.02868983396324,5.8288876999429,-2,-1,-2.0111363636363535
2.2806942976360953,574.59,44.98564822160916,5.402673259830392,-2,-3,-2.1677272727272907
2.5204553321221543,574.83,44.856275583062775,5.016447092570791,-2,-4,-2.3932608695652107
2.6703059786759127,574.98,44.87066874100837,4.648015237085586,-3,-3,-2.6755882352941285
2.890086926954819,575.2,45.01434720266009,4.315916392093304,1,0,-2.911190476190427
3.0798977459228825,575.39,44.913820540121094,3.9959392814298975,0,3,-3.118809523809489
3.2996786942017886,575.61,44.43684609438801,3.6893861870114697,3,0,-3.2353079710145494
3.529449685584271,575.84,38.95457028280978,3.3943305428987904,12,-6,-3.3562156862745383
3.6793003321380295,575.99,27.012433361740086,3.1282376386360813,19,-8,-3.410000000000025
3.8890912373133597,576.2,15.82852146717231,2.8796405578174396,19,-1,-3.5200000000000387
4.078902056281423,576.39,9.575658713421149,2.6344315562146354,12,14,-3.647857142857106
4.278702918353177,576.59,8.504200642707612,2.396131782746273,3,26,-3.782272727272698
