report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,roll,GNSS_vz_ms
0.005462239381224287,727.0,32.56199934003451,5.004585267130898,3,-1,-2.306624649859941
0.21525314455655417,727.21,34.149422187121786,5.138493977790544,2,2,-2.302750000000003
0.4050639635246178,727.4,35.375401129910045,5.278769280651927,3,4,-2.2647499999999923
0.6148548686999478,727.61,36.258795555037956,5.4228397272083795,2,6,-2.250288461538446
0.8546159031860066,727.85,36.85932302522051,5.574169129208836,4,8,-2.2402941176470677
1.0244466359469175,728.02,36.964285714285715,5.741384471380945,4,8,-2.1617748917749395
1.2142574549150948,728.21,36.471875521854265,5.902822537602449,7,8,-2.1095454545454686
1.414058316986735,728.41,36.1874900867069,6.062934765802048,4,9,-2.036152882205556
1.603869135954912,728.6,36.964285714285715,6.20191708213348,5,7,-1.95911027568917
1.843630170440971,728.84,38.47085101152586,6.334406032989089,5,7,-1.8687499999999773
2.013460903201882,729.01,39.10347340905998,6.462324337254984,6,6,-1.8168716577540067
2.233241851480788,729.23,38.871599857868006,6.500054682881181,6,5,-1.7545000000000073
2.4230526704488518,729.42,38.336337134603234,6.467334498272634,6,4,-1.7481578947368348
2.612863489417029,729.61,37.329331015725856,6.336266312456565,5,2,-1.7305000000000632
2.852624523903088,729.85,36.54262607432809,6.104006518960991,3,0,-1.745905882352929
3.0024751704568464,730.0,36.36549160387958,5.792062271083277,3,-1,-1.8795798319327446
3.2222561187357526,730.22,36.3299610711128,5.43914939735724,-1,-2,-2.0477272727272293
3.4220569808073926,730.42,36.63087210013334,5.054110646540622,-3,-1,-2.22809523809525
3.621857842879146,730.62,36.91184167882238,4.676798222043162,-2,-1,-2.488541666666663
3.8716089204687814,730.87,36.54262607432809,4.319741903122082,-3,-2,-2.713564102564135
4.011469523918963,731.01,36.471875521854265,3.9723457541544205,-5,-2,-2.9902922077922653
4.221260429094293,731.22,37.016655448760424,3.6927583911610493,-6,-2,-3.3100000000000023
4.43105133426951,731.43,38.15060615507963,3.4557420898084454,-6,-2,-3.594250000000045
4.620862153237686,731.62,38.75514284503123,3.2690155094423075,-6,-2,-3.8555000000000064
4.880603273930898,731.88,39.77475644174329,3.1385655099428242,-8,-1,-4.278109243697372
5.02046387738108,732.02,40.895391374998304,3.0447324823673245,-8,-1,-4.405025062656591
5.220264739452834,732.22,41.87833142398516,2.982912161423996,-6,0,-4.600999999999999
5.43005564462805,732.43,43.24379157987978,2.9585696059742412,-8,0,-4.722857142857038
5.629856506699804,732.63,44.79865670817756,2.96949227262954,-6,0,-4.73839743589744
5.839647411875133,732.84,46.00753459810598,3.0111409358430388,-5,1,-4.765993589743545
6.009478144636045,733.01,46.66252866736491,3.1058665810878896,-4,2,-4.7338214285713605
6.199288963604222,733.2,46.828293056786144,3.2266710016019386,-2,2,-4.616999999999962
6.399089825675862,733.4,47.28114862507173,3.392888666868939,-1,2,-4.43142857142854
6.608880730851192,733.61,48.50803373395683,3.6105879394082407,-1,2,-4.207392857142736
6.84864176533725,733.85,49.313365690391535,3.869563018793158,0,1,-3.795115546218568
6.998492411891009,734.0,49.58758485174057,4.2078512055807975,1,0,-3.5408597285068026
7.198293273962762,734.2,49.30026958985775,4.630310559700243,2,0,-3.1599999999999966
7.408084179137979,734.41,48.9189576060785,5.1609843523607655,3,1,-2.7540476190476966
7.597894998106156,734.6,48.06673852094415,5.819127976127021,5,1,-2.4224523809523646
7.87761620500652,734.88,47.062126492541736,6.662360550124738,7,0,-1.9380000000000734
8.007486765353127,735.01,46.67636485111373,7.674477737879204,10,1,-1.5872500000000116
8.197297584321303,735.2,45.32883678054788,8.961536281975102,10,2,-1.2664285714286052
8.40708848949652,735.41,43.377973637997144,10.52798668690373,14,3,-0.9834999999999923
8.606889351568274,735.61,40.338965565035785,12.303456261647963,15,5,-0.7456812169312457
8.856640429157908,735.86,37.19068863880543,14.263705314566177,17,6,-0.5867857142856963
9.006491075711667,736.01,34.74923835606373,15.764153960054966,18,6,-0.4749999999999943
9.176321808472578,736.18,32.83845547773624,16.37814566915445,18,7,-0.4656052631578973
9.386112713647908,736.39,31.390754439575264,15.817333710403108,18,7,-0.5221428571428817
9.585913575719662,736.59,30.344797910088005,14.24691985170731,17,7,-0.6151578947368535
9.85564473951645,736.86,29.03996410648819,12.177352421462123,15,6,-0.7826923076923151
10.005495386070207,737.01,28.1135180644327,10.173286259151302,13,6,-1.0200000000000102
10.205296248141961,737.21,27.533317016268985,8.46262327451418,11,6,-1.252857142857124
10.415087153317177,737.42,27.274118702909686,7.099417265442295,8,6,-1.5147500000000207
10.604897972285354,737.61,27.179251915641046,6.026892025676205,6,6,-1.780925925925942
10.864639092978566,737.87,27.274118702909686,5.214650886118679,2,5,-2.027666666666704
11.004499696428748,738.01,27.368656659524575,4.605144087606054,-1,4,-2.280357142857156
11.2043005585005,738.21,27.906035390655006,4.1518228317497865,-4,3,-2.511666666666713
11.414091463675717,738.42,28.569196341371534,3.8183541784366386,-8,2,-2.819499999999948
11.603902282643896,738.61,28.38780278462522,3.5779274030136046,-10,2,-3.0290740740740603
11.873633446440683,738.88,29.39358400420481,3.40519752331411,-13,1,-3.219642857142844
12.013494049890864,739.02,30.08835840029312,3.28369886826303,-13,1,-3.403690476190434
12.223284955066195,739.23,31.840091929541167,3.20949152630894,-13,2,-3.5208333333333144
12.393115687827105,739.4,33.38450048224444,3.1702712961953954,-13,2,-3.6129166666666492
