report_t_s,t,GNSS_vz_ms,GNSS_alt,pitch,roll
0.029192764435832675,458.24,-1.3139999999999645,1081.43,4,-1
0.22898771498178086,458.44,-1.1849999999999454,1081.19,7,0
0.42878266552772903,458.64,-1.0980952380953113,1080.97,5,1
0.6485571111283118,458.86,-1.0037499999999682,1080.76,5,3
0.8283725666196822,459.04,-0.9188888888890006,1080.56,6,4
1.0281675171656304,459.24,-0.8500000000000227,1080.4,6,3
1.2279624677115786,459.44,-0.7890909090909872,1080.24,6,3
1.4277574182575268,459.64,-0.7418421052631174,1080.09,7,4
1.6675113589126873,459.88,-0.6938888888889778,1079.94,6,4
1.8473268144040575,460.06,-0.6804999999999382,1079.83,6,3
2.0271422698954282,460.24,-0.6715000000000373,1079.73,5,3
2.246916715495954,460.46,-0.69399999999996,1079.6,5,3
2.436721918514613,460.65,-0.7468750000000455,1079.48,3,3
2.666486111642485,460.88,-0.8342307692307713,1079.35,2,2
2.8363118196065664,461.05,-0.9649305555556111,1079.19,1,1
3.0361067701525144,461.25,-1.172045454545355,1079.05,1,1
3.235901720698463,461.45,-1.4079545454545723,1078.85,0,1
3.435696671244411,461.65,-1.6900000000000546,1078.59,-1,1
3.695430106954206,461.91,-2.0708823529412257,1078.23,5,1
3.855266067390942,462.07,-2.3980000000001382,1077.86,8,2
4.0350815228823125,462.25,-2.8999999999999773,1077.38,10,-1
4.23487647342826,462.45,-3.361904761904725,1076.79,11,-3
4.434671423974208,462.65,-3.9049999999999727,1076.1,13,-2
4.674425364629369,462.89,-4.380384615384514,1075.28,15,-2
4.864230567648028,463.08,-5.028166666666493,1074.33,18,0
5.03405627561211,463.25,-5.451750000000061,1073.25,18,0
5.243840973685347,463.46,-5.967750000000024,1072.07,17,0
5.4336461767040065,463.65,-6.386428571428382,1070.78,13,1
5.693379612413802,463.91,-6.820999999999913,1069.39,7,1
5.843225825323248,464.06,-7.339999999999918,1067.93,4,0
6.043020775869197,464.26,-7.649523809523771,1066.4,0,0
6.242815726415144,464.46,-7.939999999999941,1064.82,-4,0
6.4526004244884385,464.67,-8.19028846153833,1063.17,-8,0
6.702344112670888,464.92,-8.495222222222537,1061.47,-13,0
6.842200578053046,465.06,-8.54111111111115,1059.75,-15,0
7.032005781071705,465.25,-8.801305555555587,1057.98,-17,-1
7.241790479144942,465.46,-8.969999999999914,1056.19,-18,0
7.441585429690948,465.66,-9.166685714285904,1054.37,-18,0
7.681339370346051,465.9,-9.243000000000166,1052.51,-17,0
7.8611548258374215,466.08,-9.108947368421013,1050.64,-16,0
8.040970281328791,466.26,-8.921380952381014,1048.77,-14,1
8.24076523187474,466.46,-8.745000000000005,1046.88,-12,1
8.430570434893399,466.65,-8.450500000000147,1044.99,-10,2
8.68031412307585,466.9,-8.107499999999959,1043.12,-12,0
8.840150083512642,467.06,-7.868638888888768,1041.49,-14,4
9.029955286531301,467.25,-7.446944444444398,1040.12,-22,13
9.22975023707725,467.45,-7.077250000000049,1038.76,-24,15
9.429545187623196,467.65,-6.6299999999999955,1037.56,-28,4
9.669299128278357,467.89,-6.202399999999898,1036.37,-26,2
9.82913508871515,468.05,-5.830937499999891,1035.17,-26,5
10.028930039261098,468.25,-5.459999999999923,1033.98,-25,1
10.228724989807047,468.45,-5.0750000000000455,1032.82,-26,0
10.428519940352995,468.65,-4.67976190476179,1031.73,-25,-1
10.668273881008155,468.89,-4.21906249999995,1030.79,-21,-2
10.828109841444947,469.05,-3.677500000000009,1029.93,-17,-3
11.027904791990895,469.25,-3.0325000000000273,1029.2,-9,-3
11.227699742536844,469.45,-2.3740000000000236,1028.61,-2,-4
11.437484440610138,469.66,-1.6804166666665878,1028.18,3,-4
11.657258886210665,469.88,-1.0891666666666424,1027.94,6,-5
11.817094846647457,470.04,-0.4900000000000091,1027.81,8,-5
12.036869292247983,470.26,0.13474999999993997,1027.92,11,-5
12.23666424279393,470.46,0.6070562770562447,1028.08,13,-4
12.436459193339935,470.66,1.009999999999991,1028.33,15,-4
12.67621313399504,470.9,1.2981249999999136,1028.68,15,-3
12.836049094431832,471.06,1.4950000000000045,1029.05,16,-2
13.03584404497778,471.26,1.5699999999999363,1029.44,15,-1
13.255618490578364,471.48,1.566000000000031,1029.84,14,0
13.435433946069733,471.66,1.4850000000000136,1030.2,12,0
13.675187886724837,471.9,1.30499999999995,1030.52,10,1
13.83502384716163,472.06,1.0783333333333758,1030.81,8,1
14.034818797707578,472.26,0.8139999999999645,1031.06,6,2
14.234613748253526,472.46,0.5109318181818026,1031.23,4,3
14.434408698799531,472.66,0.1672916666666424,1031.3,1,3
14.674162639454634,472.9,-0.1818749999999909,1031.29,-1,4
14.81401910483685,473.04,-0.47500000000002274,1031.22,-2,4
15.023803802910086,473.25,-0.8387500000000045,1031.08,-5,3
