report_t_s,t,G_force,GNSS_vz_ms,GNSS_alt
0.14161550618587296,474.45,0.97,-2.05499999999995,1028.91
0.3514002042591668,474.66,1.01,-2.120416666666756,1028.46
0.5911541449142705,474.9,1.03,-2.1299999999999955,1028.0
0.7509901053510631,475.06,1.04,-2.1284999999999172,1027.56
0.9507850558970113,475.26,1.04,-2.0977499999999054,1027.13
1.1405902589156707,475.45,1.01,-2.0550000000000637,1026.73
1.3403852094616189,475.65,1.08,-2.0026190476190777,1026.31
1.5801391501167794,475.89,1.04,-1.9531944444444207,1025.92
1.739975110553572,476.05,1.03,-1.8751388888887845,1025.54
1.93977006109952,476.25,1.0,-1.7940000000000964,1025.17
2.1395650116454683,476.45,1.03,-1.714999999999975,1024.8
2.349349709718762,476.66,1.06,-1.600965909090803,1024.46
2.569124155319288,476.88,1.06,-1.5120138888888732,1024.13
2.7489396108106585,477.06,1.08,-1.3742500000000177,1023.82
2.9487345613566065,477.26,1.09,-1.2589078947369217,1023.55
3.1185602693206884,477.43,1.08,-1.1553421052631734,1023.32
3.3383347149212144,477.65,1.07,-1.0358035714286302,1023.1
3.5581091605217967,477.87,1.04,-0.9297916666666879,1022.92
3.737924616013167,478.05,1.04,-0.8463383838384289,1022.78
3.9377195665591156,478.25,1.02,-0.7640227272727316,1022.64
4.127524769577775,478.44,1.01,-0.7100000000000364,1022.52
4.327319720123723,478.64,1.01,-0.6800000000000068,1022.41
4.567073660778884,478.88,0.99,-0.6661111111110927,1022.28
4.726909621215676,479.04,0.98,-0.6888888888888687,1022.15
4.946684066816202,479.26,0.98,-0.6968421052631584,1022.03
5.126499522307572,479.44,0.98,-0.7255000000000109,1021.89
5.326294472853521,479.64,0.97,-0.7519999999999527,1021.75
5.566048413508681,479.88,0.96,-0.8000000000000114,1021.58
5.7258843739454734,480.04,0.96,-0.8194444444444571,1021.41
5.945658819546,480.26,0.96,-0.8849999999999909,1021.24
6.145453770091948,480.46,0.98,-0.9232499999999959,1021.05
6.345248720637953,480.66,0.96,-0.9581340579709945,1020.89
6.565023166238479,480.88,0.96,-0.9950000000000045,1020.68
6.7448386217298495,481.06,0.97,-1.0282727272726788,1020.49
6.944633572275797,481.26,0.99,-1.0712500000000205,1020.26
7.1344387752944565,481.45,0.98,-1.0997499999999718,1020.04
7.334233725840405,481.65,0.99,-1.13900000000001,1019.83
7.563997918968276,481.88,0.99,-1.1511111111111063,1019.59
7.733823626932358,482.05,0.99,-1.165277777777817,1019.35
7.933618577478306,482.25,1.01,-1.1497976190476038,1019.11
8.133413528024255,482.45,1.02,-1.115000000000009,1018.86
8.333208478570203,482.65,1.02,-1.0750000000000455,1018.62
8.552982924170784,482.87,1.03,-1.015217391304418,1018.39
8.732798379662155,483.05,1.06,-0.9300000000000068,1018.17
8.922603582680814,483.24,1.1,-0.853999999999985,1017.98
9.132388280754052,483.45,1.1,-0.7350000000000136,1017.81
9.3321832313,483.65,1.1,-0.6349999999999909,1017.68
9.571937171955161,483.89,1.1,-0.5477777777778101,1017.56
9.731773132391954,484.05,1.12,-0.5166666666666515,1017.49
9.931568082937902,484.25,1.11,-0.560952380952358,1017.41
10.131363033483849,484.45,1.08,-0.6899999999999977,1017.39
10.331157984029797,484.65,1.01,-0.9049999999999727,1017.35
10.570911924684959,484.89,0.93,-1.2394444444444161,1017.27
10.750727380176329,485.07,0.89,-1.6407222222221662,1017.12
10.9305428356677,485.25,0.85,-2.0499999999999545,1016.85
11.130337786213648,485.45,0.83,-2.5400000000000205,1016.43
11.330132736759596,485.65,0.84,-3.1292499999998995,1015.87
11.559896929887467,485.88,0.88,-3.798611111111086,1015.13
11.739712385378837,486.06,0.95,-4.387416666666638,1014.25
11.919527840870208,486.24,1.03,-4.854250000000036,1013.36
12.139302286470734,486.46,1.16,-5.369999999999948,1012.26
12.33909723701674,486.66,1.26,-5.762454710144993,1011.03
12.548881935089977,486.87,1.37,-6.0240036231884915,1009.75
12.728697390581347,487.05,1.46,-6.404444444444437,1008.42
12.928492341127294,487.25,1.54,-6.715000000000032,1007.09
13.128287291673242,487.45,1.61,-7.029999999999973,1005.73
13.32808224221919,487.65,1.67,-7.310750000000098,1004.37
13.567836182874352,487.89,1.74,-7.655228758169983,1003.0
13.727672143311144,488.05,1.79,-8.089999999999975,1001.49
13.927467093857093,488.25,1.88,-8.713750000000005,999.88
14.127262044403041,488.45,1.96,-9.308999999999969,998.25
14.327056994948988,488.65,2.05,-9.905624999999986,996.47
14.55682118807686,488.88,2.22,-10.643541666666636,994.42
14.726646896040942,489.05,2.33,-11.435789473684167,992.24
14.916452099059601,489.24,2.5,-12.108249999999884,989.79
15.11624704960555,489.44,2.87,-12.75874999999985,987.24
15.316042000151498,489.64,3.35,-13.40658333333323,984.68
15.555795940806657,489.88,3.72,-13.613611111111027,981.77
15.71563190124345,490.04,3.83,-13.84550653594772,978.77
15.90543710426211,490.23,3.96,-13.978421052631575,975.89
16.10523205480806,490.43,3.98,-14.09375,972.97
16.305027005354006,490.63,3.87,-14.243999999999915,969.85
16.544780946009165,490.87,3.69,-14.115624999999966,967.35
16.724596401500538,491.05,3.71,-13.91046052631583,964.52
16.914401604519195,491.24,3.84,-13.732000000000085,961.82
17.104206807537857,491.43,4.02,-13.444285714285797,959.18
17.304001758083803,491.63,3.94,-13.129999999999995,956.32
17.543755698738963,491.87,3.56,-13.305000000000007,953.66
17.713581406703046,492.04,3.26,-13.230111111111341,950.93
17.913376357248993,492.24,3.07,-13.209761904761876,948.28
18.12316105532223,492.45,3.03,-12.807250000000067,945.85
18.3029765108136,492.63,3.06,-12.694750000000113,943.59
18.542730451468763,492.87,3.04,-12.856388888888773,940.74
18.702566411905497,493.03,2.93,-12.713905228758222,938.36
18.902361362451504,493.23,2.69,-12.833250000000021,935.5
19.11214606052474,493.44,2.43,-13.087857142857104,933.41
19.311941011070687,493.64,2.23,-13.931425000000047,930.8
19.53171545667127,493.86,2.08,-14.51277500000009,928.09
19.71153091216264,494.04,2.05,-14.910166666666555,925.52
19.91132586270859,494.24,2.12,-15.570238095238153,922.6
20.111120813254537,494.44,2.28,-16.389999999999986,919.79
20.3009260162732,494.63,2.48,-16.99024999999989,915.78
20.550669704455647,494.88,2.57,-18.137222222222363,911.49
20.730485159947015,495.06,2.62,-19.207999999999913,908.01
20.910300615438388,495.24,2.72,-19.86500000000001,904.26
21.110095565984334,495.44,2.83,-20.599999999999966,900.63
21.299900769002996,495.63,2.88,-20.661250000000052,896.95
21.549644457185444,495.88,2.99,-20.90500000000003,891.53
21.70948041762224,496.04,3.14,-21.71333333333314,887.25
21.909275368168185,496.24,3.26,-21.82499999999999,882.87
22.10907031871413,496.44,3.53,-22.33424999999994,878.59
22.30886526926008,496.64,3.67,-22.1678,874.24
22.54861920991524,496.88,3.8,-21.63499999999999,869.68
22.708455170352035,497.04,3.85,-21.57499999999999,864.97
22.908250120897982,497.24,3.93,-21.20999999999998,860.61
23.098055323916643,497.43,4.1,-20.967750000000024,856.14
23.29785027446259,497.63,4.11,-21.008749999999907,852.57
23.54759396264504,497.88,4.13,-20.49500000000012,848.26
23.707429923081833,498.04,4.25,-20.32090909090948,844.1
23.90722487362778,498.24,4.32,-19.85909090909098,840.45
24.10701982417373,498.44,4.26,-19.53500000000014,836.68
24.296825027192387,498.63,4.4,-19.28052631578953,832.44
24.566548210429414,498.9,4.46,-18.282000000000266,828.39
24.696414928284284,499.03,4.45,-17.268000000000598,824.5
24.916189373884865,499.25,4.44,-16.25075000000021,820.72
25.115984324430816,499.45,4.41,-15.484102870813444,816.69
25.305789527449473,499.64,4.39,-14.563000000000102,813.86
25.555533215631925,499.89,4.37,-13.94892857142844,811.28
