report_t_s,t,GNSS_vz_ms,GNSS_alt,pitch,roll
0.16047579528741485,579.44,-0.7440000000000282,652.37,-1,0
0.35028099830601733,579.63,-0.830447368421062,652.21,0,0
0.6000246864884667,579.88,-0.9438888888888641,652.03,-1,1
0.7698503944524915,580.05,-1.020909090909072,651.81,-2,2
0.9696453449984964,580.25,-1.0710909090909126,651.59,-3,2
1.1694402955445014,580.45,-1.1207894736842263,651.35,-5,3
1.359245498563104,580.64,-1.131650000000036,651.12,-5,3
1.5790199441636867,580.86,-1.139373913043471,650.84,-5,2
1.7588353996550004,581.04,-1.1064705882352541,650.59,-6,3
1.978609845255583,581.26,-1.0425000000000182,650.33,-7,2
2.168415048274299,581.45,-0.9615000000000578,650.12,-6,2
2.3682099988201903,581.65,-0.8692613636363831,649.93,-6,1
2.597974191948062,581.88,-0.7361111111111427,649.75,-5,-1
2.7578101523847978,582.04,-0.6391176470588675,649.61,-4,-1
2.957605102930803,582.24,-0.5408181818182243,649.5,-3,-2
3.157400053476808,582.44,-0.4555263157894842,649.43,-2,-3
3.3571950040226994,582.64,-0.3947499999999877,649.37,0,-3
3.5969489446778597,582.88,-0.3450000000000273,649.34,1,-4
3.7667746526418844,583.05,-0.3322499999999877,649.31,1,-4
3.9665696031878896,583.25,-0.36275000000000546,649.27,2,-3
4.156374806206606,583.44,-0.4149999999999636,649.22,2,-3
4.356169756752497,583.64,-0.49500000000000455,649.15,2,-3
4.595923697407658,583.88,-0.6200000000000045,649.06,1,-3
4.7657494053716825,584.05,-0.7549999999999955,648.94,0,-2
4.955554608390398,584.24,-0.9009999999999536,648.78,0,-2
5.155349558936403,584.44,-1.0511904761904702,648.6,0,-2
5.355144509482295,584.64,-1.2387499999999818,648.38,-1,-2
5.594898450137455,584.88,-1.43040000000002,648.1,-3,-2
5.76472415810148,585.05,-1.6431250000000546,647.8,-4,-2
5.954529361120196,585.24,-1.8949999999999818,647.47,-5,-2
6.16431405919349,585.45,-2.1383636363636924,647.1,-5,-2
6.364109009739381,585.65,-2.4091666666666924,646.65,-5,0
6.613852697921831,585.9,-2.641968325791879,646.16,-6,1
6.773688658358567,586.06,-2.9957894736841126,645.62,-7,1
6.953504113849994,586.24,-3.2800000000000296,644.99,-8,1
7.173278559450576,586.46,-3.631644736842077,644.28,-7,3
7.363083762469179,586.65,-3.9410416666666492,643.55,-6,-1
7.622817198178917,586.91,-4.265477941176414,642.75,-7,-6
7.762673663561075,587.05,-4.5068749999999795,641.84,-6,-8
7.952478866579791,587.24,-4.899999999999977,640.91,-3,-10
8.162263564653085,587.45,-5.382045454545448,639.87,2,-6
8.352068767671687,587.64,-6.030263157894751,638.81,14,-5
8.591822708326848,587.88,-6.856153846153802,637.8,24,-3
8.761648416290873,588.05,-7.490000000000009,636.64,25,0
8.95145361930959,588.24,-8.115000000000009,635.19,24,29
9.171228064910173,588.46,-8.66710526315785,633.47,17,23
9.361033267928775,588.65,-9.093958333333319,631.42,4,21
9.590797461056646,588.88,-9.560000000000002,629.13,-2,1
9.76062316902067,589.05,-9.904999999999973,626.86,-6,1
9.950428372039386,589.24,-9.982750000000067,624.68,-9,0
10.16021307011268,589.45,-9.970757575757602,622.58,-12,-1
10.360008020658572,589.65,-9.674999999999955,620.58,-19,-2
10.589772213786443,589.88,-9.176874999999995,618.68,-26,-1
10.75959792175047,590.05,-8.743181818181768,616.83,-29,0
10.959392872296473,590.25,-8.135000000000048,615.14,-31,1
11.169177570369767,590.46,-7.730238095238121,613.53,-36,-5
11.35898277338837,590.65,-7.305000000000007,612.07,-40,-12
11.59873671404353,590.89,-6.914988235294118,610.72,-42,-11
11.738593179425688,591.03,-6.759490196078389,609.48,-43,-5
