report_t_s,t,G_force,GNSS_vz_ms,GNSS_alt,pitch,roll
0.15097908230254722,520.65,1.06,0.05104166666666288,811.94,8,-7
0.38074327543041886,520.88,1.02,0.07499999999998863,811.99,8,-7
0.5505689833944436,521.05,1.0,0.08025000000003502,812.04,9,-8
0.7503639339404485,521.25,0.99,0.0627164502164419,812.07,9,-7
0.9501588844864535,521.45,0.98,0.017045454545495886,812.11,9,-7
1.139964087505056,521.64,0.97,-0.04950000000002319,812.11,9,-6
1.3797180281602166,521.88,0.94,-0.1534615384615563,812.11,9,-5
1.5495437361242412,522.05,0.93,-0.28499999999996817,812.08,8,-3
1.7393489391429573,522.24,0.91,-0.4085000000000605,812.04,7,-2
1.95912338474354,522.46,0.89,-0.59699999999998,811.95,5,0
2.1389388402348537,522.64,0.88,-0.75,811.84,3,1
2.398672275944592,522.9,0.87,-0.9382352941176464,811.67,2,2
2.548518488854039,523.05,0.88,-1.125,811.47,1,3
2.748313439400044,523.25,0.89,-1.3179545454545405,811.24,0,4
2.93811864241876,523.44,0.91,-1.4690909090909372,810.95,-2,4
3.1379135929646513,523.64,0.93,-1.6200000000000045,810.61,-3,4
3.3976470286743896,523.9,0.95,-1.7672222222221876,810.23,-4,3
3.5474932415838367,524.05,0.96,-1.8338888888889073,809.83,-5,3
3.7372984446025526,524.24,0.99,-1.9252236842105503,809.42,-5,2
3.937093395148558,524.44,0.97,-1.9560000000000173,809.02,-4,2
4.136888345694449,524.64,1.03,-1.9470000000000027,808.6,-5,1
4.376642286349609,524.88,1.04,-1.9185737179487319,808.18,-4,0
4.556457741840923,525.06,1.06,-1.8328468899521795,807.78,-4,0
4.746262944859639,525.25,1.06,-1.710681818181797,807.38,-3,0
4.9460578954056444,525.45,1.09,-1.607357142857154,807.02,-2,0
5.145852845951536,525.65,1.1,-1.4562500000000114,806.7,0,0
5.385606786606696,525.89,1.11,-1.2988888888888823,806.41,1,0
5.535452999516143,526.04,1.09,-1.1772222222221558,806.16,2,0
5.755227445116726,526.26,1.09,-0.9844999999999686,805.97,4,1
5.935042900608153,526.44,1.08,-0.853999999999985,805.79,5,1
6.144827598681333,526.65,1.06,-0.716458333333378,805.67,7,1
6.3845815393364935,526.89,1.04,-0.6072222222221626,805.56,8,2
6.534427752245941,527.04,1.03,-0.5155555555555225,805.47,8,2
6.7342227027919455,527.24,1.01,-0.4762679425837746,805.4,9,2
6.934017653337951,527.44,1.0,-0.4370000000000118,805.33,9,2
7.133812603883842,527.64,0.99,-0.4541071428570831,805.27,9,2
7.373566544539003,527.88,0.97,-0.4872916666666356,805.2,8,2
