report_t_s,t,pitch,roll
0.15421107525441555,609.65,2,0
0.39396501590957606,609.89,1,-1
0.543811228819023,610.04,1,-1
0.7436061793650279,610.24,1,-1
0.9533908774383218,610.45,1,-2
1.1332063329296354,610.63,0,-1
1.3729602735847959,610.87,-1,-1
1.5327962340215318,611.03,-1,-1
1.7325911845675368,611.23,-1,-1
1.9523656301681196,611.45,-2,-1
2.142170833186722,611.64,-2,-1
2.3919145213691713,611.89,-2,-1
2.5517504818059074,612.05,-1,-2
2.741555684824623,612.24,2,-1
2.951340382897917,612.45,4,1
3.1411455859165196,612.64,7,4
3.390889274098969,612.89,9,10
3.550725234535705,613.05,8,14
3.740530437554421,613.24,7,19
3.950315135627715,613.45,6,21
4.140120338646318,613.64,4,22
4.389864026828767,613.89,2,21
4.549699987265503,614.05,0,17
4.749494937811508,614.25,-1,13
4.949289888357512,614.45,1,9
5.149084838903404,614.65,1,0
5.408818274613142,614.91,-2,-12
5.548674739995301,615.05,-7,-16
5.748469690541305,615.25,-12,-23
5.988223631196465,615.49,-14,-28
6.148059591633202,615.65,-15,-34
6.387813532288362,615.89,-15,-43
6.547649492725098,616.05,-16,-44
6.747444443271103,616.25,-18,-40
6.9472393938171075,616.45,-17,-35
7.127054849308421,616.63,-17,-28
7.386788285018159,616.89,-14,-19
7.566603740509587,617.07,-11,-13
7.766398691055478,617.27,-8,-7
7.936224399019617,617.44,-4,-2
8.146009097092797,617.65,2,3
8.385763037747957,617.89,7,9
8.535609250657405,618.04,10,13
8.765373443785275,618.27,12,19
8.945188899276703,618.45,13,23
9.144983849822594,618.65,14,27
9.364758295423178,618.87,14,30
9.524594255859913,619.03,14,32
9.744368701460496,619.25,14,32
9.944163652006502,619.45,13,32
10.143958602552392,619.65,12,30
10.363733048152975,619.87,11,26
10.52356900858971,620.03,10,23
10.743343454190294,620.25,8,17
10.943138404736299,620.45,6,11
11.14293335528219,620.65,3,5
11.372697548410061,620.88,-1,-1
11.52254376131951,621.03,-3,-5
11.74231820692009,621.25,-7,-10
11.942113157466096,621.45,-11,-13
12.141908108011988,621.65,-14,-16
12.391651796194438,621.9,-16,-17
12.541498009103885,622.05,-17,-17
12.74129295964989,622.25,-17,-16
12.941087910195893,622.45,-16,-14
13.160862355796363,622.67,-14,-9
13.400616296451524,622.91,-12,-3
13.540472761833682,623.05,-11,0
13.740267712379687,623.25,-8,3
13.940062662925692,623.45,-5,7
14.139857613471584,623.65,-3,10
14.379611554126743,623.89,0,14
14.539447514563479,624.05,1,16
14.739242465109484,624.25,2,18
14.93903741565549,624.45,3,19
15.138832366201381,624.65,4,20
15.37858630685654,624.89,4,19
15.538422267293278,625.05,4,18
15.728227470311992,625.24,5,16
15.948001915912576,625.46,5,14
16.13780711893118,625.65,4,12
16.387550807113627,625.9,3,7
16.527407272495786,626.04,2,6
16.73719197056908,626.25,1,3
16.926997173587797,626.44,1,0
17.136781871660975,626.65,-1,-2
17.376535812316135,626.89,-2,-5
17.536371772752872,627.05,-3,-6
17.726176975771587,627.24,-3,-7
17.935961673844883,627.45,-4,-7
18.14574637191806,627.66,-5,-6
18.385500312573225,627.9,-6,-5
18.53534652548267,628.05,-5,-3
18.735141476028677,628.25,-5,-1
18.93493642657468,628.45,-5,1
19.13473137712057,628.65,-4,4
