report_t_s,t,pitch,roll,vario
0.10775913550655702,651.87,-5,57,-4.9
0.28757459099787064,652.05,-4,57,-5.05
0.4873695415438756,652.25,-5,58,-5.15
0.6871644920898805,652.45,-4,58,-5.24
0.886959442635772,652.65,-4,58,-5.24
1.1167236357636436,652.88,-4,57,-5.14
1.2765595962003795,653.04,-4,57,-5.03
1.4763545467463843,653.24,-4,57,-4.88
1.6761494972923894,653.44,-4,57,-4.7
1.8759444478382807,653.64,-3,56,-4.56
2.115698388493441,653.88,-3,56,-4.32
2.275534348930177,654.04,-3,56,-4.17
2.475329299476182,654.24,-2,57,-3.98
2.6751242500221872,654.44,-2,57,-3.87
2.8749192005680784,654.64,-2,58,-3.79
3.10468339369595,654.87,-2,58,-3.85
3.2844988491872638,655.05,-2,60,-3.93
3.4842937997332686,655.25,-2,61,-4.16
3.6840887502792734,655.45,-1,63,-4.46
3.883883700825165,655.65,0,64,-4.88
4.113647893953036,655.88,0,64,-5.72
4.283473601917061,656.05,1,62,-6.26
4.493258299990355,656.26,4,57,-6.51
4.6930532505363605,656.46,6,51,-6.3
4.882858453554963,656.65,9,43,-5.51
5.112622646682834,656.88,12,33,-4.2
5.27245860711957,657.04,14,25,-3.2
5.472253557665575,657.24,16,15,-1.87
5.692028003266158,657.46,17,3,-0.56
5.891822953812049,657.66,16,-8,0.42
6.1315768944672095,657.9,14,-19,1.12
6.281423107376657,658.05,13,-25,1.29
6.4712283103953725,658.24,11,-30,1.14
6.671023260941378,658.44,10,-34,0.66
6.880807959014558,658.65,8,-36,0.08
7.100582404615141,658.87,8,-38,-0.57
7.280397860106454,659.05,9,-39,-1.03
7.460213315597882,659.23,10,-37,-1.59
7.679987761198464,659.45,10,-30,-2.06
7.8797827117443555,659.65,10,-24,-2.4
8.119536652399516,659.89,9,-12,-2.49
8.269382865308962,660.04,7,-4,-2.44
8.469177815854968,660.24,5,6,-2.26
8.65898301887357,660.43,3,14,-2.12
8.858777969419576,660.63,0,21,-2.2
9.108521657602026,660.88,-3,29,-2.61
9.268357618038761,661.04,-6,32,-3.04
9.468152568584765,661.24,-9,36,-3.59
9.66794751913077,661.44,-12,38,-4.15
9.857752722149373,661.63,-14,39,-4.66
10.107496410331823,661.88,-16,37,-5.09
10.267332370768559,662.04,-16,35,-5.22
10.457137573787275,662.23,-15,30,-5.15
10.656932524333167,662.43,-13,25,-4.77
10.866717222406459,662.64,-12,20,-4.23
11.10647116306162,662.88,-9,15,-3.44
11.266307123498356,663.04,-8,11,-2.92
11.486081569098939,663.26,-6,6,-2.26
11.685876519644944,663.46,-4,2,-1.65
11.865691975136258,663.64,-3,-1,-1.12
12.125425410845995,663.9,-1,-5,-0.48
12.285261371282731,664.06,0,-6,-0.17
12.485056321828736,664.26,2,-8,0.15
