report_t_s,t,pitch,roll
0.02968642657466591,628.45,-5,1
0.2294813771205573,628.65,-4,4
0.45924557024842894,628.88,-4,6
0.6290712782124537,629.05,-3,8
0.8288662287584586,629.25,-3,9
1.0486406743590413,629.47,-2,10
1.228456129850355,629.65,-1,12
1.4582203229782267,629.88,0,13
1.6280460309422513,630.05,0,14
1.8278409814882564,630.25,1,15
2.0276359320342614,630.45,2,16
2.2274308825801525,630.65,2,18
2.4472053281807353,630.87,2,19
2.627020783672049,631.05,2,19
2.8168259866907652,631.24,2,20
3.026610684764059,631.45,2,20
3.22640563530995,631.65,2,20
3.466159575965111,631.89,2,19
3.6160057888745576,632.04,2,18
3.825790486947852,632.25,2,18
4.015595689966568,632.44,1,17
4.225380388039748,632.65,1,16
4.465134328694909,632.89,2,15
4.644949784186336,633.07,2,14
4.8247652396776495,633.25,2,13
5.024560190223654,633.45,2,12
5.2143653932422565,633.64,2,12
5.484088576479284,633.91,2,11
5.623945041861442,634.05,2,11
5.823739992407447,634.25,3,11
6.033524690480741,634.46,3,11
6.2233298934993435,634.65,3,12
6.483063329209082,634.91,3,12
6.6129300470639505,635.04,3,13
6.822714745137245,635.25,3,14
7.012519948155961,635.44,3,14
7.23229439375643,635.66,3,15
7.472048334411591,635.9,3,16
7.6318842948483265,636.06,2,16
7.811699750339754,636.24,2,16
8.031474195940337,636.46,2,16
8.231269146486227,636.66,2,16
8.471023087141388,636.9,1,16
8.620869300050835,637.05,1,15
8.800684755542262,637.23,1,15
9.020459201142845,637.45,1,14
9.200274656634159,637.63,2,14
9.440028597289318,637.87,2,13
9.619844052780632,638.05,2,13
9.79965950827206,638.23,2,13
10.019433953872642,638.45,2,14
10.219228904418534,638.65,3,14
10.458982845073695,638.89,3,14
10.618818805510431,639.05,4,15
10.818613756056436,639.25,4,16
11.01840870660244,639.45,4,16
11.208213909621042,639.64,4,17
11.467947345330781,639.9,4,17
11.607803810712939,640.04,4,18
11.827578256313522,640.26,4,18
12.017383459332239,640.45,3,18
12.207188662350841,640.64,3,18
12.466922098060579,640.9,3,18
12.616768310970025,641.05,3,18
12.81656326151603,641.25,2,18
13.016358212062036,641.45,2,18
13.206163415080638,641.64,2,17
13.455907103263087,641.89,1,17
13.605753316172535,642.04,1,17
13.825527761773117,642.26,1,17
14.025322712319122,642.46,2,17
14.225117662865014,642.66,2,17
14.464871603520175,642.9,2,17
14.62470756395691,643.06,2,17
14.824502514502916,643.26,2,18
15.034287212576208,643.47,2,18
15.214102668067522,643.65,2,18
15.453856608722683,643.89,2,19
15.613692569159419,644.05,2,19
15.813487519705424,644.25,2,20
16.053241460360585,644.49,2,21
16.233056915851897,644.67,2,21
16.492790351561638,644.93,1,21
16.612667321889216,645.05,1,21
16.802472524907934,645.24,2,21
17.012257222981226,645.45,2,20
17.202062425999827,645.64,1,20
17.44181636665499,645.88,2,19
17.601652327091724,646.04,2,19
17.82142677269231,646.26,3,19
18.021221723238313,646.46,3,19
18.221016673784206,646.66,3,20
18.480750109493943,646.92,3,22
18.60062707982152,647.04,3,23
18.820401525422106,647.26,3,26
19.00021698091353,647.44,3,29
19.210001678986714,647.65,2,31
19.449755619641873,647.89,0,34
19.60959158007861,648.05,-1,36
19.809386530624614,648.25,-2,37
20.009181481170618,648.45,-3,39
20.20897643171651,648.65,-4,39
20.45872011989896,648.9,-5,40
20.608566332808408,649.05,-6,40
20.80836128335441,649.25,-6,41
20.988176738845727,649.43,-6,41
21.20795118444631,649.65,-6,42
21.42772563004689,649.87,-6,43
21.607541085538205,650.05,-6,44
21.80733603608421,650.25,-6,45
21.987151491575524,650.43,-5,47
22.216915684703395,650.66,-6,48
22.446679877831265,650.89,-5,50
22.606515838268002,651.05,-5,52
22.806310788814006,651.25,-5,53
22.98612624430532,651.43,-5,55
23.205900689905903,651.65,-5,56
