report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,roll,vario
0.14473800000001802,427.83,29.742999948195664,6.593407424247731,-5,1,-1.87
0.34473800000000665,428.03,30.131249880941795,6.655685271396977,-5,1,-1.82
0.5847380000000157,428.27,30.556853585086408,6.715424401434831,-4,1,-1.72
0.7347380000000499,428.42,31.059880859069498,6.768749224098476,-4,0,-1.64
0.9547380000000203,428.64,31.287732322390365,6.812823651924485,-2,0,-1.53
1.144738000000018,428.83,31.513936421455032,6.844582398609371,-2,0,-1.42
1.3347380000000157,429.02,31.513936421455032,6.866516342355215,-2,0,-1.31
1.5947380000000067,429.28,31.840091929541167,6.87194387406782,0,0,-1.13
1.7347380000000499,429.42,31.779192749922625,6.861946370870129,0,-1,-1.03
1.9447380000000294,429.63,31.575347203481513,6.832590242750556,0,-1,-0.91
2.144738000000018,429.83,31.287732322390365,6.782523446241769,2,-1,-0.86
2.3447380000000067,430.03,31.0390841504378,6.717797439138176,2,-2,-0.84
2.5947380000000067,430.28,30.59908837177463,6.637568637865731,3,-2,-0.78
2.7547380000000317,430.44,30.514560341862087,6.539350574839589,3,-2,-0.73
2.9447380000000294,430.63,30.08835840029312,6.427807313728348,3,-2,-0.68
3.154738000000009,430.84,29.742999948195664,6.301377076890737,4,-2,-0.62
3.3547380000000544,431.04,29.65603192593096,6.16823379769304,4,-2,-0.54
3.5947380000000067,431.28,29.173073883221804,6.0270359560553715,4,-3,-0.48
3.7547380000000317,431.44,29.08440172101513,5.879135105486033,4,-3,-0.45
3.9447380000000294,431.63,28.478643985718595,5.723395804396027,4,-3,-0.42
4.134738000000027,431.82,27.486371855068505,5.561584705235282,5,-3,-0.39
4.354738000000054,432.04,26.260930668806022,5.396478184465929,4,-3,-0.38
4.584738000000016,432.27,24.975434359157227,5.22884721000847,5,-3,-0.43
4.744738000000041,432.43,24.160654893813604,5.060330048642797,5,-3,-0.5
4.95473800000002,432.64,23.094816208714146,4.888140966838975,5,-3,-0.59
5.144738000000018,432.83,22.065316421377467,4.713168180348731,5,-3,-0.68
5.344738000000007,433.03,20.9237409101114,4.540935286331892,6,-3,-0.77
5.584738000000016,433.27,19.48557158514987,4.372048031534015,5,-2,-0.91
5.754738000000032,433.44,18.638700275480144,4.207062467691784,5,-2,-1.06
5.944738000000029,433.63,17.96840339062331,4.04671747259505,4,-1,-1.22
6.144738000000018,433.83,17.49498834943707,3.8925512158396613,4,-1,-1.41
6.354738000000054,434.04,16.932300674227616,3.7439901480005604,3,0,-1.6
6.584738000000016,434.27,16.932300674227616,3.6053588793476368,1,0,-1.84
6.744738000000041,434.43,17.084162913323542,3.477258391081134,-1,0,-1.99
6.944738000000029,434.63,17.23468708087008,3.362074444967534,-2,0,-2.19
7.134738000000027,434.82,18.040133829088642,3.259794341647924,-4,0,-2.34
7.344738000000007,435.03,18.673312562071473,3.173663361135849,-6,1,-2.48
7.574738000000025,435.26,19.41918102899128,3.102100424727415,-7,1,-2.57
7.744738000000041,435.43,20.041013432153452,3.0481706594466176,-7,1,-2.62
