report_t_s,t,pitch,roll,G_force,vario,GNSS_alt
0.07636497293336186,783.37,-1,9,1.04,-2.28,552.81
0.32622342538438054,783.62,0,10,1.1,-2.05,552.37
0.4661441587569374,783.76,-1,10,1.11,-1.89,551.95
0.6660309207177978,783.96,-1,10,1.1,-1.7,551.57
0.8659176826785445,784.16,1,9,1.12,-1.47,551.25
1.0558101065413732,784.35,1,8,1.1,-1.28,550.97
1.305668558992392,784.6,0,7,1.07,-1.1,550.71
1.4655779685610122,784.76,0,7,1.08,-0.98,550.47
1.6754590686199042,784.97,1,6,1.08,-0.82,550.28
1.8553571543845877,785.15,1,6,1.09,-0.69,550.13
2.0652382544434795,785.36,2,6,1.07,-0.54,549.99
2.2951080306984353,785.59,3,5,1.06,-0.42,549.85
2.4650117783650867,785.76,3,4,1.05,-0.35,549.8
2.684887216522011,785.98,4,2,1.03,-0.27,549.75
2.854790964188662,786.15,4,1,1.02,-0.22,549.71
3.0746664023455863,786.37,3,0,1.0,-0.22,549.69
3.29454184050251,786.59,4,-1,0.98,-0.21,549.66
3.4744399262671934,786.77,3,-1,0.98,-0.21,549.63
3.674326688228054,786.97,3,-2,0.95,-0.25,549.59
3.8542247739927373,787.15,3,-3,0.97,-0.27,549.54
4.064105874051629,787.36,4,-6,1.03,-0.19,549.47
4.283981312208553,787.58,8,-8,0.7,-0.62,549.42
4.463879397973236,787.76,6,-8,0.68,-1.5,549.26
4.663766159934097,787.96,5,-2,0.58,-2.32,548.93
4.863652921894843,788.16,8,-3,0.64,-2.86,548.37
5.083528360051767,788.38,10,-1,0.79,-3.12,547.76
5.303403798208691,788.6,12,6,0.93,-3.17,547.03
5.453318869679279,788.75,13,13,1.0,-3.11,546.24
5.663199969738171,788.96,6,21,0.99,-3.08,545.38
5.863086731698918,789.16,0,24,1.02,-3.1,544.47
6.07296783175781,789.37,-5,23,1.02,-3.14,543.59
6.2828489318167025,789.58,-11,19,0.9,-3.34,542.74
6.4727413556794176,789.77,-15,17,0.83,-3.69,541.84
6.662633779542246,789.96,-22,17,0.84,-4.1,540.84
6.872514879601025,790.17,-29,21,0.79,-4.65,539.73
7.072401641561885,790.37,-32,26,0.83,-5.34,538.52
7.292277079718809,790.59,-31,34,0.98,-6.36,537.14
7.472175165483492,790.77,-27,41,0.93,-7.23,535.67
7.672061927444353,790.97,-24,45,1.05,-7.97,533.96
7.8719486894051,791.17,-21,45,1.21,-8.48,532.12
8.07183545136596,791.37,-18,42,1.39,-8.75,530.24
8.291710889522884,791.59,-16,38,1.51,-8.62,528.43
8.471608975287568,791.77,-13,33,1.56,-8.25,526.78
8.671495737248428,791.97,-9,28,1.58,-7.6,525.24
8.871382499209174,792.17,-5,24,1.58,-6.84,523.87
9.061274923072004,792.36,-1,21,1.61,-5.91,522.66
9.30113903742499,792.6,5,18,1.62,-4.61,521.67
9.481037123189674,792.78,9,16,1.61,-3.63,520.85
9.66093520895447,792.96,13,13,1.57,-2.74,520.36
9.860821970915218,793.16,15,10,1.47,-1.84,520.1
10.060708732876078,793.36,17,6,1.39,-1.12,520.13
10.300572847229065,793.6,19,3,1.3,-0.43,520.3
10.460482256797684,793.76,19,0,1.23,-0.09,520.58
10.660369018758546,793.96,20,-2,1.13,0.19,520.92
10.860255780719292,794.16,20,-3,1.06,0.33,521.23
11.060142542680152,794.36,19,-5,1.01,0.42,521.59
11.300006657033139,794.6,17,-7,0.93,0.4,521.9
11.45991606660176,794.76,16,-8,0.88,0.26,522.16
11.65980282856262,794.96,15,-7,0.83,0.03,522.34
11.859689590523367,795.16,12,-7,0.81,-0.27,522.45
12.059576352484227,795.36,11,-6,0.83,-0.47,522.45
12.27945179064115,795.58,7,-4,0.83,-0.74,522.39
12.459349876405835,795.76,3,-2,0.86,-0.92,522.27
12.679225314562759,795.98,1,1,0.86,-1.12,522.15
12.85912340032744,796.16,-1,3,0.86,-1.27,521.98
13.059010162288303,796.36,-5,7,0.84,-1.48,521.72
13.288879938543257,796.59,-8,10,0.95,-1.59,521.39
13.468778024307941,796.77,-10,11,0.95,-1.68,521.03
13.648676110072739,796.95,-11,13,0.91,-1.82,520.64
13.848562872033485,797.15,-13,15,0.94,-2.02,520.1
14.068438310190409,797.37,-13,17,1.03,-2.12,519.49
14.288313748347331,797.59,-13,18,1.07,-2.15,518.91
14.468211834112015,797.77,-13,19,1.05,-2.18,518.35
14.658104257974845,797.96,-12,20,1.02,-2.29,517.76
14.857991019935591,798.16,-11,21,1.02,-2.41,517.14
15.057877781896451,798.36,-10,20,1.05,-2.45,516.5
15.317730572445502,798.62,-7,18,1.11,-2.37,515.88
15.45765130581806,798.76,-6,16,1.14,-2.24,515.26
15.657538067778919,798.96,-5,13,1.22,-1.92,514.7
15.857424829739665,799.16,-3,10,1.28,-1.45,514.19
16.057311591700525,799.36,0,7,1.34,-0.84,513.75
16.307170044151544,799.61,3,3,1.2,-0.34,513.43
