report_t_s,t,IAS_kmh,pitch,roll
0.0874432124034485,652.35,33.151582518326144,2,4
0.34729600295249885,652.61,33.3651527550429,2,3
0.507205412521119,652.77,33.014954867422716,2,3
0.7070921744819794,652.97,33.654200771847734,0,3
0.9069789364427262,653.17,30.683383540773406,2,1
1.1068656984035865,653.37,33.46177952194877,-5,0
1.3267411365605102,653.59,35.192392136450664,1,-2
1.5066392223251936,653.77,33.596590114875326,6,-2
1.706525984286054,653.97,26.211706762982285,5,-3
1.8864240700507375,654.15,17.23468708087008,5,-8
2.0763164939135663,654.34,20.487131974256723,8,-14
2.346163622560648,654.61,22.094561386394226,8,-10
2.4960786940312367,654.76,23.400353215544524,10,-6
2.695965455992097,654.96,25.20705076289698,10,-5
2.895852217952844,655.16,26.334594013136687,7,-7
3.0957389799137043,655.36,27.06020074363297,2,-9
3.335603094266691,655.6,27.673674682054124,-2,-8
3.48551816573728,655.75,28.478643985718595,-5,-5
3.695399265796172,655.96,29.26147734005323,-7,-7
3.8952860277569186,656.16,30.49339172305223,-9,-5
4.095172789717779,656.36,32.363084837575066,-12,-3
4.3450312421687975,656.61,34.31918009581492,-12,-6
4.504940651737418,656.77,34.897581563477885,-11,-7
4.704827413698278,656.97,36.929331299173036,-9,-9
4.904714175659025,657.17,38.11673965381529,-8,-8
5.104600937619885,657.37,38.25202575668112,-7,-8
5.324476375776809,657.59,38.85498451201044,-7,-6
