report_t_s,t,IAS_kmh,pitch,roll
0.10597731477511928,496.16,27.95227574613121,3,-17
0.2957879997182058,496.35,26.84457817793046,2,-14
0.4855986846612923,496.54,25.989045474851082,2,-11
0.7253595498525147,496.78,25.130082489286966,2,-7
0.905180198745974,496.96,24.426456675381424,2,-4
1.0949908836890605,497.15,23.51047313302681,2,0
1.3047816407314583,497.36,23.31742199230753,2,5
1.4945923256745448,497.55,23.094816208714146,2,9
1.7343531908658238,497.79,23.206386018525507,1,14
1.884203731610345,497.94,23.6746926364118,0,16
2.093994488652686,498.15,24.026651337416872,-1,20
2.2838051735957725,498.34,24.58455836910807,-3,23
2.4836058945885426,498.54,25.10437395827139,-5,25
2.733356795829449,498.79,26.456910481855164,-7,27
2.9031874086732246,498.96,27.556759606310752,-7,27
3.102988129665995,499.16,29.26147734005323,-7,27
3.2927988146090814,499.35,31.452405735183625,-7,27
3.482609499552168,499.54,33.24882996253478,-7,25
3.7223703647433903,499.78,34.69344612576895,-5,24
3.8922009775872226,499.95,36.09816017981176,-4,23
4.082011662530309,500.14,36.75406058366551,-2,22
4.291802419572707,500.35,37.034095570080794,0,21
4.501593176615048,500.56,37.622249713027365,2,19
4.721373969707016,500.78,38.04891621991622,5,18
4.871224510451594,500.93,38.04891621991622,7,18
5.081015267493934,501.14,38.218249126909654,10,17
5.300796060585959,501.36,38.0828430355911,12,17
5.490606745529046,501.55,37.86177532303847,15,17
5.730367610720325,501.79,37.67370483127835,17,16
5.880218151464846,501.94,37.43297581773894,18,16
6.090008908507187,502.15,36.999207106782876,20,16
6.279819593450274,502.34,35.97272563757045,21,16
6.499600386542298,502.56,35.46655150293308,22,16
6.709391143584639,502.77,34.5629140193677,22,16
6.879221756428471,502.94,34.11158348055716,22,16
7.089012513470812,503.15,33.46177952194877,22,16
7.288813234463583,503.35,32.72026029348589,20,15
7.498603991505924,503.56,30.28089163084838,19,14
7.738364856697203,503.8,28.614365059443518,17,13
7.888215397441724,503.95,28.478643985718595,16,13
8.098006154484121,504.16,27.155483435436107,13,11
8.297806875476835,504.36,28.523956097087428,11,10
8.487617560419922,504.55,29.50322102788792,9,9
8.717388389561517,504.78,29.26147734005323,6,6
8.90719907450466,504.97,29.017719779894662,4,5
9.087019723398063,505.15,29.173073883221804,2,4
9.29681048044046,505.36,29.32760505679498,0,1
9.486621165383546,505.55,29.8297144177563,-3,0
9.726382030574825,505.79,30.42979751050953,-6,-2
9.896212643418602,505.96,30.914010099114662,-8,-3
10.076033292312061,506.14,31.142928817086585,-9,-4
10.285824049354458,506.35,31.534419970203082,-10,-4
10.475634734297545,506.54,32.203068604575876,-10,-4
10.715395599488767,506.78,32.956226766015874,-10,-5
10.885226212332599,506.95,33.558128064355344,-10,-5
11.095016969374997,507.16,34.149422187121786,-9,-4
11.284827654318084,507.35,34.24383603106475,-8,-3
11.494618411360424,507.56,34.80494115167311,-6,-2
11.734379276551703,507.8,35.79277090390728,-3,0
11.884229817296225,507.95,36.258795555037956,-2,0
12.094020574338622,508.16,36.80672943406753,0,1
12.283831259281708,508.35,37.329331015725856,2,3
12.483631980274422,508.55,37.519127774770986,5,4
12.723392845465701,508.79,37.312028891498244,6,5
12.893223458309476,508.96,36.36549160387958,7,6
13.083034143252563,509.15,34.84202687466235,9,6
13.282834864245334,509.35,36.13391864343822,9,6
13.492625621287676,509.56,38.3868350758806,9,6
13.702416378330016,509.77,39.415977219955884,8,6
13.892227063273102,509.96,39.21889609900423,9,6
14.08203774821619,510.15,38.95457028280978,8,5
14.291828505258586,510.36,38.3531771692984,7,4
14.481639190201673,510.55,37.929933389590545,6,4
14.721400055392952,510.79,37.13856431236503,6,4
14.891230668236728,510.96,36.85932302522051,5,4
15.081041353179813,511.15,36.34773067895992,4,4
