report_t_s,t,IAS_kmh,pitch,G_force,roll,GNSS_vz_ms
0.17587893115152628,518.8,30.045405689742722,-1,0.94,-1,-1.2511764705882342
0.3257294718961609,518.95,29.95931552513665,-1,0.94,-1,-1.3349999999999795
0.5255301928888179,519.15,29.937754302102572,-2,0.96,-1,-1.439047619047642
0.7353209499312154,519.36,29.87297726053035,-2,0.96,0,-1.509999999999991
0.9351216709238723,519.56,30.19547286651847,-2,0.97,0,-1.5870833333333394
1.1648925000655244,519.79,30.451010338119236,-2,0.97,1,-1.6302083333333144
1.3347231129094133,519.96,30.704421173372356,-2,0.97,1,-1.617999999999995
1.5245337978524431,520.15,30.683383540773406,-2,0.98,2,-1.6100000000000136
1.7343245548948407,520.36,30.809393859665597,-1,1.0,3,-1.5649999999999977
1.9241352398378704,520.55,31.22575590170161,-2,1.04,3,-1.5224999999999795
2.1638961050291496,520.79,30.641264943649745,-2,1.13,3,-1.4300000000000068
2.3337267178730388,520.96,30.23821241072161,0,1.09,2,-1.3400000000000318
2.523537402816068,521.15,29.937754302102572,1,1.07,2,-1.2350000000000136
2.7333281598584658,521.36,30.38732743048238,3,1.11,4,-1.1515789473684208
2.9231388448014957,521.55,30.76744776280175,6,1.14,5,-1.1073076923076428
3.1628997099927747,521.79,30.17408039279773,8,1.14,9,-1.1126923076923276
3.332730322836664,521.96,29.56880811370837,9,1.12,13,-1.225499999999954
3.5225410077796937,522.15,29.39358400420481,10,1.05,18,-1.3949999999999818
3.7223417287724643,522.35,29.10659508687026,9,0.97,24,-1.6473809523809564
3.9121524137154937,522.54,28.636922701937348,7,0.91,30,-1.9915789473683958
4.171893351006028,522.8,28.90624138168652,4,0.88,37,-2.4864705882352496
4.321743891750662,522.95,29.459415181858972,2,0.87,41,-2.9585294117647436
4.521544612743319,523.15,30.344797910088005,-1,0.89,44,-3.5949999999999704
4.731335369785716,523.36,31.24642836732361,-4,0.95,47,-4.218421052631584
4.921146054728746,523.55,32.72026029348589,-6,1.02,49,-4.842692307692346
5.160906919920025,523.79,34.168325826647084,-8,1.13,50,-5.45230769230767
5.330737532763914,523.96,35.93680678124662,-10,1.21,50,-6.065409090909043
5.520548217706944,524.15,37.450222064135495,-11,1.3,51,-6.492045454545462
5.730338974749341,524.36,39.07043286796034,-12,1.42,51,-7.039999999999964
5.920149659692371,524.55,40.86379971993574,-14,1.52,53,-7.349999999999625
6.15991052488365,524.79,42.82364762509573,-14,1.6,55,-7.775217391304352
6.309761065628285,524.94,44.24753538622351,-15,1.64,56,-8.201019607843136
6.529541858720196,525.16,45.83880224020176,-16,1.73,59,-8.626666666666665
6.71935254366334,525.35,47.48556440151694,-17,1.81,63,-9.038333333333355
6.939133336755365,525.57,48.97172888097618,-20,1.9,67,-9.601666666666915
7.168904165896903,525.8,50.88580778246003,-22,2.02,72,-10.162020833333258
7.3187547066415375,525.95,51.81633946656485,-25,2.11,76,-10.882045454545505
7.518555427634195,526.15,52.98699060589672,-30,2.25,80,-11.596867588932923
7.728346184676592,526.36,53.88124697434353,-35,2.43,85,-12.482631578947348
7.918156869619622,526.55,55.3356813236362,-40,2.59,90,-13.292500000000302
8.157917734810901,526.79,57.047912194174856,-46,2.81,97,-14.338115942028878
8.317758311605163,526.95,58.52295468010646,-38,3.04,100,-14.894090909091574
8.547529140746702,527.18,59.529404498953284,-15,3.56,72,-15.334699248120216
8.717359753590591,527.35,58.776182832567024,-9,3.65,-11,-15.785369458127946
8.90717043853362,527.54,56.433374569541044,-19,3.74,-17,-15.588629764065047
9.1469313037249,527.78,54.81982896689102,-18,3.84,-1,-16.346041666666622
9.29678184446942,527.93,54.51271266261417,-12,3.98,12,-16.377708333333374
9.516562637561446,528.15,54.38225672899917,-19,4.07,35,-16.8789440993786
9.706373322504588,528.34,54.73731331904915,-30,3.9,55,-16.684117647058713
9.996084367944004,528.63,52.693702427426786,-12,3.89,28,-16.62271739130432
10.145934908688524,528.78,50.55479826436874,-6,3.85,-103,-16.51083333333321
10.32575555758204,528.96,47.075845229604035,2,4.06,-79,-16.378337320573507
10.495586170425817,529.13,44.115998243499014,9,4.13,-55,-16.674617224880308
10.705376927468214,529.34,43.21391676347813,11,4.04,-23,-16.491666666666617
10.905177648460871,529.54,43.55624003421745,8,3.84,7,-17.0318965517244
11.134948477602522,529.77,45.05736139995916,-5,3.64,47,-16.40799999999996
11.314769126496039,529.95,44.9425653882093,3,3.43,82,-16.158888888888782
11.504579811439068,530.14,42.65745891424392,16,3.38,21,-16.103571428571513
11.694390496382212,530.33,40.78471352287346,23,3.49,-117,-16.51642857142849
11.904181253424495,530.54,41.41317447875933,32,3.41,-81,-16.44022727272727
12.143942118615776,530.78,44.827475403154345,38,3.17,-46,-16.367916666666872
12.313772731459665,530.95,47.499160841137446,38,2.95,-19,-17.13324999999992
12.503583416402694,531.14,49.39186937345135,22,2.78,14,-17.394999999999982
12.693394101345836,531.33,50.31152949374526,21,2.64,48,-17.930000000000007
12.913174894437748,531.55,51.49131217585969,23,2.4,86,-18.18666666666661
13.152935759629028,531.79,54.59556777255973,20,2.47,125,-18.725294117647024
13.302786300373661,531.94,58.17990329967199,18,2.48,146,-19.329705882352982
13.502587021366319,532.14,60.412326843897326,14,2.71,172,-19.394999999999982
13.692397706309462,532.33,61.76532487685025,13,2.75,-146,-19.271666666666874
13.902188463351747,532.54,64.89554499504632,17,3.01,-104,-20.216522727272775
14.141949328543026,532.78,68.05258508487898,26,3.17,-43,-20.40124999999989
14.311779941386915,532.95,71.45914524240763,15,3.17,-17,-19.7548452380953
14.501590626329945,533.14,49.02444335143814,5,3.35,1,-19.181904761904775
14.711381383372341,533.35,14.81712502064928,13,3.59,18,-18.417380952380995
14.911182104364999,533.55,23.565340122774398,26,3.62,32,-17.733333333333405
15.14095293350665,533.78,26.187060112714803,40,3.63,51,-17.289999999999964
15.300793510300913,533.94,21.800346374331216,58,3.65,62,-16.113529411764603
15.510584267343196,534.15,4.097426394851344,76,3.72,78,-14.854523809523926
15.70039495228634,534.34,30.851282925727176,82,3.77,89,-13.824298245613988
15.910185709328625,534.55,70.21945374092188,82,3.78,98,-12.28000000000003
16.139956538470276,534.78,79.44391793547682,78,3.77,102,-11.480000000000018
16.309787151314165,534.95,81.60899888480186,75,3.79,101,-10.698779761905087
16.51957790835645,535.16,82.06663777512934,72,3.87,98,-10.47947368421029
16.709388593299593,535.35,81.96428571428571,71,3.77,91,-10.378404761905017
16.90918931429225,535.55,80.79789838017484,58,3.69,83,-10.39277777777744
17.138960143433902,535.78,80.01086102931939,56,3.55,71,-9.921999999999798
17.37872100862518,536.02,78.00853563971741,44,3.48,58,-10.215964912280754
17.568531693568325,536.21,75.54426243424906,30,3.27,47,-10.669824561403288
17.76833241456098,536.41,71.42299085342883,31,3.0,34,-10.95750000000021
17.948153063454498,536.59,67.79590752051786,36,2.8,23,-11.162803203661099
18.197903964695403,536.84,58.33507954140494,40,2.45,6,-11.293749999999704
18.367734577539178,537.01,56.7300940544661,44,2.15,-4,-11.53576388888888
18.55754526248232,537.2,50.27301102734052,53,1.82,-14,-11.408368421052671
18.767336019524606,537.41,45.866967405526076,70,1.41,-21,-8.219444444444719
18.95714670446775,537.6,40.194639644142214,78,1.07,-26,-5.1659583333330374
19.19690756965903,537.84,35.155676015722534,76,0.71,-29,-2.978823529411329
19.37672821855243,538.02,30.955757599700718,69,0.53,-33,-0.6515789473685345
19.576528939545202,538.22,26.162390243731668,64,0.4,-36,0.730583333333243
19.726379480289722,538.37,22.298202201715082,60,0.34,-38,1.5140476190477443
19.906200129183127,538.55,14.947292601753972,55,0.28,-40,2.3989849624056774
20.145960994374406,538.79,8.350959250778514,50,0.32,-42,3.3231249999996635
20.315791607218294,538.96,5.330289841642607,43,0.35,-42,4.373333333333562
20.505602292161324,539.15,2.5411159769210188,32,0.47,-41,5.8434999999997785
20.705403013154093,539.35,3.7690840927152554,18,0.64,-39,4.966333333333182
20.915193770196378,539.56,5.0822319538420375,1,0.95,-37,2.524791666666715
21.144964599338028,539.79,5.567306167185676,-11,1.97,-33,1.3616666666666788
21.31479521218192,539.96,4.545686450484948,-28,1.69,-36,-0.28000000000002956
21.504605897124947,540.15,3.4092648378637107,-34,1.06,-21,-0.8799999999999955
21.70440661811772,540.35,3.5936806781246613,-36,0.61,-4,-1.2649999999999864
21.914197375160004,540.56,1.968339971879339,-39,0.5,18,-1.4526086956521453
22.13397816825203,540.78,10.290735381588506,-40,0.37,19,-1.648695652173899
22.313798817145543,540.96,14.102621336880196,-42,0.54,12,-2.35842105263157
22.503609502088572,541.15,18.35945302306478,-39,0.66,13,-3.2895454545454186
22.703410223081345,541.35,23.455477798917467,-34,0.88,14,-4.025454545454579
22.903210944074,541.55,28.044527732060054,-29,1.01,17,-4.609523809523807
23.132981773215654,541.78,32.81878584106415,-22,1.2,21,-4.8799999999999955
23.302812386059543,541.95,36.40098745576968,-14,1.3,20,-4.851666666666631
23.492623071002573,542.14,39.80721238875268,-5,1.44,19,-4.603684210526296
23.712403864094597,542.36,43.31838848124714,1,1.6,16,-4.19672727272723
23.902214549037627,542.55,45.14326683810473,5,1.66,11,-3.77613636363634
24.131985378179277,542.78,45.90918275491832,7,1.66,4,-3.183260869565231
24.311806027072794,542.96,46.217583786048436,9,1.64,0,-2.1973684210526585
24.501616712015824,543.15,46.31528073532359,10,1.59,-4,-1.2933116883116895
24.691427396958968,543.34,45.82471316587473,11,1.52,-8,-0.40623376623375407
24.91120819005088,543.56,45.20044642636682,12,1.44,-13,0.6613217391304147
25.14097901919253,543.79,43.98406773237002,13,1.35,-18,1.3768666666666718
25.30081959598679,543.95,42.56653705119331,13,1.29,-21,1.8783333333333303
25.49063028092982,544.14,40.78471352287346,13,1.23,-24,2.2387368421052543
25.70042103797222,544.35,38.26890289218425,12,1.15,-27,2.5888636363636124
25.900221758964875,544.55,37.39845946570745,12,1.08,-29,2.799213286713325
26.149972660205783,544.8,37.15594721259715,12,1.03,-30,2.9090625000000614
26.309813237000046,544.96,36.45416642854421,13,1.02,-30,2.865539473684237
26.509613957992702,545.16,34.65620140636257,13,0.98,-29,2.7666666666666515
26.699424642935845,545.35,32.363084837575066,13,0.96,-28,2.554047619047651
26.889235327878875,545.54,30.259559545332962,13,0.97,-26,2.298381578947385
27.14897626516941,545.8,28.614365059443518,12,0.96,-23,2.0400000000000205
27.298826805914043,545.95,27.76685230152481,12,0.95,-21,1.8441666666666947
27.4986275269067,546.15,26.79642642942814,11,0.96,-17,1.7008947368420877
