report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,roll,vario
0.12015689099464574,356.79,46.37101514867199,9.320932178555292,3,0,-1.69
0.2700074317391668,356.94,46.24551826051551,8.763821026482702,3,-1,-1.82
0.4797981887815077,357.15,46.357087827394146,8.146183490646397,2,-2,-2.0
0.6696088737245942,357.34,46.38493828819867,7.528926480664057,2,-3,-2.17
0.8793996307669919,357.55,47.00721150710249,6.939042534717607,1,-3,-2.29
1.119160495958271,357.79,47.28114862507173,6.392792303563054,1,-3,-2.42
1.269011036702792,357.94,46.25947917200653,5.909440732728823,1,-3,-2.61
1.478801793745133,358.15,45.44265701442436,5.50027185474716,0,-2,-2.84
1.6686124786882195,358.34,45.796522013919656,5.159106336106725,0,-2,-3.0
1.878403235730617,358.55,46.09166914189281,4.8843959656154565,-1,-1,-3.08
2.1181641009218963,358.79,45.18615831270926,4.656977191131058,-2,0,-3.31
2.2680146416664173,358.94,44.552945171665,4.479991875467074,-3,1,-3.5
2.4877954347584423,359.16,44.422312374916885,4.348402097358172,-3,2,-3.59
2.6776061197015286,359.35,45.15756852287288,4.250949397444388,-3,2,-3.45
2.8774068406942424,359.55,46.30133664928264,4.187774771728105,-4,3,-3.21
3.1071776698358375,359.78,47.24015932510415,4.154646554162205,-3,3,-3.01
3.27700828267967,359.95,46.95223229354424,4.14413190048079,-3,3,-2.98
3.4867990397220674,360.16,46.42668265388878,4.141727511965294,-2,3,-3.02
3.676609724665154,360.35,45.75420271763601,4.149412344950798,-1,2,-2.93
3.8664204096082404,360.54,45.57036496743587,4.1595253992513275,0,2,-2.86
4.116171310849147,360.79,44.899441215103906,4.174737233912383,1,2,-2.76
4.276011887643295,360.95,44.43684609438801,4.180822919103648,1,2,-2.74
4.485802644685693,361.16,45.229009112583064,4.180743898205721,1,3,-2.69
4.67561332962878,361.35,45.59869593999999,4.1788568832364,0,3,-2.63
4.8654240145718655,361.54,46.231553133136686,4.168991181460861,0,3,-2.68
5.105184879763088,361.78,46.96598313065075,4.153026849768085,0,3,-2.95
5.265025456557293,361.94,47.3493852728236,4.126499371642819,-1,3,-3.11
5.484806249649318,362.16,48.25444755857923,4.112114666702852,-1,3,-3.22
5.674616934592405,362.35,48.601126687620344,4.097159974206081,-1,3,-3.22
5.874417655585118,362.55,48.9189576060785,4.0999470088520376,-1,3,-3.14
6.094198448677086,362.77,48.627691940594794,4.115000237396787,0,3,-3.05
6.264029061520918,362.94,48.601126687620344,4.1480358367556605,0,2,-3.01
6.47381981856326,363.15,48.85291335076285,4.193979861606917,0,3,-3.0
6.6636305035063454,363.34,49.54850360186141,4.246166012114456,-1,3,-3.1
6.873421260548743,363.55,50.86042199500712,4.315407590011839,-1,2,-3.12
7.083212017591085,363.76,51.11371251575116,4.394851693058473,-1,1,-3.12
7.2730227025341705,363.95,51.65408147139063,4.495815306482345,-1,0,-3.14
7.462833387477257,364.14,52.16410403716333,4.5986126677126915,-2,-1,-3.07
7.682614180569282,364.36,52.93822208143051,4.7178756421600285,-2,-1,-2.94
7.892404937611623,364.57,52.632395015826894,4.830216002539246,-1,-2,-2.73
8.102195694653965,364.78,52.015346783621546,4.933310544754781,-1,-2,-2.65
8.272026307497796,364.95,52.13934063484822,5.038605536997129,0,-1,-2.64
8.461836992440883,365.14,51.60405329357889,5.126688879070582,0,-1,-2.75
8.67162774948328,365.35,51.05050770300618,5.212670473639968,1,-2,-2.78
8.861438434426367,365.54,51.3908902135269,5.276080012445425,1,-3,-2.83
9.081219227518336,365.76,51.6415789705488,5.333266012845338,0,-3,-2.85
9.27102991246142,365.95,51.753992747479124,5.382664115463645,1,-3,-2.79
9.460840597404507,366.14,51.903499056284375,5.410581658106403,0,-4,-2.82
9.670631354446906,366.35,52.60785204642721,5.431989639859515,0,-4,-2.76
9.860442039389993,366.54,52.04016918865342,5.455416954517548,0,-4,-2.73
10.110192940630899,366.79,51.54144978479327,5.493106832242507,0,-4,-2.76
10.260043481375419,366.94,51.328026715729216,5.536193092508502,1,-3,-2.74
10.46983423841776,367.15,51.12634410188635,5.621624734347366,1,-3,-2.73
10.659644923360847,367.34,50.92386273564062,5.7372685233353575,1,-2,-2.77
10.869435680403244,367.55,50.96188927191834,5.913636492075513,1,-2,-2.7
11.109196545594523,367.79,51.23988825084597,6.1559847104097924,0,-1,-2.6
11.259047086339045,367.94,51.44112569982607,6.493272162159925,1,0,-2.49
11.45884780733176,368.14,51.36575404659713,7.000251612148754,1,0,-2.32
11.668638564374156,368.35,51.20206817809497,7.715980331214219,1,0,-2.06
11.858449249317243,368.54,51.20206817809497,8.725386718988574,2,1,-1.71
12.098210114508465,368.78,50.92386273564062,10.238033195751692,3,1,-1.34
12.268040727352297,368.95,50.362841622832704,12.609018261063179,4,1,-1.19
12.46784144834501,369.15,49.35263314109171,16.565960594425707,5,0,-0.87
12.657652133288098,369.34,48.38807962711478,24.756153000468046,7,0,-0.27
12.867442890330494,369.55,46.9384774280686,,9,0,0.33
13.107203755521773,369.79,44.88505728354303,,10,0,0.77
13.257054296266295,369.94,44.057411234591136,,11,0,0.98
13.45685501725901,370.14,42.44500493435653,,12,-1,1.15
13.666645774301406,370.35,40.338965565035785,,13,0,1.14
13.856456459244493,370.54,38.53793188376292,,13,-1,1.1
14.086227288386088,370.77,36.0623662590807,,13,-1,0.99
14.266047937279547,370.95,34.46937416174016,,13,-1,0.82
14.455858622222634,371.14,33.132098777284774,,12,-1,0.59
14.665649379265032,371.35,31.575347203481513,,11,-1,0.25
14.855460064208119,371.54,30.17408039279773,,9,0,-0.07
15.095220929399341,371.78,28.704489267040316,,8,0,-0.49
15.265051542243173,371.95,27.813324053373396,21.067282694494693,6,1,-0.87
15.45486222718626,372.14,26.868621692090066,11.683122840598976,4,1,-1.29
15.664652984228656,372.35,26.310062481018587,7.9227165751266755,2,1,-1.68
15.86445370522137,372.55,26.432492469747633,5.960883556115087,-1,2,-2.0
16.094224534362965,372.78,26.868621692090066,4.82155501402081,-4,2,-2.36
16.25406511115717,372.94,27.13169413307271,4.086068297348588,-6,3,-2.59
16.463855868199513,373.15,28.02149320847576,3.615243043684976,-8,3,-2.88
16.663656589192282,373.35,28.36504702723305,3.303859386335621,-10,3,-3.09
16.85346727413537,373.54,29.48132624117808,3.109874088502998,-11,4,-3.25
17.103218175376274,373.79,31.22575590170161,3.001653633049359,-12,4,-3.45
17.253068716120797,373.94,32.16294015459027,2.9535830277218915,-13,4,-3.57
17.47284950921282,374.16,33.44247650360059,2.964453713440023,-13,4,-3.67
17.662660194155908,374.35,34.31918009581492,3.0197826868248874,-13,3,-3.65
17.8924310232975,374.58,35.118921509055255,3.124561332814447,-12,3,-3.55
18.082241708240588,374.77,35.82883415829849,3.26350550528213,-11,2,-3.37
18.252072321084423,374.94,36.436448728139894,3.470237066862745,-9,2,-3.18
18.46186307812676,375.15,36.946812640412084,3.719723141759062,-8,1,-2.91
18.661663799119534,375.35,37.10377408054884,4.017547908117298,-6,0,-2.65
18.85147448406262,375.54,37.570724124303084,4.362233350910926,-4,0,-2.39
19.101225385303525,375.79,38.437266674254495,4.741765698847827,-2,-1,-2.05
19.261065962097675,375.95,38.63833482912206,5.142438279981511,-1,-1,-1.82
19.470856719140073,376.16,38.302634853684594,5.5275565597383185,1,-1,-1.51
19.660667404083156,376.35,38.18444261951803,5.879172961143406,2,-1,-1.39
19.850478089026243,376.54,37.67370483127835,6.120378277375992,3,-1,-1.38
