report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,roll,vario
0.12101096481545547,444.19,37.10377408054884,7.790448728066903,4,0,-1.76
0.28085154160966047,444.35,36.80672943406753,7.628344233799858,5,0,-1.79
0.4906422986520014,444.56,36.31218276759108,7.466714070234501,4,0,-1.89
0.7403931998929076,444.81,35.77472564392296,7.252564748883272,4,0,-2.0
0.8702636685381744,444.94,35.539303479904255,6.9597719600833035,3,0,-2.04
1.1200145697790806,445.19,34.953047953282834,6.5769503957080255,3,0,-2.07
1.2698651105236018,445.34,35.137303568156966,6.082552854260079,3,0,-2.07
1.4796558675659994,445.55,35.22906999125835,5.566577519827231,2,0,-2.14
1.7094266967075946,445.78,35.79277090390728,5.055767104701394,1,0,-2.17
1.889247345601054,445.96,35.7205351675064,4.57998064881621,1,0,-2.2
2.1090281386930787,446.18,35.26570969954022,4.14399186763757,2,-2,-2.2
2.288848787586538,446.36,34.22497409846816,3.762405773088533,0,-3,-2.11
2.4786594725296247,446.55,35.21073583961782,3.3941183319119697,-2,-3,-2.74
2.70843030167122,446.78,32.56199934003451,3.047257180653719,-2,-4,-3.96
2.888250950564679,446.96,27.10788395373161,2.737382704951391,5,-6,-5.13
3.118021779706331,447.19,15.204284942483971,2.4727315327725026,3,-15,-5.67
3.2878523925501635,447.36,10.538740485485357,2.258269281528005,6,-26,-5.54
3.4776630774932498,447.55,14.508859889947331,2.090582528517273,1,-33,-5.36
3.707433906634845,447.78,14.419573750387253,1.9544370768620225,-2,-33,-5.33
3.8772645194786772,447.95,21.62189578993989,1.8486636805358394,2,-21,-5.64
4.117025384669956,448.19,18.324247903379003,1.7660380480588613,10,-12,-5.99
4.2768659614641615,448.35,11.972944627835897,1.7009294812290927,5,-11,-6.16
4.466676646407248,448.54,20.861927655665095,1.6664458829186817,6,-10,-6.47
4.7064375115984705,448.78,29.98086124207119,1.6744705054189397,3,-7,-6.59
4.876268124442302,448.95,31.799505435122217,1.7159522336083948,0,-7,-6.56
5.096048917534327,449.17,32.956226766015874,1.7958485145496503,-5,-8,-6.12
5.285859602477414,449.36,33.50035219126473,1.9089574363394337,-6,-6,-5.64
5.475670287420501,449.55,34.953047953282834,2.0413306934289426,-6,-4,-5.12
5.7054411165620955,449.78,36.151784611720686,2.2115234027804145,-5,-3,-4.97
5.865281693356301,449.94,36.34773067895992,2.4138591636731697,-8,-3,-5.04
6.115032594597207,450.19,32.9170164882815,2.6689003367816673,-12,-4,-4.79
6.274873171391412,450.35,33.76912723304576,2.9907791982328216,-11,-5,-4.52
6.484663928433753,450.56,37.501913216500824,3.419951430500515,-10,-9,-4.09
6.694454685476094,450.77,39.33398009095848,3.9825600056106363,-9,-14,-3.54
6.874275334369553,450.95,40.610181755871245,4.7594804144342335,-7,-18,-3.07
7.074076055362267,451.15,41.41317447875933,5.862891238181096,-7,-21,-2.53
7.273876776355038,451.35,41.162941526354025,7.50051198925914,-7,-22,-2.12
7.483667533397378,451.56,40.51466571199992,10.197767943066076,-6,-22,-1.76
7.7034483264893465,451.78,39.88823671925633,15.209574298347341,-5,-23,-1.42
7.873278939333178,451.95,39.235357336286896,28.01586205844735,-4,-23,-1.17
8.10304976847483,452.18,38.47085101152586,,-2,-24,-0.79
8.272880381318663,452.35,37.622249713027365,,-1,-24,-0.57
8.472681102311377,452.55,35.918833883507695,,1,-24,-0.41
8.702451931452972,452.78,33.481071411428026,,5,-23,-0.29
8.872282544296803,452.95,31.94133254092252,,7,-22,-0.26
9.082073301339202,453.16,30.53571428571428,,9,-21,-0.26
9.281874022331914,453.36,29.50322102788792,,10,-19,-0.34
9.471684707275001,453.55,27.998439734224842,,10,-17,-0.45
9.701455536416598,453.78,26.79642642942814,,10,-15,-0.59
9.861296113210802,453.94,26.112980586329872,,8,-13,-0.74
10.071086870253142,454.15,25.563172050943177,,6,-11,-0.94
10.260897555196228,454.34,25.20705076289698,,4,-8,-1.09
10.470688312238627,454.55,24.71553723090487,,2,-6,-1.23
10.710449177429906,454.79,24.240701457318785,25.214431871625667,0,-3,-1.36
10.860299718174428,454.94,24.133913706987652,15.5160571561544,-2,-2,-1.43
11.070090475216768,455.15,23.891896201047597,11.321573218557592,-4,0,-1.51
11.259901160159854,455.34,23.783542371881904,9.005344032758883,-6,1,-1.58
11.469691917202253,455.55,24.240701457318785,7.576184980036295,-8,2,-1.62
11.699462746343848,455.78,24.871801404442756,6.672054721420418,-9,3,-1.73
11.859303323138052,455.94,25.30931102360939,6.062825295124434,-9,3,-1.77
12.069094080180394,456.15,25.839538699521736,5.651804143746722,-10,2,-1.78
12.25890476512348,456.34,26.383588649006786,5.369796857619102,-10,2,-1.8
12.468695522165877,456.55,27.345052811528927,5.175161246368629,-11,1,-1.82
12.698466351307472,456.78,28.79433139366433,5.049762504191825,-9,1,-1.86
12.878287000200931,456.96,29.95931552513665,4.974732013829185,-9,0,-1.91
13.068097685144018,457.15,31.184369858462553,4.933405387040106,-9,0,-1.96
13.257908370087105,457.34,32.700519561496826,4.937567739627304,-8,0,-2.0
