report_t_s,t,IAS_kmh,pitch,roll,vario
0.18240019303949906,486.14,40.70547367043766,6,4,-0.66
0.3921909500818967,486.35,40.082026864306904,7,4,-0.55
0.5820016350249833,486.54,40.033667272760844,8,4,-0.46
0.8117724641665784,486.77,39.383198854852004,8,3,-0.39
0.9816030770104106,486.94,38.78845195547304,9,3,-0.39
1.2013838701024355,487.16,38.3531771692984,9,3,-0.39
1.391194555045522,487.35,37.759307542941634,9,2,-0.43
1.5810052399886085,487.54,37.346625124142946,8,1,-0.51
1.8107760691302037,487.77,36.27660002237907,8,1,-0.62
1.990596718023663,487.95,35.68436246438761,8,0,-0.7
2.1804074029667495,488.14,35.10052982331678,7,0,-0.82
2.390198160009147,488.35,34.50682053254553,6,0,-1.0
2.580008844952234,488.54,33.99781468067065,5,0,-1.15
2.809779674093829,488.77,34.20610176502408,2,0,-1.32
2.9796102869376613,488.94,33.76912723304576,5,-1,-1.39
3.179411007930375,489.14,32.26316769624332,-1,-4,-2.01
3.409181837072027,489.37,33.519621880629984,-1,-3,-2.98
3.5989925220151133,489.56,32.64122573291234,6,-3,-4.03
3.8387533872063924,489.8,19.584735439747405,-1,-8,-4.76
3.988603927950914,489.95,16.151585819658575,-1,-13,-5.13
4.198394684993311,490.16,12.500637738833609,-3,-22,-5.31
4.378215333886714,490.34,21.77070618880296,-9,-27,-5.45
4.578016054879484,490.54,26.013879733240678,-19,-22,-5.3
4.80778688402108,490.77,26.505679021827813,-19,-11,-4.27
4.977617496864911,490.94,26.236330259969744,-18,-6,-4.36
5.177418217857626,491.14,26.334594013136687,-23,-5,-4.59
5.387208974900023,491.35,25.814536721050192,-26,-1,-5.08
5.587009695892736,491.55,26.627209595005,-25,5,-5.7
5.816780525034332,491.78,29.32760505679498,-22,10,-6.27
5.986611137878164,491.95,32.28317586417964,-20,13,-6.51
6.186411858870878,492.15,34.93456894170668,-17,16,-6.58
6.386212579863648,492.35,36.36549160387958,-13,18,-6.48
6.586013300856362,492.55,37.570724124303084,-10,16,-6.12
6.825774166047641,492.79,39.15298194132803,-2,12,-5.45
6.995604778891416,492.96,40.049793624783575,2,9,-4.85
7.185415463834503,493.15,40.78471352287346,5,5,-4.14
7.385216184827273,493.35,41.67740082821766,7,1,-3.44
7.57502686977036,493.54,41.87833142398516,7,-3,-2.71
7.814787734961582,493.78,42.262051475265125,5,-7,-1.84
7.984618347805415,493.95,42.61202223288059,3,-9,-1.19
8.184419068798128,494.15,41.11585330328367,3,-12,-0.51
8.3842197897909,494.35,38.285772587908696,3,-15,0.14
8.584020510783612,494.55,38.37000981314996,3,-17,0.51
8.833771412024518,494.8,38.04891621991622,3,-20,0.83
9.003602024868352,494.97,37.94695377787798,4,-21,0.95
9.173432637712127,495.14,36.946812640412084,4,-22,1.03
9.383223394754523,495.35,35.41188943371005,4,-22,1.0
9.57303407969761,495.54,34.20610176502408,4,-22,0.91
9.812794944888832,495.78,31.98173904985564,4,-20,0.73
9.982625557732666,495.95,29.69954777021195,3,-19,0.58
