report_t_s,t,IAS_kmh,pitch,roll
0.0376170135710861,310.72,49.574561191673084,-2,1
0.22743239799243173,310.91,49.37879409344106,-2,1
0.4372283491949537,311.12,48.640969126354996,-2,1
0.6670048671787088,311.35,47.28114862507173,-2,2
0.8368396848188213,311.52,47.00721150710249,-2,3
1.026655069240167,311.71,47.25382637567943,-2,3
1.2364510204427457,311.92,47.82431576689235,-2,2
1.4362566882546794,312.12,48.4147617794745,-2,3
1.6460526394572015,312.33,49.63964532261589,-1,2
1.8358680238785472,312.52,49.989635405343606,-1,2
2.025683408299893,312.71,50.170150538961316,-1,2
2.2354793595024716,312.92,49.10340894895346,0,0
2.4252947439238173,313.11,48.99809320529832,-3,-1
2.6650615452981605,313.35,49.95086871831445,2,-1
2.834896362938273,313.52,51.23988825084597,7,3
3.0247117473596186,313.71,44.422312374916885,10,3
3.224517415171609,313.91,29.349614519597687,14,3
3.434313366374131,314.12,17.787811838447134,23,12
3.664089884357886,314.35,11.810039831276038,16,19
3.853905268779232,314.54,9.907093933342997,9,24
4.033730369809989,314.72,10.036603925997424,7,28
4.21355547084069,314.9,9.020066914544321,1,28
4.423351422043269,315.11,8.802683959904455,-7,28
4.653127940026967,315.34,8.035714285714285,-16,28
4.822962757667137,315.51,6.327327755902347,-22,28
5.012778142088482,315.7,8.035714285714285,-26,30
5.222574093291061,315.91,13.494258983367855,-29,33
5.412389477712407,316.1,25.88947022183627,-24,36
5.652156279086693,316.34,35.502946126673336,-19,40
5.821991096726862,316.51,38.82173248665374,-19,43
6.0118064811482075,316.7,41.708376232588854,-19,42
6.211612148960142,316.9,45.28608044016012,-14,38
6.42140810016272,317.11,47.716176983475606,-11,31
6.651184618146418,317.34,50.23446302599645,-9,23
6.831009719177176,317.52,51.503851153806636,-5,18
7.020825103598522,317.71,52.21359560810317,2,13
7.220630771410512,317.91,52.669188026273375,8,7
7.4204364392224464,318.11,52.36178964957292,11,3
7.670193523987377,318.36,52.052575952255296,15,-4
7.820047774846314,318.51,51.08843997402535,16,-7
8.00986315926766,318.7,50.195885421668834,17,-12
8.229649393860827,318.92,48.66751263126446,16,-16
8.419464778282173,319.11,47.431139667986905,16,-19
8.669221863047103,319.36,45.61285482745192,15,-21
8.829066397296627,319.52,44.61088140572789,15,-22
9.018881781717973,319.71,42.929069108120615,15,-22
9.228677732920552,319.92,40.56245184896988,14,-22
9.40850283395131,320.1,38.302634853684594,13,-21
9.648269635325596,320.34,36.31218276759108,12,-19
9.818104452965764,320.51,34.413128205049055,11,-16
10.0179101207777,320.71,32.243147112437484,11,-14
10.227706071980277,320.92,30.216850195119374,10,-11
10.417521456401623,321.11,28.636922701937348,9,-7
10.667278541166555,321.36,26.868621692090066,6,-2
10.817132792025491,321.51,26.334594013136687,3,1
11.036919026618659,321.73,25.91439990524534,1,4
11.226734411040004,321.92,25.283784732673293,0,5
11.41654979546135,322.11,24.975434359157227,-1,8
11.646326313445048,322.34,25.436558236089233,-5,13
11.826151414475804,322.52,25.48727924006845,-8,17
12.01596679889715,322.71,25.839538699521736,-10,20
12.22576275009973,322.92,25.334811595341073,-13,21
12.415578134521075,323.11,25.91439990524534,-14,23
12.655344935895418,323.35,27.13169413307271,-17,26
12.825179753535531,323.52,28.883894071518366,-18,27
13.014995137956877,323.71,30.851282925727176,-19,27
13.224791089159455,323.92,32.83845547773624,-19,27
13.404616190190213,324.1,34.54422631104323,-17,25
13.664363558345732,324.36,37.48469075257693,-15,22
13.80422752581408,324.5,38.42046349676331,-15,20
14.014023477016602,324.71,40.11423420326363,-9,18
14.213829144828592,324.91,42.36887033506307,-7,16
14.423625096031115,325.12,42.83872372048448,-5,16
