report_t_s,t,IAS_kmh,pitch,roll
0.25330386743932765,279.38,49.54850360186141,5,-3
0.3831775515170875,279.51,49.522432301134074,5,-3
0.5929735027196662,279.72,50.131523444407144,4,-2
0.8027694539221882,279.93,50.298693282414085,5,-2
1.0125654051247102,280.14,50.452512275385835,4,-2
1.222361356327289,280.35,50.593102195812406,3,-1
1.4021864573579896,280.53,51.74151438858829,3,-1
1.592001841779392,280.72,53.62898693613294,3,-1
1.7918075095913257,280.92,55.661461908907256,3,2
1.9816228940126714,281.11,54.77269238984562,6,3
2.2113994119963696,281.34,38.31948969932046,9,3
2.4211953631989487,281.55,25.71428571428571,12,-2
2.591030180839118,281.72,33.9598070503641,9,1
2.7908358486510516,281.92,36.36549160387958,-7,6
2.9806512330723973,282.11,29.87297726053035,-6,9
3.250388884618505,282.38,15.581828113123914,-5,8
3.4002431354774414,282.53,11.420895859997056,-6,11
3.5900585198988435,282.72,19.04989755717273,-9,10
3.779873904320189,282.91,25.436558236089233,-14,14
3.989669855522711,283.12,27.72030264213269,-18,18
4.239426940287642,283.37,28.523956097087428,-18,20
4.389281191146579,283.52,28.74944542499729,-14,21
4.579096575567925,283.71,28.74944542499729,-7,23
4.778902243379915,283.91,29.349614519597687,-1,23
4.988698194582437,284.12,31.059880859069498,0,19
5.22846499595678,284.36,33.5388804986398,0,12
5.378319246815717,284.51,34.87907316569578,-1,9
5.598105481408884,284.73,37.94695377787798,-3,4
5.787920865830229,284.92,40.27488456259821,-3,-1
5.977736250251574,285.11,41.75479625389257,-1,-5
6.207512768235273,285.34,42.88392020612036,-1,-8
6.38733786926603,285.52,44.115998243499014,-3,-10
6.587143537078021,285.72,44.9569309201051,-4,-12
6.766968638108722,285.9,45.697716026077266,-6,-14
6.9767645893113,286.11,45.75420271763601,-8,-15
7.216531390685644,286.35,45.72596809432541,-10,-16
7.386366208325756,286.52,45.83880224020176,-9,-16
