report_t_s,t,IAS_kmh,pitch,roll
0.02879875719774128,559.06,53.19375802532795,-2,-4
0.23859510657596023,559.27,52.82832829465799,-1,-4
0.4184205489001804,559.45,52.718205429182326,-2,-2
0.6282168982782858,559.66,53.701182149797354,-1,-2
0.8280229453051717,559.86,54.02486672348017,-2,-1
1.0178386899806113,560.05,55.81207078131001,-1,-1
1.237625341710163,560.27,56.513413840234,-1,1
1.4274410863857163,560.46,57.21744573937896,-1,1
1.6172568310611557,560.65,57.37522508959448,-2,3
1.8270531804393746,560.86,57.16099042643165,-3,4
2.026859227466147,561.06,57.047912194174856,-3,3
2.256636181547032,561.29,57.104479299985286,-4,3
2.426471321519919,561.46,57.002618092397775,-4,2
2.6262773685466914,561.66,57.633496319060704,-3,1
2.8260834155735775,561.86,59.00644205577584,-3,1
3.015899160249017,562.05,58.9078697403576,-2,1
3.255666416681235,562.29,59.22490426935519,-1,0
3.425501556654122,562.46,59.92940681352025,1,-1
3.6352979060322275,562.67,60.1445166465993,1,-2
3.8251136507077805,562.86,60.97619454361192,2,-1
4.044900302437332,563.08,61.513904600372044,4,-3
4.254696651815438,563.29,59.691890665520795,4,-3
4.424531791788325,563.46,59.24670618589316,4,-3
4.6143475364637645,563.65,59.29028596831087,5,-3
4.814153583490651,563.85,58.45671475544961,7,-2
5.023949932868756,564.06,55.7773509827516,7,-3
5.25372688694964,564.29,52.681446652769246,13,-6
5.423562026922528,564.46,50.01546317012818,19,-8
5.613377771597968,564.65,43.27364577161655,25,1
5.823174120976186,564.86,31.142928817086585,23,7
6.022980168002959,565.06,21.88902611551538,20,16
6.252757122083843,565.29,14.102621336880196,14,28
6.462553471462063,565.5,10.72098005153009,9,31
6.602417704380837,565.64,9.232332824793259,5,31
6.812214053759056,565.85,8.57979502395373,0,33
7.022010403137162,566.06,17.787811838447134,-3,35
7.2517873572180465,566.29,27.65033121549416,-4,40
7.4316127995422665,566.47,30.19547286651847,-5,45
7.621428544217706,566.66,31.880626754267208,-5,50
7.831224893595925,566.87,34.073702754290665,-5,50
8.021040638271364,567.06,35.75667127706837,-5,50
8.260807894703582,567.3,39.855846753119714,-3,45
8.410662429973804,567.45,41.42876385423291,-5,41
8.620458779351909,567.66,43.895893769188916,-9,33
8.820264826378795,567.86,46.46838951900309,-10,26
9.030061175757014,568.07,47.199134428677034,-9,17
9.249847827486452,568.29,48.160684490694734,-5,8
9.41968296745934,568.46,49.78253089842923,-3,2
9.609498712134778,568.65,50.96188927191834,-1,-4
9.819295061512998,568.86,51.45367690794253,0,-9
10.009110806188437,569.05,51.328026715729216,0,-13
10.268858667323322,569.31,51.214677972197755,1,-18
10.418713202593542,569.46,50.01546317012818,1,-20
10.628509551971648,569.67,48.98491281684054,3,-22
10.828315598998534,569.87,47.60779256870986,6,-23
10.998150738971308,570.04,46.49617331193031,9,-23
11.247908297754858,570.29,43.09421039290261,12,-21
11.417743437727745,570.46,40.990020251325575,13,-20
11.617549484754518,570.66,38.63833482912206,13,-19
11.827345834132737,570.87,35.738607789541746,13,-17
12.027151881159623,571.07,34.431887066188736,12,-16
12.276909439943173,571.32,31.534419970203082,12,-12
12.426763975213282,571.47,29.63425004129856,11,-9
12.61657971988872,571.66,27.836530835928386,10,-4
12.816385766915607,571.86,26.892643710023858,10,-1
13.006201511591046,572.05,25.939305629307274,7,2
13.275939675077376,572.32,24.610809907146784,3,8
13.405813605644818,572.45,23.83778085137892,1,10
13.615609955022924,572.66,23.701951934602434,-3,12
13.805425699698477,572.85,24.58455836910807,-7,14
14.005231746725249,573.05,25.20705076289698,-9,15
14.2549893055088,573.3,26.08824066548774,-13,14
14.404843840779021,573.45,26.48130597849227,-14,13
14.614640190157127,573.66,27.72030264213269,-15,12
14.814446237184013,573.86,29.721281800028997,-16,11
15.004261981859452,574.05,31.840091929541167,-16,11
15.234038935940337,574.28,34.01680257083045,-14,10
15.39388377356189,574.44,34.61891661729324,-11,10
