report_t_s,t,IAS_kmh,pitch,roll,Glide_ratio_GNSS
0.07675050615398571,606.05,32.502452811680385,7,-4,3.7599808227263165
0.3165177625862035,606.29,34.730650904422994,5,-7,3.771112523150755
0.4863529025590907,606.46,36.09816017981176,3,-9,3.777126043717873
0.696149251937196,606.67,36.63087210013334,2,-9,3.7748130694273727
0.8659843919100833,606.84,35.882861081409814,1,-9,3.7589118895293705
1.0857710436395216,607.06,34.971517200517944,2,-9,3.731331527192683
1.3155479977204063,607.29,34.5629140193677,3,-8,3.692922804001712
1.4853831376932936,607.46,34.18721901350782,3,-7,3.6453352926843015
1.695179487071399,607.67,33.73086192077467,3,-5,3.5822659406923463
1.894985534098285,607.87,33.403837003114056,2,-4,3.5068670581195285
2.0848012787737247,608.06,32.9170164882815,1,-3,3.4257329307917495
2.3245685352059424,608.3,33.24882996253478,0,-1,3.3373170401806713
2.4844133728274964,608.46,33.171054815170116,0,0,3.2462301984763235
2.724180629259714,608.7,33.46177952194877,0,2,3.150183780783873
2.894015769232488,608.87,33.596590114875326,1,2,3.051600244628504
3.103812118610707,609.08,33.9598070503641,0,3,2.953963982994761
3.313608467988812,609.29,34.74923835606373,0,2,2.859183866586952
3.4834436079616995,609.46,35.79277090390728,0,2,2.770167205670338
3.693239957339805,609.67,37.79349433812272,-1,1,2.6856694060315998
3.883055702015358,609.86,38.26890289218425,-1,0,2.606546706930072
4.08286174904213,610.06,38.0828430355911,-1,0,2.53265658343227
4.312638703123016,610.29,37.55353321783261,0,1,2.4645905640414436
4.492464145447236,610.47,36.946812640412084,2,0,2.4048952381609934
4.6822798901226745,610.66,37.086366726046045,3,-2,2.352489852680772
4.892076239500894,610.87,37.329331015725856,4,-4,2.3067123160079843
5.081891984176333,611.06,37.19068863880543,3,-3,2.2667343675027785
5.311668938257218,611.29,33.67338242103797,2,0,2.23184094596932
5.481504078230105,611.46,32.223114089619784,2,2,2.2013167671775618
5.681310125256878,611.66,29.32760505679498,1,5,2.174569979000764
5.891106474635096,611.87,20.201472466033717,1,8,2.150119488462424
6.080922219310536,612.06,14.990430621035594,-1,10,2.1265685420125404
6.340670080445533,612.32,19.41918102899128,-3,12,2.1034193720370524
6.490524615715641,612.47,23.701951934602434,-4,14,2.080756998217564
6.680340360391081,612.66,32.0220945725967,-5,16,2.058116344151963
6.900127012120633,612.88,37.05152748235233,-7,18,2.0343105555377905
7.0899427567961855,613.07,38.15060615507963,-7,20,2.0089584659210966
7.339700315579736,613.32,39.16947087949481,-7,23,1.9815716088266786
7.489554850849844,613.47,39.54681899795662,-6,23,1.9524195057663536
7.689360897876616,613.67,40.13032817951927,-6,23,1.9220903943125514
7.87917664255217,613.86,40.70547367043766,-6,22,1.8924235069821769
8.088972991930389,614.07,41.08443117159926,-7,21,1.863601963559417
8.348720853065272,614.33,42.18558669130721,-7,18,1.83467818949658
8.478594783632714,614.46,43.24379157987978,-7,17,1.8058595862392868
8.668410528308154,614.65,44.17450755070099,-6,15,1.7789729389999072
8.878206877686372,614.86,44.9569309201051,-4,12,1.7530816768924486
9.068022622361811,615.05,44.61088140572789,-3,9,1.7280337845050853
9.30778987879403,615.29,43.77805223103076,-1,6,1.7047909518872948
9.477625018766917,615.46,43.55624003421745,0,4,1.68229875176653
9.687421368145023,615.67,43.19897160765732,2,1,1.6622655372272828
9.877237112820575,615.86,42.73307935813392,3,-2,1.6443266959522813
10.067052857496014,616.05,42.68772316701458,4,-5,1.6289850030306776
10.306820113928232,616.29,40.926958644364845,4,-7,1.6165231590917637
10.47665525390112,616.46,38.671744549872734,4,-9,1.6061919412707877
10.686451603279226,616.67,37.034095570080794,4,-11,1.5989140658954069
10.876267347954778,616.86,37.22539764182294,5,-13,1.5944702735375071
11.086063697332998,617.07,36.45416642854421,5,-16,1.591922563292205
11.345811558467881,617.33,36.84180017040316,5,-18,1.5912876799480034
11.495666093737988,617.48,36.71890604612956,4,-20,1.5917594009744653
11.69547214076476,617.68,37.41572162193047,3,-22,1.593276188707224
11.90526849014298,617.89,36.91184167882238,2,-25,1.5966658503911513
12.075103630115754,618.06,36.63087210013334,0,-27,1.6013069401846058
12.33485149125075,618.32,37.48469075257693,-2,-29,1.6081660090781547
12.494696328872191,618.48,37.84471662637484,-2,-31,1.6163924988624283
12.684512073547632,618.67,37.67370483127835,-4,-32,1.626374942205265
12.874327818223184,618.86,36.54262607432809,-4,-33,1.6388725954210703
13.064143562898623,619.05,36.82426897732371,-5,-34,1.6540161327566232
13.333881726384954,619.32,38.201349612872285,-6,-34,1.6722680463226747
13.473745959303729,619.46,39.10347340905998,-6,-34,1.6932938282138876
13.683542308681833,619.67,40.049793624783575,-6,-34,1.7163989956462933
13.873358053357387,619.86,41.41317447875933,-6,-34,1.743242040744069
14.063173798032826,620.05,43.45234018262927,-6,-35,1.772402071098549
14.302941054465045,620.29,44.58192270004349,-7,-35,1.8046451413675706
14.482766496789264,620.47,44.98564822160916,-7,-36,1.8399889039095607
14.672582241464704,620.66,45.683583439988226,-5,-36,1.8775705299285754
14.892368893194256,620.88,45.74008758457834,-3,-36,1.9177711031737745
15.082184637869808,621.07,45.866967405526076,-2,-38,1.9604745599461209
15.31196159195058,621.3,45.45686450484948,-1,-39,2.00591001112998
15.471806429572135,621.46,45.15756852287288,-1,-39,2.0540511438679534
15.68160277895024,621.67,45.44265701442436,0,-39,2.1045211038347666
15.881408825977125,621.87,45.55619287411617,0,-38,2.1568695420157624
16.071224570652564,622.06,45.35731861608241,0,-37,2.2108254888619085
16.35095303649023,622.34,45.12896062103241,1,-35,2.2662145473848265
16.48082696705767,622.47,44.596404403430164,2,-34,2.322243270655281
16.67064271173311,622.66,43.13913920829497,3,-32,2.3790700352545215
16.88043906111133,622.87,43.61550025214543,4,-29,2.4358125616973947
17.070254805786767,623.06,44.04275230514375,6,-27,2.491263212749451
17.320012364570317,623.31,44.40777389886889,7,-24,2.545619525262303
17.46986689984054,623.46,44.057411234591136,8,-23,2.5975245433291314
17.68965355156998,623.68,44.08671447110957,8,-21,2.647263474302487
17.87946929624553,623.87,44.057411234591136,7,-20,2.6948755782365796
18.06928504092097,624.06,43.61550025214543,5,-19,2.740646495532998
18.329032902055967,624.32,42.29259867945246,5,-17,2.7850919617746204
18.45890683262341,624.45,42.06295391240057,4,-16,2.826889911948956
18.65871287965018,624.65,41.58433617729303,4,-14,2.867525244003245
18.8685092290284,624.86,40.990020251325575,4,-10,2.906075547551153
19.068315276055174,625.06,40.626079263528865,4,-8,2.9428847781656247
19.29809223013606,625.29,39.10347340905998,4,-6,2.977068447540195
19.44794676540628,625.44,38.82173248665374,4,-4,3.0098534496397162
19.687714021838385,625.68,37.67370483127835,4,-3,3.0395013072017774
19.85754916181127,625.85,37.60508236113511,3,-1,3.0649870268057846
20.067345511189377,626.06,38.671744549872734,3,-1,3.0863352480119772
20.307112767621593,626.3,39.595773197426524,1,-1,3.1034771776732604
20.456967302891815,626.45,39.70976496623304,1,-2,3.1156690012215993
20.66676365226992,626.66,39.268259109226975,0,-3,3.1241913472532246
20.856579396945474,626.85,39.3995914461362,1,-4,3.127914071684883
21.06637574632358,627.06,39.415977219955884,0,-5,3.1291309042041506
21.31613330510713,627.31,39.366799437586785,0,-6,3.1267168048857026
21.465987840377352,627.46,39.383198854852004,-1,-7,3.1213386953586033
21.65580358505279,627.65,39.448728349179355,-2,-8,3.1145278803375747
21.845619329728343,627.84,38.93799034152552,-2,-9,3.1062868793156215
22.085386586160563,628.08,38.437266674254495,-2,-10,3.0951726496187852
22.30517323789,628.3,39.350393185806304,-1,-11,3.0823593297682153
22.47500837786289,628.47,40.56245184896988,-1,-11,3.0689022416919665
22.664824122538327,628.66,41.6308945081777,-1,-12,3.053370823088758
22.85463986721388,628.85,42.21618922466903,-1,-13,3.0372419199225535
23.064436216591986,629.06,41.95535619280697,-1,-12,3.020699014967378
23.324184077726983,629.32,42.124314928118004,-1,-11,3.005473679765526
23.47403861299709,629.47,41.816609457614,0,-10,2.990789465426172
23.66385435767253,629.66,41.22564215908069,1,-10,2.978931177468618
23.853670102348083,629.85,41.05298498928686,1,-10,2.9683713749243297
24.073456754077636,630.07,42.536186575283715,0,-9,2.961053769334943
24.303233708158405,630.3,43.16906577395344,0,-8,2.955162239374746
24.453088243428628,630.45,43.16906577395344,0,-7,2.952630627363122
24.662884592806734,630.66,42.56653705119331,1,-6,2.9515379900419703
24.852700337482286,630.85,40.386959592200554,3,-6,2.9516006791897986
25.05250638450906,631.05,38.62161913081473,4,-9,2.954532723590178
25.30226394329261,631.3,37.77640480781729,5,-14,2.9574294180103
25.45211847856283,631.45,36.964285714285715,7,-19,2.9627740427727427
25.661914827940937,631.66,37.707969235660926,3,-27,2.9669589984156013
25.861720874967823,631.86,37.312028891498244,-4,-33,2.9707292238221568
26.071517224346042,632.07,35.97272563757045,-9,-36,2.9724802994935096
26.311284480778145,632.31,35.82883415829849,-12,-37,2.974331525990516
26.461139016048367,632.46,36.82426897732371,-12,-37,2.974267576575009
26.650954760723806,632.65,38.11673965381529,-13,-33,2.9750742336787206
26.84077050539936,632.84,38.554683865377285,-13,-32,2.9782129302185436
27.060557157128798,633.06,41.22564215908069,-12,-32,2.9842372516980546
27.280343808858348,633.28,45.32883678054788,-8,-32,2.993064252989566
27.440188646479903,633.44,46.731668620335135,-4,-31,3.0077730178152957
27.659975298209343,633.66,47.7432346420059,0,-26,3.0273209827832446
