report_t_s,t,IAS_kmh,pitch,roll,Glide_ratio_GNSS
0.17679400000002943,485.81,29.03996410648819,0,0,6.483694978509092
0.43679400000002033,486.07,28.614365059443518,0,0,6.1933715001277365
0.5867940000000544,486.22,28.591789619984777,-2,0,5.938233499005502
0.7767940000000522,486.41,28.546585181247227,-1,0,5.729095013003444
0.9967940000000226,486.63,28.614365059443518,-2,0,5.572795478991846
1.1867940000000203,486.82,28.569196341371534,-2,0,5.456700713542528
1.4267940000000294,487.06,28.928571428571427,-3,0,5.370879468425949
1.5767940000000067,487.21,29.349614519597687,-2,0,5.333325910278658
1.786794000000043,487.42,29.63425004129856,-1,0,5.325125564295936
1.9867940000000317,487.62,29.87297726053035,-4,1,5.346975691411371
2.1767940000000294,487.81,29.91617753944224,-3,0,5.40044200377899
2.4167940000000385,488.05,30.28089163084838,-2,0,5.4881486836502456
2.5767940000000067,488.21,30.620183919521224,-1,-1,5.629130884950246
2.786794000000043,488.42,30.76744776280175,-2,0,5.80351031065135
2.9867940000000317,488.62,30.641264943649745,-2,-1,6.010380059575386
3.1767940000000294,488.81,30.809393859665597,0,0,6.2753863466560516
3.4367940000000203,489.07,30.914010099114662,-1,0,6.61859792621868
3.5867940000000544,489.22,30.788427954645027,0,0,7.043936012873896
3.786794000000043,489.42,30.577978270350716,1,1,7.585789399710237
3.9967940000000226,489.63,30.344797910088005,1,1,8.28073135888517
4.18679400000002,489.82,30.514560341862087,1,1,9.189548032744774
4.426794000000029,490.06,30.76744776280175,1,1,10.38246178955137
4.586794000000054,490.22,31.059880859069498,1,1,12.011536953576154
4.786794000000043,490.42,31.142928817086585,2,0,14.285221719178574
4.996794000000023,490.63,31.0390841504378,2,0,17.75105300767318
5.18679400000002,490.82,30.76744776280175,4,-1,23.231960972340772
5.446794000000011,491.08,30.323510781610512,4,-1,
5.576794000000007,491.21,29.937754302102572,4,-1,
5.796794000000034,491.43,29.15093112945598,5,-2,
5.996794000000023,491.63,28.34227299945278,5,-3,
6.18679400000002,491.82,27.297783886279866,6,-4,
6.426794000000029,492.06,25.964187462969928,6,-4,
6.596794000000045,492.23,24.845825625654065,6,-4,
6.796794000000034,492.43,23.42793172036058,7,-4,
6.986794000000032,492.62,21.9773480322493,7,-4,
7.18679400000002,492.82,20.737748411620615,6,-4,
7.43679400000002,493.07,19.45240463074854,6,-3,
7.596794000000045,493.23,18.604023593770005,6,-3,10.284697021042199
7.786794000000043,493.42,18.040133829088642,5,-3,7.1967588829280045
7.976794000000041,493.61,17.53185875566454,3,-2,5.378746513855594
8.18679400000002,493.82,17.23468708087008,2,-1,4.21905377189854
8.42679400000003,494.06,17.19717955636556,0,0,3.4592677863956434
8.596794000000045,494.23,17.008401285415225,-1,0,2.940967845536513
8.786794000000043,494.42,17.15959004790746,-3,1,2.5894939217830024
8.986794000000032,494.62,17.53185875566454,-4,2,2.347567730473354
9.17679400000003,494.81,18.111580183261037,-6,2,2.182859268733435
9.416794000000039,495.05,19.35256271591619,-8,2,2.0875004501721572
9.586794000000054,495.22,20.201472466033717,-8,3,2.0313224743914984
9.796794000000034,495.43,21.62189578993989,-8,2,2.0144268889400365
9.986794000000032,495.62,22.5,-9,2,2.020737588226182
10.18679400000002,495.82,23.15066832464132,-9,1,2.050627911986572
10.416794000000039,496.05,23.756376694973273,-8,1,2.093082960227836
10.596794000000045,496.23,24.187366516005657,-8,0,2.1481545866989897
10.786794000000043,496.42,24.845825625654065,-7,-1,2.2072751629938367
10.97679400000004,496.61,25.38573589113961,-5,-1,2.2664975892594645
11.18679400000002,496.82,25.839538699521736,-4,-2,2.317784234859924
11.406794000000048,497.04,25.964187462969928,-3,-2,2.3464692409093355
11.586794000000054,497.22,26.13769709028845,-2,-3,2.3534368576341276
11.776794000000052,497.41,26.08824066548774,-1,-3,2.322067077258459
11.986794000000032,497.62,25.814536721050192,0,-3,2.2648005662627773
12.17679400000003,497.81,25.739385071861193,1,-3,2.1749822871817632
12.406794000000048,498.04,25.38573589113961,2,-3,2.0599727933975704
12.586794000000054,498.22,24.923671745256677,4,-3,1.935461114200852
12.776794000000052,498.41,24.37352821302284,3,-4,1.8025633446505378
12.996794000000023,498.63,23.620079662552076,4,-4,1.6628504919637876
13.18679400000002,498.82,21.321159366570427,10,-2,1.534504888934404
13.416794000000039,499.05,17.084162913323542,5,1,1.4284940732844589
13.586794000000054,499.22,16.970393637275528,5,3,1.3426438549821318
13.796794000000034,499.43,19.78157189746795,7,5,1.2922419808295826
13.996794000000023,499.63,20.644123787140387,2,5,1.2662676388518737
14.196794000000011,499.83,21.16918908051347,0,6,1.2677016916207065
14.406794000000048,500.04,22.269224668742705,1,6,1.3000812783122584
14.586794000000054,500.22,24.426456675381424,-7,6,1.350501544367507
14.776794000000052,500.41,26.79642642942814,-16,6,1.4339384020631178
14.996794000000023,500.63,28.36504702723305,-18,6,1.5554728933523059
15.18679400000002,500.82,30.08835840029312,-18,8,1.7108048866835013
15.43679400000002,501.07,32.0220945725967,-16,3,1.9069529256675555
15.586794000000054,501.22,31.677433946400573,-15,3,2.153083132558085
15.776794000000052,501.41,35.39364998391199,-11,3,2.4803224604413656
15.97679400000004,501.61,38.70512543183238,-9,1,2.9493371709277527
16.19679400000001,501.83,41.49106278243938,-2,1,3.6559703424767833
