report_t_s,t,IAS_kmh,pitch,roll,Glide_ratio_GNSS
0.15366800000003877,436.23,20.137442281299105,-12,2,6.122749770340643
0.3436680000000365,436.42,21.62189578993989,-15,0,4.5974188802257245
0.5336680000000342,436.61,22.70000393329104,-20,0,3.899178494127569
0.7436680000000138,436.82,23.6746926364118,-23,-1,3.557163823103765
0.9836680000000229,437.06,25.664013357864608,-24,-1,3.410072104018644
1.1436680000000479,437.22,27.06020074363297,-24,-2,3.3881113720046967
1.3336680000000456,437.41,28.591789619984777,-23,-3,3.467878902738886
1.553668000000016,437.63,29.91617753944224,-19,-3,3.6420021519925925
1.7436680000000138,437.82,31.08066365220061,-16,-3,3.9099966994902533
1.9836680000000229,438.06,31.37017708276575,-10,-3,4.278432882537809
2.143668000000048,438.22,31.26708716519526,-6,-2,4.764688293305369
2.3336680000000456,438.41,31.018273498315896,-1,-2,5.370033495080062
2.553668000000016,438.63,30.216850195119374,4,0,6.095893350321001
2.7436680000000138,438.82,29.39358400420481,4,1,6.920486949539093
2.983668000000023,439.06,28.45596087261285,6,2,7.885812495917162
3.133668,439.21,28.36504702723305,8,2,8.982314563376187
3.3636680000000183,439.44,28.883894071518366,8,2,10.188364881994953
3.553668000000016,439.63,29.50322102788792,8,3,11.49426543239414
3.7536680000000047,439.83,30.23821241072161,8,3,12.894836547343749
4.003668000000005,440.08,31.184369858462553,7,2,14.408959867784922
4.133668,440.21,31.24642836732361,8,2,16.077910701814478
4.353668000000027,440.43,31.431868739369914,8,2,18.190867490074083
4.543668000000025,440.62,31.22575590170161,6,2,20.967165375419057
4.743668000000014,440.82,30.893115192976744,6,2,25.113874720351255
5.003668000000005,441.08,30.302208699050578,4,2,
5.143668000000048,441.22,29.95931552513665,3,2,
5.333668000000046,441.41,29.128771543486916,3,2,
5.553668000000016,441.63,27.92916513800802,3,2,
5.743668000000014,441.82,26.91664428928536,3,2,
5.983668000000023,442.06,25.537899506899343,5,2,
6.133668,442.21,24.58455836910807,6,2,
6.353668000000027,442.43,23.206386018525507,6,1,
6.543668000000025,442.62,21.88902611551538,7,1,
6.753668000000005,442.83,20.737748411620615,8,1,
6.993668000000014,443.07,19.716178092404938,7,0,18.276359937636474
7.143668000000048,443.22,19.35256271591619,7,0,12.541588650555541
7.353668000000027,443.43,18.776766608916304,5,-1,9.100591595451323
7.553668000000016,443.63,18.39459076434578,4,-1,6.9878482451615245
7.743668000000014,443.82,17.93243057498148,3,-1,5.577734785677293
7.973668000000032,444.05,17.96840339062331,1,-2,4.65573402687453
8.153668000000039,444.23,18.28897501619096,0,-2,4.028361749112553
8.343668000000036,444.42,18.499603553391438,-2,-3,3.58909818295714
8.553668000000016,444.63,19.285714285714285,-5,-3,3.304134622790979
8.743668000000014,444.82,20.137442281299105,-6,-2,3.112384460509095
8.973668000000032,445.05,20.644123787140387,-8,-2,2.992284635871578
9.143668000000048,445.22,21.5920106398035,-7,-2,2.9284576705329943
9.343668000000036,445.42,22.32714212590147,-8,-3,2.911119525397105
9.533668000000034,445.61,23.261970256280566,-9,-2,2.9263416298922054
9.743668000000014,445.82,23.972840180640475,-7,-2,2.9750790169029906
9.983668000000023,446.06,24.871801404442756,-7,-1,3.0389033569848505
10.143668000000048,446.22,25.334811595341073,-6,-1,3.118778183170581
10.353668000000027,446.43,25.964187462969928,-5,-1,3.210932731786186
10.543668000000025,446.62,26.285508054315198,-4,0,3.29452569834866
10.743668000000014,446.82,26.48130597849227,-2,0,3.368351579694184
10.973668000000032,447.05,26.285508054315198,0,0,3.420765423428648
11.153668000000039,447.23,26.187060112714803,0,0,3.431274698981814
11.353668000000027,447.43,25.91439990524534,0,0,3.395276022199636
11.543668000000025,447.62,25.68916183362715,1,1,3.3145555117904517
11.743668000000014,447.82,25.15576474687263,2,0,3.1889587820353724
11.983668000000023,448.06,24.76773483335749,1,0,3.019273580867552
12.153668000000039,448.23,24.53197101826138,6,-1,2.8189005840951205
12.353668000000027,448.43,24.107142857142858,8,-2,2.601487846923257
12.543668000000025,448.62,24.107142857142858,0,-2,2.370188074717899
12.743668000000014,448.82,23.37274216968587,4,-1,2.1440188553677992
12.963668000000041,449.04,22.95459137745916,4,0,1.9319738405132176
13.143668000000048,449.22,22.298202201715082,1,-2,1.7363940746354203
13.353668000000027,449.43,21.62189578993989,3,-1,1.560988939448421
13.543668000000025,449.62,19.944118359628163,4,0,1.3993327685897639
13.733668000000023,449.81,18.111580183261037,2,1,1.2540519285848892
13.973668000000032,450.05,16.85585648844886,1,2,1.127255862028523
14.143668000000048,450.22,15.869264189569956,-5,3,1.0135931125518598
14.333668000000046,450.41,14.641768252196195,-3,4,0.9100893913877075
14.543668000000025,450.62,10.538740485485357,-2,6,0.8219956098511559
14.753668000000005,450.83,8.504200642707612,1,4,0.7448339324647028
14.983668000000023,451.06,7.00537330211894,3,3,0.6725946467681263
15.153668000000039,451.23,6.119817674354926,1,4,0.6080222495045363
15.343668000000036,451.42,6.428571428571428,-1,2,0.5501700297318801
15.553668000000016,451.63,5.905019915638019,-1,3,0.5012767673348836
15.743668000000014,451.82,5.450086593582804,-5,6,0.4596350733257913
15.983668000000023,452.06,5.0822319538420375,1,4,0.42597103817178267
16.143668000000048,452.22,4.953546966671499,-1,0,0.3997849598578642
16.343668000000036,452.42,3.936679943758678,2,1,0.38253939197108305
16.553668000000016,452.63,5.330289841642607,0,1,0.36958528561415815
16.743668000000014,452.82,4.545686450484948,-3,2,0.3643548144410922
17.033668000000034,453.11,5.0822319538420375,-4,3,0.3713717780300291
17.143668000000048,453.22,5.794635978424268,0,4,0.38611004288553913
17.333668000000046,453.41,6.013377943029548,-4,7,0.41193293918067503
17.543668000000025,453.62,6.818529675727421,0,6,0.449170529090013
