report_t_s,t,IAS_kmh,pitch,roll,Glide_ratio_GNSS
0.127215000000092,694.83,48.56125155987255,-13,0,2.089120841777892
0.3672150000001011,695.07,49.457193921736454,-7,0,2.3178228138265227
0.5272150000000693,695.23,50.02837205230728,-5,1,2.5988831663366323
0.7172150000000101,695.42,51.13897256795566,-2,2,2.9403994322324185
0.9372150000000374,695.64,51.77894044367254,3,2,3.3643469498328322
1.127215000000092,695.83,52.151723805818406,5,2,3.901377396772523
1.367215000000101,696.07,52.852768882731475,5,3,4.606766264037926
1.5172150000000784,696.22,53.25441919001,7,4,5.569055300529672
1.727215000000001,696.43,52.76717729801357,10,4,6.997683580302235
1.9272150000000465,696.63,52.21359560810317,13,4,9.38569994550525
2.127215000000092,696.83,51.5539765682532,27,4,14.108511566803694
2.377215000000092,697.08,51.20206817809497,49,5,28.698984324571686
2.5272150000000693,697.23,50.41410152579396,31,4,
2.727215000000001,697.43,49.43107446180974,23,2,
2.9172150000000556,697.62,47.864804823756735,24,0,
3.117215000000101,697.82,45.61285482745192,24,-2,
3.3572149999999965,698.06,43.36308502467442,26,-3,
3.5272150000000693,698.23,41.36637110217991,25,-4,
3.71721500000001,698.42,38.403652967191675,25,-4,
3.9172150000000556,698.62,35.39364998391199,24,-4,
4.1072149999999965,698.81,32.42288732437288,23,-3,
4.367215000000101,699.07,28.501309046198887,22,-2,
4.517215000000078,699.22,26.334594013136687,21,-1,
4.71721500000001,699.42,24.026651337416872,22,-1,
4.9272150000000465,699.63,21.381645046580466,18,-1,
5.117215000000101,699.82,19.252203027928296,15,0,
5.377215000000092,700.08,17.787811838447134,11,1,
5.527215000000069,700.23,17.272113155521616,9,1,
5.71721500000001,700.42,16.85585648844886,4,2,9.718795514118739
5.9272150000000465,700.63,17.383907935272806,-3,2,5.567072001440952
6.127215000000092,700.83,18.429661512610256,-5,2,4.011238364397264
6.387215000000083,701.09,20.008767211053318,-13,3,3.249653276140419
6.53721500000006,701.24,20.79993070533983,-18,4,2.8288384884883193
6.727215000000001,701.43,21.77070618880296,-19,3,2.596846980313704
6.937215000000037,701.64,23.122759130257755,-21,3,2.4819251965090383
7.117215000000101,701.82,24.71553723090487,-23,3,2.444144432742089
7.397215000000074,702.1,27.368656659524575,-22,2,2.4719671412254893
7.547215000000051,702.25,28.410540315530927,-18,2,2.5420885997328564
7.7472150000000966,702.45,29.937754302102572,-15,2,2.667319704341022
7.937215000000037,702.64,31.163656226247827,-10,2,2.843027075639336
8.117215000000101,702.82,31.81980515339464,-9,2,3.079145660079319
8.377215000000092,703.08,32.16294015459027,0,2,3.384518138009974
8.53721500000006,703.24,32.502452811680385,0,2,3.780171400536202
8.727215000000001,703.43,33.151582518326144,3,2,4.293083187680923
8.927215000000047,703.63,33.3651527550429,2,1,4.955098752494161
9.127215000000092,703.83,33.519621880629984,8,0,5.826168130317989
9.377215000000092,704.08,33.112603571844396,10,0,6.991307909912371
9.53721500000006,704.24,32.83845547773624,10,0,8.637719419615841
9.71721500000001,704.42,32.203068604575876,10,0,10.980587919899497
9.917215000000056,704.62,31.513936421455032,10,0,14.53581985384218
