report_t_s,t,IAS_kmh,pitch,roll,Glide_ratio_GNSS
0.055756000000087624,672.84,47.70264239889374,2,-3,7.265699830146525
0.2857560000001058,673.07,47.79730400773838,1,-4,7.4911423811691344
0.4557560000000649,673.24,47.93221058145023,2,-4,7.726589359001277
0.6357560000000149,673.42,47.89177851134359,1,-4,7.962278266527356
0.8457560000000512,673.63,47.29480383073551,2,-5,8.214132425902568
1.0557560000000876,673.84,46.910955597834935,1,-6,8.452631862566067
1.3057560000000876,674.09,46.57942525560891,2,-6,8.65417570060544
1.435756000000083,674.22,46.731668620335135,2,-6,8.822790452658692
1.6357560000000149,674.42,46.70402492160125,1,-7,8.938694451032115
1.8357560000000603,674.62,45.72596809432541,2,-7,8.982921768368943
2.035756000000106,674.82,45.243283693690444,1,-8,8.948977730974459
2.285756000000106,675.07,44.61088140572789,2,-9,8.855098427498595
2.445756000000074,675.23,44.3350100061441,2,-9,8.659624672506094
2.6457560000000058,675.43,44.32044289222824,2,-10,8.439457630392466
2.8357560000000603,675.62,44.39323066157078,1,-10,8.165670285556102
3.035756000000106,675.82,44.65428425180294,0,-10,7.882362590476732
3.2957560000000967,676.08,45.171865679641705,0,-10,7.587133377477189
3.445756000000074,676.23,45.343079934640336,0,-10,7.311216134120196
3.6457560000000058,676.43,45.74008758457834,-1,-10,7.045869645745497
3.8357560000000603,676.62,45.76831349752974,-1,-10,6.814861225673531
4.045756000000097,676.83,46.13367887488068,-2,-10,6.61348758510247
4.255756000000019,677.04,45.95135932123649,-3,-9,6.435463623035943
4.435756000000083,677.22,45.59869593999999,-2,-9,6.311419206916734
4.635756000000015,677.42,45.513650116627375,-3,-9,6.191608145476445
4.83575600000006,677.62,45.82471316587473,-4,-8,6.100820297448679
5.025756000000001,677.81,46.07765738624394,-4,-8,6.022526265048487
5.285756000000106,678.07,46.4822834913629,-3,-7,5.965854768950704
5.435756000000083,678.22,46.38493828819867,-2,-7,5.921421062898522
5.635756000000015,678.42,46.231553133136686,-2,-6,5.89592960019507
5.83575600000006,678.62,46.37101514867199,-3,-6,5.876302303602915
6.035756000000106,678.82,46.45449139112561,-2,-5,5.862843590780219
6.285756000000106,679.07,46.95223229354424,-1,-4,5.862873478719629
6.445756000000074,679.23,47.458359836464496,-1,-4,5.8626211946823314
6.65575600000011,679.44,47.40390386920487,-2,-3,5.889088976292328
6.855756000000042,679.64,47.52634205128257,-1,-2,5.916514683315484
7.035756000000106,679.82,47.79730400773838,-1,-2,5.958113747718113
7.295756000000097,680.08,47.56708474376381,0,-2,6.003896598107256
7.445756000000074,680.23,46.9384774280686,0,-2,6.054516595884166
7.645756000000006,680.43,46.86964255098541,-1,-2,6.103652005407517
7.845756000000051,680.63,47.59422716237415,-2,-1,6.166775107862637
8.035756000000106,680.82,48.039863070970036,2,-1,6.241012697795214
8.275756000000001,681.06,48.74705642604568,1,-1,6.3251268653887145
8.455756000000065,681.24,49.1165575390804,0,0,6.406243507075352
8.645756000000006,681.43,49.7306200074615,1,0,6.47452767834034
8.845756000000051,681.63,49.41800955489148,-1,1,6.561665686049527
9.035756000000106,681.82,49.16911673821614,-1,1,6.654132696628741
9.295756000000097,682.08,49.182247761747924,1,2,6.76463976459781
9.435756000000083,682.22,49.83438771550817,0,2,6.871980289332971
9.645756000000006,682.43,50.01546317012818,-1,2,6.986280967117385
9.83575600000006,682.62,50.337192096533,2,2,7.083368134220115
10.045756000000097,682.83,50.7841884942588,2,2,7.163429467108079
10.285756000000106,683.07,51.74151438858829,1,2,7.220910133267783
10.435756000000083,683.22,51.87861125861455,0,3,7.262738788
10.635756000000015,683.42,51.67907739904347,0,3,7.304952772028107
