report_t_s,t,IAS_kmh,pitch,roll
0.22262700000010227,561.7,50.631377149360816,-3,-2
0.38262700000007044,561.86,50.746028798079465,-2,-2
0.5926270000001068,562.07,51.01254722604818,-3,-2
0.7826270000000477,562.26,50.98722454033491,-1,-2
0.9826270000000932,562.46,50.809612369941114,-2,-2
1.2226270000001023,562.7,50.465309361774366,1,-1
1.3926270000000613,562.87,50.31152949374526,1,-2
1.5926270000001068,563.07,49.9120719212235,2,-1
1.7826270000000477,563.26,49.976716517569976,2,-1
1.9826270000000932,563.46,49.9120719212235,3,-1
2.242627000000084,563.72,49.62663532492878,3,-1
2.3926270000000613,563.87,49.62663532492878,4,-1
2.5826270000000022,564.06,49.522432301134074,3,-1
2.7826270000000477,564.26,50.002550955334435,3,-1
2.9726270000001023,564.45,50.298693282414085,3,-1
3.192627000000016,564.67,50.52924617870085,3,-1
3.3726270000000795,564.85,50.73330252106478,3,0
3.5826270000000022,565.06,50.20874791654278,1,0
3.7826270000000477,565.26,49.63964532261589,1,0
3.9726270000001023,565.45,49.274066946715365,0,0
4.202627000000007,565.68,49.58758485174057,0,0
4.38262700000007,565.86,49.989635405343606,-1,0
4.582627000000002,566.06,50.20874791654278,-1,0
4.772627000000057,566.25,50.11864113057646,-1,0
4.972627000000102,566.45,50.26016497857393,-1,0
5.202627000000007,566.68,50.18301962998713,-1,0
5.3726270000000795,566.85,50.452512275385835,-2,0
5.592627000000107,567.07,51.13897256795566,-2,0
5.782627000000048,567.26,51.403453687669746,-2,0
5.982627000000093,567.46,51.5539765682532,0,0
6.222627000000102,567.7,51.42857142857142,-1,-1
6.3726270000000795,567.85,51.3908902135269,-1,-1
6.572627000000011,568.05,51.16422014913731,-1,-1
6.782627000000048,568.26,50.70784038519696,1,-1
6.982627000000093,568.46,50.31152949374526,1,-1
7.242627000000084,568.72,49.49634726782515,2,-1
7.38262700000007,568.86,48.82647063523921,3,-1
7.572627000000011,569.05,47.7432346420059,5,-1
7.782627000000048,569.26,46.49617331193031,7,-1
7.982627000000093,569.46,45.15756852287288,8,-1
8.212627000000111,569.69,43.019224760327695,10,0
8.38262700000007,569.86,41.72385531133019,12,0
8.572627000000011,570.05,39.920600405488564,12,0
8.782627000000048,570.26,37.89586967963013,14,1
8.982627000000093,570.46,35.648153056315984,14,1
9.222627000000102,570.7,32.975814421097986,15,1
9.37262700000008,570.85,31.24642836732361,15,1
9.572627000000011,571.05,29.217309047192956,15,2
9.792627000000039,571.27,27.084052842352577,14,2
9.982627000000093,571.46,25.232654680887183,12,2
10.222627000000102,571.7,23.482991565325374,11,2
10.38262700000007,571.86,22.64304022008006,9,2
10.572627000000011,572.05,22.006709899761134,7,1
10.792627000000039,572.27,21.711304424099403,3,1
10.982627000000093,572.46,21.8299463151527,0,0
11.212627000000111,572.69,22.52868069997958,-4,-1
11.38262700000007,572.86,23.345098467322423,-7,-1
11.572627000000011,573.05,24.58455836910807,-10,-1
11.772627000000057,573.25,26.211706762982285,-14,-2
11.962627000000111,573.44,27.906035390655006,-16,-2
12.222627000000102,573.7,30.472208398701227,-19,-2
12.402627000000052,573.88,32.16294015459027,-19,-2
12.572627000000011,574.05,33.940787274551056,-18,-2
12.792627000000039,574.27,36.044455969295036,-18,-2
12.962627000000111,574.44,37.570724124303084,-16,-2
13.222627000000102,574.7,39.514149170820794,-12,-2
13.37262700000008,574.85,40.06591348602185,-11,-2
13.582627000000002,575.06,40.73718810740328,-7,-2
13.782627000000048,575.26,41.20997594450812,-4,-2
13.972627000000102,575.45,41.25695674176461,0,-2
14.212627000000111,575.69,41.06871109022347,3,-2
14.37262700000008,575.85,40.847994730089106,5,-2
14.582627000000002,576.06,40.033667272760844,7,-2
14.782627000000048,576.26,39.25181167013511,10,-2
14.972627000000102,576.45,38.47085101152586,11,-1
15.212627000000111,576.69,37.19068863880543,12,-1
15.37262700000008,576.85,36.54262607432809,12,0
15.592627000000107,577.07,35.702453397090636,11,1
15.782627000000048,577.26,35.026866510594694,10,2
15.982627000000093,577.46,34.39435911273112,8,2
16.222627000000102,577.7,33.132098777284774,4,3
16.37262700000008,577.85,32.46269444473524,2,4
16.592627000000107,578.07,32.66100230287753,-2,4
16.782627000000048,578.26,33.86460134845523,-5,4
16.972627000000102,578.45,35.302311380071274,-6,4
17.21262700000011,578.69,37.58790716847803,-8,3
17.36262700000009,578.84,39.08695662969206,-11,2
17.582627000000002,579.06,40.29091436803395,-13,2
17.782627000000048,579.26,40.80054302609819,-11,1
17.972627000000102,579.45,41.692891407019864,-13,1
18.21262700000011,579.69,42.86886000540795,-13,1
18.37262700000008,579.85,43.851740302421526,-10,0
18.582627000000002,580.06,44.596404403430164,-12,0
18.772627000000057,580.25,45.343079934640336,-10,0
18.972627000000102,580.45,45.96540957666994,-7,0
19.232627000000093,580.71,46.92471853068139,-4,-1
19.38262700000007,580.86,47.62135411080767,-3,-1
19.592627000000107,581.07,48.09359895250179,0,-1
19.782627000000048,581.26,48.30794474525079,2,-1
19.982627000000093,581.46,48.38807962711478,4,-1
20.232627000000093,581.71,48.08017061245154,11,0
20.37262700000008,581.85,47.36302080522227,19,-1
20.592627000000107,582.07,46.035596530936616,9,3
20.782627000000048,582.26,44.827475403154345,15,3
20.982627000000093,582.46,44.480418759958006,18,0
21.222627000000102,582.7,43.13913920829497,22,-3
21.37262700000008,582.85,41.92456326668223,23,-4
21.582627000000002,583.06,39.98524919343662,21,-6
21.782627000000048,583.26,37.43297581773894,19,-7
21.972627000000102,583.45,34.74923835606373,19,-7
22.232627000000093,583.71,31.65704293434462,19,-7
22.38262700000007,583.86,29.937754302102572,19,-7
22.592627000000107,584.07,26.432492469747633,22,-7
22.762627000000066,584.24,24.080342245347367,19,-7
22.982627000000093,584.46,21.502105971845868,17,-5
