report_t_s,t,IAS_kmh,pitch,roll,GNSS_velD
0.1716279999999415,608.06,23.010783851694136,-4,1,-1.86
0.37162799999998697,608.26,23.455477798917467,-4,1,-1.86
0.5816280000000233,608.47,23.864853865045976,-4,0,-1.85
0.8016280000000506,608.69,24.479270697419704,-4,0,-1.8
0.9716280000000097,608.86,24.74164979733319,-3,0,-1.75
1.1616279999999506,609.05,24.975434359157227,-3,-1,-1.7
1.361627999999996,609.25,25.588419634431414,-3,-1,-1.65
1.5716280000000324,609.46,25.63884021462399,-1,-2,-1.58
1.8016280000000506,609.69,25.964187462969928,-1,-2,-1.53
1.9816280000000006,609.87,25.91439990524534,0,-3,-1.43
2.1716279999999415,610.06,25.76445997802367,0,-3,-1.36
2.371627999999987,610.26,25.436558236089233,3,-3,-1.27
2.5816280000000233,610.47,25.30931102360939,4,-3,-1.15
2.8216280000000324,610.71,24.68939704672053,3,-2,-1.06
2.9716280000000097,610.86,24.53197101826138,4,-2,-0.98
3.181628000000046,611.07,23.999760840645123,4,-2,-0.92
3.371627999999987,611.26,23.647401915367755,4,-1,-0.89
3.5716280000000324,611.46,23.31742199230753,4,-1,-0.87
3.8016280000000506,611.69,22.785182483717936,4,0,-0.87
3.961628000000019,611.85,22.52868069997958,4,0,-0.88
4.1716279999999415,612.06,22.298202201715082,4,1,-0.91
4.371627999999987,612.26,21.88902611551538,4,1,-0.96
4.5616280000000415,612.45,21.472054096961873,3,1,-0.97
4.801628000000051,612.69,21.381645046580466,1,2,-1.03
4.97162800000001,612.86,21.44196010306018,0,2,-1.09
5.1716279999999415,613.06,21.711304424099403,-1,2,-1.16
5.361627999999996,613.25,21.947946884594458,-3,1,-1.25
5.571628000000032,613.46,22.38490973118876,-3,1,-1.34
5.8116280000000415,613.7,22.87004379228917,-4,1,-1.43
5.97162800000001,613.86,23.03882869312197,-5,1,-1.52
6.181628000000046,614.07,23.51047313302681,-5,0,-1.59
6.381627999999978,614.27,23.6746926364118,-4,0,-1.66
6.571628000000032,614.46,23.83778085137892,-5,0,-1.66
6.801628000000051,614.69,24.21404867140612,-4,0,-1.68
6.961628000000019,614.85,24.426456675381424,-4,0,-1.66
7.181628000000046,615.07,24.819822661307946,-2,-1,-1.63
7.371627999999987,615.26,25.512601928122837,1,-1,-1.62
7.591628000000014,615.48,25.68916183362715,3,-1,-1.57
7.791627999999946,615.68,24.897750082761963,-1,-1,-1.49
7.97162800000001,615.86,23.31742199230753,-5,2,-1.42
8.171627999999941,616.06,21.741025593967528,0,6,-1.36
8.361627999999996,616.25,20.487131974256723,2,10,-1.49
8.571628000000032,616.46,19.683399718793392,6,13,-1.62
8.821628000000032,616.71,18.429661512610256,3,16,-1.76
8.97162800000001,616.86,17.64200764293762,-1,18,-1.96
9.16162799999995,617.05,15.415172753505168,2,23,-2.26
9.371627999999987,617.26,11.972944627835897,-1,25,-2.66
9.571628000000032,617.46,8.57979502395373,-3,24,-3.12
9.80162800000005,617.69,5.682108063106185,-10,19,-3.64
9.951628000000028,617.84,5.682108063106185,-6,11,-4.19
10.16162799999995,618.05,5.905019915638019,-3,-4,-4.68
10.361627999999996,618.25,3.7690840927152554,-9,-13,-5.15
10.571628000000032,618.46,6.119817674354926,-8,-8,-5.35
10.80162800000005,618.69,4.545686450484948,0,-1,-5.5
10.97162800000001,618.86,3.936679943758678,12,0,-5.67
11.16162799999995,619.05,3.4092648378637107,0,-7,-5.71
11.371627999999987,619.26,4.545686450484948,-3,-23,-5.73
11.561628000000042,619.45,5.682108063106185,-3,-40,-6.12
11.811628000000042,619.7,5.330289841642607,13,-13,-6.55
11.961628000000019,619.85,2.272843225242474,20,-1,-7.24
12.16162799999995,620.05,3.7690840927152554,25,8,-8.06
12.361627999999996,620.25,8.194852789702688,34,3,-8.85
12.571628000000032,620.46,10.164463907684075,44,-8,-9.5
12.811628000000042,620.7,9.162123951689502,28,-29,-9.24
12.981628,620.87,6.224437520690491,42,-48,-8.61
13.16162799999995,621.05,5.905019915638019,90,-62,-7.73
13.371627999999987,621.26,7.538168185430511,57,-68,-7.16
13.571628000000032,621.46,5.794635978424268,62,-65,-6.8
13.80162800000005,621.69,5.905019915638019,38,63,-6.56
13.991627999999992,621.88,6.91258280387354,14,79,-6.84
14.171627999999941,622.06,9.775868352264995,-9,111,-7.41
14.371627999999987,622.26,8.194852789702688,-27,107,-8.19
14.571628000000032,622.46,9.972059179814082,-44,101,-8.96
14.811628000000042,622.7,8.11567361118381,-43,91,-9.39
14.981628,622.87,3.006688971514774,-50,86,-9.36
15.171627999999941,623.06,6.224437520690491,-63,89,-8.97
15.361627999999996,623.25,4.953546966671499,-58,98,-8.37
15.55162800000005,623.44,3.7690840927152554,-26,109,-8.03
15.811628000000042,623.7,4.252100321353806,-40,116,-7.79
15.961628000000019,623.85,4.252100321353806,-29,121,-8.26
16.17162799999994,624.06,4.953546966671499,-27,129,-8.59
16.361627999999996,624.25,5.450086593582804,22,141,-9.01
16.55162800000005,624.44,7.096950696156305,-63,166,-9.39
16.791627999999946,624.68,8.350959250778514,-81,-142,-9.68
16.96162800000002,624.85,6.528245146582468,76,-134,-9.16
17.15162799999996,625.04,4.252100321353806,-128,-131,-8.73
17.39162799999997,625.28,8.802683959904455,-23,-126,-7.97
17.571628000000032,625.46,10.227794513591133,-163,-114,-6.86
17.781627999999955,625.67,7.276648771717565,-199,-97,-6.24
17.951628000000028,625.84,2.5411159769210188,-212,-55,-6.14
18.15162799999996,626.04,17.084162913323542,-217,-20,-6.22
18.361627999999996,626.25,22.898261006959828,-16,-3,-6.57
18.56162800000004,626.45,18.604023593770005,-54,-8,-6.86
18.791627999999946,626.68,27.345052811528927,20,-54,-7.9
18.96162800000002,626.85,37.91290536027466,87,-63,-8.68
19.16162799999995,627.05,44.49493349970148,114,-62,-9.14
19.351628000000005,627.24,41.22564215908069,176,-54,-9.76
19.571628000000032,627.46,48.174090387820264,164,-54,-9.95
19.821628000000032,627.71,55.32401082233091,202,-63,-9.96
19.96162800000002,627.85,56.01993768621442,231,-139,-9.77
20.181628000000046,628.07,56.44481569982981,35,-152,-9.34
20.371627999999987,628.26,57.644699253624495,48,-162,-8.86
20.571628000000032,628.46,57.901768504237985,-78,-162,-8.06
20.821628000000032,628.71,57.5325717417924,183,-164,-6.91
20.97162800000001,628.86,56.47912518473221,185,-165,-5.69
21.16162799999995,629.05,56.03146323672959,128,-166,-4.48
21.381627999999978,629.27,54.66648648759091,178,-167,-3.34
21.581628000000023,629.47,52.632395015826894,45,-168,-2.2
21.821628000000032,629.71,47.17176467605448,11,-169,-1.05
21.97162800000001,629.86,43.04923468707494,-142,-170,-0.01
22.17162799999994,630.06,37.48469075257693,142,-173,0.81
22.371627999999987,630.26,35.46655150293308,91,-177,1.44
22.571628000000032,630.46,37.707969235660926,72,-175,1.91
22.81162800000004,630.7,38.77180097726191,2,-36,2.34
22.981628,630.87,38.03194146278325,67,167,2.56
23.17162799999994,631.06,34.76781587054561,7,162,2.64
23.371627999999987,631.26,28.614365059443518,76,153,2.69
23.571628000000032,631.46,20.201472466033717,-101,145,2.51
23.821628000000032,631.71,11.53341971872017,-126,134,2.26
23.97162800000001,631.86,10.781042034373986,-52,128,1.94
24.201628000000028,632.09,11.018016322073105,-9,120,1.56
24.371627999999987,632.26,8.42792824422443,-7,114,1.26
24.581628000000023,632.47,6.91258280387354,-5,108,0.91
24.81162800000004,632.7,9.507985365695813,-7,103,0.52
24.97162800000001,632.86,9.091372900969896,-6,100,0.25
25.17162799999994,633.06,9.091372900969896,-2,97,-0.03
25.371627999999987,633.26,10.415476122441204,-1,96,-0.3
25.56162800000004,633.45,12.60352538144849,-2,95,-0.65
25.821628000000032,633.71,13.96458256900401,0,95,-1.12
25.97162800000001,633.86,15.033444857573873,-1,95,-1.57
26.17162799999994,634.06,16.507477433711358,-1,94,-1.96
26.361627999999996,634.25,19.879259266370862,-1,93,-2.51
26.581628000000023,634.47,25.613642331175544,3,91,-2.99
26.821628000000032,634.71,31.018273498315896,4,88,-3.62
