report_t_s,t,IAS_kmh,pitch,roll,GNSS_velD
0.1713799999999992,695.73,19.911715221477646,1,8,-1.27
0.30137999999999465,695.86,18.534475598578062,5,11,-1.38
0.511380000000031,696.07,16.970393637275528,5,12,-1.49
0.7113799999999628,696.27,15.950437426027934,6,16,-1.59
0.8913800000000265,696.45,13.301473947787645,1,20,-1.81
1.1413800000000265,696.7,11.589271956848537,5,21,-2.22
1.3013799999999947,696.86,8.802683959904455,4,20,-2.72
1.511380000000031,697.07,7.187361356249323,0,16,-3.26
1.701379999999972,697.26,7.096950696156305,4,8,-3.73
1.8913800000000265,697.45,4.821428571428571,9,-2,-4.25
2.1313800000000356,697.69,5.567306167185676,-1,-7,-4.49
2.3013799999999947,697.86,1.136421612621237,4,-1,-4.73
2.4913799999999355,698.05,4.252100321353806,7,5,-4.88
2.701379999999972,698.26,5.330289841642607,3,6,-5.02
2.8913800000000265,698.45,7.452014862451904,4,-1,-4.96
3.121379999999931,698.68,3.214285714285714,2,-14,-5.15
3.2913800000000037,698.85,5.905019915638019,-5,-26,-5.42
3.5013799999999264,699.06,0.0,-2,-14,-5.66
3.691379999999981,699.25,11.589271956848537,2,-2,-6.16
3.8913800000000265,699.45,11.420895859997056,2,4,-6.85
4.1413800000000265,699.7,9.575658713421149,19,0,-7.7
4.291380000000004,699.85,8.11567361118381,6,-5,-8.41
4.511380000000031,700.07,3.5936806781246613,-8,-12,-8.85
4.691379999999981,700.25,2.783653083592838,-18,-16,-8.85
4.8913800000000265,700.45,1.968339971879339,49,-36,-8.71
5.121379999999931,700.68,10.660579683285214,18,-32,-8.69
5.281380000000013,700.84,17.383907935272806,19,173,-8.43
5.501379999999926,701.06,28.523956097087428,9,-166,-8.6
5.691379999999981,701.25,38.302634853684594,-7,-160,-8.89
5.8913800000000265,701.45,47.75675772247594,-10,-141,-9.39
6.131380000000036,701.69,53.02353756318306,-8,-109,-9.91
6.291380000000004,701.85,55.69625395016825,-13,-83,-10.25
6.501379999999926,702.06,57.487659500956894,-11,-45,-10.88
6.701379999999972,702.26,57.67829500154901,4,-31,-11.44
6.8913800000000265,702.45,58.21319017374052,65,-24,-12.08
7.131380000000036,702.69,59.58361578830345,94,-15,-13.01
7.291380000000004,702.85,60.88081154424368,105,-9,-13.15
7.501379999999926,703.06,62.22362362266195,178,-2,-12.68
7.691379999999981,703.25,62.38944303358394,199,4,-11.98
7.921379999999999,703.48,61.440379886620526,54,14,-11.21
8.141380000000026,703.7,60.838371098831885,97,30,-10.05
8.371379999999931,703.93,60.08006456523882,214,64,-9.85
8.591379999999958,704.15,58.19100104003037,216,94,-9.43
8.791380000000004,704.35,55.68465901844062,22,111,-9.43
9.021380000000022,704.58,51.95323888471483,36,119,-9.43
9.211379999999963,704.77,48.694041667102866,64,119,-9.43
9.381380000000036,704.94,45.71184424283965,69,115,-9.43
9.501379999999926,705.06,43.57106264483343,66,112,-7.99
9.761380000000031,705.32,37.46746037209746,58,101,-7.5
9.93137999999999,705.49,36.524951284382716,52,92,-6.6
10.211379999999963,705.77,35.57562367689427,52,80,-5.54
10.321379999999976,705.88,34.93456894170668,53,73,-4.04
10.491379999999936,706.05,31.0390841504378,52,62,-2.22
10.691379999999981,706.25,28.79433139366433,44,50,-0.89
10.891380000000026,706.45,24.347020833551433,30,39,-0.05
11.131380000000036,706.69,20.008767211053318,15,26,0.26
11.301379999999995,706.86,17.89638545195364,7,18,0.52
11.491379999999936,707.05,15.787673601740757,0,10,0.75
11.68137999999999,707.24,14.464285714285714,-4,4,0.89
11.891380000000026,707.45,13.006939866620339,-9,-2,0.88
12.151380000000017,707.71,12.654655511804695,-14,-7,0.46
12.301379999999995,707.86,13.301473947787645,-17,-9,-0.1
12.491379999999936,708.05,14.508859889947331,-19,-10,-0.64
12.691379999999981,708.25,16.546548440871966,-24,-8,-1.2
12.901380000000017,708.46,18.811124856513683,-22,0,-1.89
13.141380000000026,708.7,21.472054096961873,-19,14,-2.87
13.311379999999986,708.87,23.59272576841585,-16,26,-3.47
13.511380000000031,709.07,26.187060112714803,-17,35,-3.85
13.701379999999972,709.26,28.883894071518366,-17,42,-4.27
13.891380000000026,709.45,31.472929330017006,-17,45,-4.95
14.131380000000036,709.69,33.596590114875326,-11,48,-5.24
14.311379999999986,709.87,35.375401129910045,-10,48,-5.44
14.501379999999926,710.06,37.034095570080794,-9,47,-5.47
14.701379999999972,710.26,38.63833482912206,-7,45,-5.38
14.901380000000017,710.46,39.514149170820794,-5,42,-5.1
15.141380000000026,710.7,40.338965565035785,2,39,-4.59
15.291380000000004,710.85,40.68960718233909,6,37,-3.99
15.511380000000031,711.07,40.78471352287346,13,33,-3.29
15.701379999999972,711.26,40.530600684380865,10,29,-2.35
15.901380000000017,711.46,39.57946185865098,17,25,-1.42
16.12137999999993,711.68,38.15060615507963,16,20,-0.58
16.291380000000004,711.85,36.75406058366551,18,16,0.22
16.491379999999936,712.05,35.430119493828116,17,12,0.8
16.69137999999998,712.25,33.807349234225654,18,8,1.17
16.891380000000026,712.45,32.14285714285714,18,4,1.47
17.131380000000036,712.69,30.366070115932256,16,0,1.67
17.311379999999986,712.87,29.459415181858972,12,-2,1.74
17.501379999999926,713.06,28.501309046198887,12,-3,1.64
17.701379999999972,713.26,27.603585059974822,13,-5,1.39
17.891380000000026,713.45,26.383588649006786,11,-6,1.14
18.131380000000036,713.69,24.975434359157227,8,-5,0.82
18.291380000000004,713.85,23.891896201047597,6,-4,0.49
18.51138000000003,714.07,22.785182483717936,5,-2,0.13
18.701379999999972,714.26,22.47128269410465,-2,0,-0.25
18.901380000000017,714.46,22.756825058313687,-2,3,-0.64
